format,arithmetic_type,kernel,storage_layout,access_method,packet_values,rank,strategy_id,decoder,screen_median_ms,selected
bf16_e8m7,fp32,gemv,padded,thread_packet,2,6,padded/thread_packet/x2/prefix_lut_global,prefix_lut_global,0.034177031266878974,0
bf16_e8m7,fp32,gemv,padded,thread_packet,2,7,padded/thread_packet/x2/prefix_lut_shared,prefix_lut_shared,0.035161069892834435,0
bf16_e8m7,fp32,gemv,padded,thread_packet,4,1,padded/thread_packet/x4/direct_branchy,direct_branchy,0.012463930540693972,1
bf16_e8m7,fp32,gemv,padded,thread_packet,4,2,padded/thread_packet/x4/native_packed,native_packed,0.012608412314645772,1
bf16_e8m7,fp32,gemv,padded,thread_packet,4,3,padded/thread_packet/x4/native_scalar,native_scalar,0.012612474236081661,0
bf16_e8m7,fp32,gemv,padded,thread_packet,4,4,padded/thread_packet/x4/subnormal_lut_shared,subnormal_lut_shared,0.020163831812841398,0
bf16_e8m7,fp32,gemv,padded,thread_packet,4,5,padded/thread_packet/x4/subnormal_lut_global,subnormal_lut_global,0.025154652750724212,0
bf16_e8m7,fp32,gemv,padded,thread_packet,4,6,padded/thread_packet/x4/prefix_lut_global,prefix_lut_global,0.030441350751108938,0
bf16_e8m7,fp32,gemv,padded,thread_packet,4,7,padded/thread_packet/x4/prefix_lut_shared,prefix_lut_shared,0.031736079582201024,0
bf16_e8m7,fp32,gemv,padded,thread_packet,8,1,padded/thread_packet/x8/native_packed,native_packed,0.010807037559972957,1
bf16_e8m7,fp32,gemv,padded,thread_packet,8,2,padded/thread_packet/x8/native_scalar,native_scalar,0.010807442076351577,1
bf16_e8m7,fp32,gemv,padded,thread_packet,8,3,padded/thread_packet/x8/direct_branchy,direct_branchy,0.010819288530340938,0
bf16_e8m7,fp32,gemv,padded,thread_packet,8,4,padded/thread_packet/x8/subnormal_lut_shared,subnormal_lut_shared,0.018296526087572412,0
bf16_e8m7,fp32,gemv,padded,thread_packet,8,5,padded/thread_packet/x8/subnormal_lut_global,subnormal_lut_global,0.024333343514753636,0
bf16_e8m7,fp32,gemv,padded,thread_packet,8,6,padded/thread_packet/x8/prefix_lut_global,prefix_lut_global,0.028575374449345863,0
bf16_e8m7,fp32,gemv,padded,thread_packet,8,7,padded/thread_packet/x8/prefix_lut_shared,prefix_lut_shared,0.029773659801150043,0
bf16_e8m7,fp64,dot,dense,cooperative_shuffle,2,1,dense/cooperative_shuffle/x2/native_scalar,native_scalar,0.11828800042470297,1
bf16_e8m7,fp64,dot,dense,cooperative_shuffle,2,2,dense/cooperative_shuffle/x2/direct_branchy,direct_branchy,0.13104547324933502,1
bf16_e8m7,fp64,dot,dense,cooperative_shuffle,2,3,dense/cooperative_shuffle/x2/prefix_lut_global,prefix_lut_global,0.13604497265171361,0
bf16_e8m7,fp64,dot,dense,cooperative_shuffle,2,4,dense/cooperative_shuffle/x2/subnormal_lut_shared,subnormal_lut_shared,0.13802973339865515,0
bf16_e8m7,fp64,dot,dense,cooperative_shuffle,2,5,dense/cooperative_shuffle/x2/subnormal_lut_global,subnormal_lut_global,0.13813555902904934,0
bf16_e8m7,fp64,dot,dense,cooperative_shuffle,2,6,dense/cooperative_shuffle/x2/prefix_lut_shared,prefix_lut_shared,0.13991111516952515,0
bf16_e8m7,fp64,dot,dense,cooperative_shuffle,2,7,dense/cooperative_shuffle/x2/direct_masked,direct_masked,0.14475062915257045,0
