distribution,kernel,storage,storage_bits,arithmetic,family,lanes,m,n,samples,median_time_ms,q25_time_ms,q75_time_ms,mad_time_ms,min_time_ms,max_time_ms,useful_flops,logical_storage_bytes,modeled_load_instructions
normal_0_1,dot,bf16_e8m7,16,bf16,vector_packet,4,1,4096,15,0.0053454525323786695,0.005345054978226226,0.005347638738480015,7.490877095900003e-07,0.0053442751341781945,0.005355925635179719,8192.0,16384.0,2048.0
normal_0_1,dot,bf16_e8m7,16,bf16,vector_packet,4,1,65536,15,0.005353485380670689,0.005351984984014081,0.005354526018220001,1.0858044997355543e-06,0.005350092241609018,0.00535589832949481,131072.0,262144.0,32768.0
normal_0_1,dot,bf16_e8m7,16,bf16,vector_packet,8,1,1048576,15,0.005989382390946788,0.005981863334881299,0.005990099834010507,4.762538711594599e-06,0.005979155910853582,0.005994144929658382,2097152.0,4194304.0,262144.0
normal_0_1,dot,bf16_e8m7,16,bf16,vector_packet,8,1,134217728,15,0.12954364202718818,0.1294962114992395,0.12958570075246084,4.7574001075939565e-05,0.12946973648746457,0.12963964242850784,268435456.0,536870912.0,33554432.0
normal_0_1,dot,bf16_e8m7,16,bf16,vector_packet,8,1,16777216,15,0.02303300153245639,0.023021210581300376,0.02305944823614202,1.4250705434856736e-05,0.022962459860437455,0.023085438506161165,33554432.0,67108864.0,4194304.0
normal_0_1,dot,bf16_e8m7,16,bf16,vector_packet,8,1,4096,15,0.0053688183878407335,0.005366424267942255,0.005370802951581551,2.333160602684993e-06,0.00536195437113444,0.0053780304663109055,8192.0,16384.0,1024.0
normal_0_1,dot,bf16_e8m7,16,bf16,vector_packet,8,1,65536,15,0.005377422383079659,0.005376398592503058,0.005382761235463078,2.2823890943202835e-06,0.005375030976012676,0.005384347819676327,131072.0,262144.0,16384.0
normal_0_1,dot,bf16_e8m7,16,fp64,scalar_single,1,1,1048576,15,0.007098323526112917,0.007090280088974063,0.00709866989970709,1.4818367008980274e-06,0.007084238048927367,0.007099805362813815,2097152.0,4194304.0,2097152.0
normal_0_1,dot,bf16_e8m7,16,fp64,scalar_single,1,1,134217728,15,0.4884087654852098,0.48831845868018364,0.48862192707677043,0.00016206310641381227,0.48822605994439894,0.4888650217363911,268435456.0,536870912.0,268435456.0
normal_0_1,dot,bf16_e8m7,16,fp64,scalar_single,1,1,16777216,15,0.06800295130997759,0.06798547533799976,0.06803797137352728,2.742802492483598e-05,0.06792110671645485,0.06806090130783995,33554432.0,67108864.0,33554432.0
normal_0_1,dot,bf16_e8m7,16,fp64,scalar_single,1,1,4096,15,0.0054109416583168835,0.005410731534549698,0.005411346366897168,2.8016502291294126e-07,0.005409556604081091,0.005416700348315999,8192.0,16384.0,8192.0
normal_0_1,dot,bf16_e8m7,16,fp64,scalar_single,1,1,65536,15,0.005415344893084606,0.005414591401508476,0.005415478192339229,3.1383789421673275e-07,0.005414246226596505,0.005415658730978823,131072.0,262144.0,131072.0
normal_0_1,dot,bf16_e8m7,16,fp64,scalar_unrolled,2,1,1048576,15,0.006393657229790974,0.00639314932918761,0.006394325226611709,5.34716056025189e-07,0.006391964404779447,0.006396294171135781,2097152.0,4194304.0,2097152.0
normal_0_1,dot,bf16_e8m7,16,fp64,scalar_unrolled,2,1,134217728,15,0.2689057077680315,0.2688197152955192,0.26895028352737427,7.598740713937735e-05,0.26863884925842285,0.26908743381500244,268435456.0,536870912.0,268435456.0
normal_0_1,dot,bf16_e8m7,16,fp64,scalar_unrolled,2,1,16777216,15,0.04048546615054128,0.04048299658068612,0.04051574596688767,1.3840099996768884e-05,0.04046430929304811,0.040556077457984945,33554432.0,67108864.0,33554432.0
normal_0_1,dot,bf16_e8m7,16,fp64,scalar_unrolled,2,1,4096,15,0.005414210634278546,0.0054141084548875035,0.0054148730386066905,4.256300151052675e-07,0.005413154545675944,0.005417174541304264,8192.0,16384.0,8192.0
normal_0_1,dot,bf16_e8m7,16,fp64,scalar_unrolled,2,1,65536,15,0.005415913154338968,0.005415227495390793,0.005416220632092706,6.459616675169588e-07,0.005414920017637055,0.005417048167712582,131072.0,262144.0,131072.0
normal_0_1,dot,bf16_e8m7,16,fp64,scalar_unrolled,4,1,1048576,15,0.006203665324178697,0.0062029401611394,0.006205176380731836,1.3123958482654657e-06,0.0062016622478487165,0.006207499064050747,2097152.0,4194304.0,2097152.0
normal_0_1,dot,bf16_e8m7,16,fp64,scalar_unrolled,4,1,134217728,15,0.1704552715474909,0.1704092730175365,0.17050654237920587,6.036324934524662e-05,0.1703152764927257,0.17056945237246426,268435456.0,536870912.0,268435456.0
normal_0_1,dot,bf16_e8m7,16,fp64,scalar_unrolled,4,1,16777216,15,0.028189214562539668,0.028171048634748626,0.028203481862346717,1.832087680956815e-05,0.028124781595669123,0.028219171372788097,33554432.0,67108864.0,33554432.0
normal_0_1,dot,bf16_e8m7,16,fp64,scalar_unrolled,4,1,4096,15,0.005414677037339266,0.005414171209595083,0.0054151049383883345,4.513254425403748e-07,0.005413867620178698,0.005418692581384562,8192.0,16384.0,8192.0
normal_0_1,dot,bf16_e8m7,16,fp64,scalar_unrolled,4,1,65536,15,0.005417964177693198,0.005417093783319591,0.005419105826737638,1.0222018121961232e-06,0.005416319517794245,0.005420534910556085,131072.0,262144.0,131072.0
normal_0_1,dot,bf16_e8m7,16,fp64,scalar_unrolled,8,1,1048576,15,0.0069115735197847064,0.006903588302492157,0.006926565730593408,1.1183578703779888e-05,0.006895912697212686,0.006928532864381731,2097152.0,4194304.0,2097152.0
normal_0_1,dot,bf16_e8m7,16,fp64,scalar_unrolled,8,1,134217728,15,0.16108695320461108,0.16102521315864893,0.16112660843393078,4.4522078140929455e-05,0.16077008454695993,0.16127548010452933,268435456.0,536870912.0,268435456.0
normal_0_1,dot,bf16_e8m7,16,fp64,scalar_unrolled,8,1,16777216,15,0.027102111450420536,0.0270948190090841,0.027151675241899667,2.2671759348516507e-05,0.02707943969107202,0.0271929146178974,33554432.0,67108864.0,33554432.0
normal_0_1,dot,bf16_e8m7,16,fp64,scalar_unrolled,8,1,4096,15,0.005602126128509328,0.005601117712262204,0.0056028608351028665,9.84888864134087e-07,0.005600421907381133,0.005609113994201452,8192.0,16384.0,8192.0
normal_0_1,dot,bf16_e8m7,16,fp64,scalar_unrolled,8,1,65536,15,0.00573488243087799,0.0057334450190652635,0.005737229497608786,2.1400565872646896e-06,0.005729293632888033,0.005740151909772983,131072.0,262144.0,131072.0
normal_0_1,dot,bf16_e8m7,16,fp64,vector_packet,2,1,1048576,15,0.006393796505208788,0.006392116120407701,0.0063959420060312275,2.0378794750022453e-06,0.006388201260699907,0.00639747907329538,2097152.0,4194304.0,1048576.0
normal_0_1,dot,bf16_e8m7,16,fp64,vector_packet,2,1,134217728,15,0.2702645744596209,0.2701459952763149,0.2703242812837873,8.000646318706561e-05,0.2700594323022025,0.27040343625204905,268435456.0,536870912.0,134217728.0
normal_0_1,dot,bf16_e8m7,16,fp64,vector_packet,2,1,16777216,15,0.04070631133185493,0.04069520102606879,0.04071515533659194,9.77781083848911e-06,0.04066960016886393,0.04072951210869683,33554432.0,67108864.0,16777216.0
normal_0_1,dot,bf16_e8m7,16,fp64,vector_packet,2,1,4096,15,0.005414261415780309,0.005413575000073537,0.005414793175387095,5.708257836030406e-07,0.00541304301066571,0.0054176077785262145,8192.0,16384.0,4096.0
normal_0_1,dot,bf16_e8m7,16,fp64,vector_packet,2,1,65536,15,0.005415572200913027,0.005415317581360598,0.005416219780244023,4.936126341299057e-07,0.005414831781961831,0.005416867359575019,131072.0,262144.0,65536.0
normal_0_1,dot,bf16_e8m7,16,fp64,vector_packet,4,1,1048576,15,0.006240693357887144,0.006237174423647599,0.00625667618516982,8.89252221468028e-06,0.0062318008356724635,0.006259085426867848,2097152.0,4194304.0,524288.0
normal_0_1,dot,bf16_e8m7,16,fp64,vector_packet,4,1,134217728,15,0.1683904669258032,0.16835829381192668,0.16847892289751032,5.104836453212469e-05,0.1683297103710389,0.1685716864768039,268435456.0,536870912.0,67108864.0
normal_0_1,dot,bf16_e8m7,16,fp64,vector_packet,4,1,16777216,15,0.027934152291590474,0.027921497109401748,0.027965545654296875,1.925206279374675e-05,0.02786352149993775,0.02798909875026262,33554432.0,67108864.0,8388608.0
normal_0_1,dot,bf16_e8m7,16,fp64,vector_packet,4,1,4096,15,0.0054149622926693,0.005414794543070232,0.005415640667289079,3.3502331274991304e-07,0.00541366883618627,0.005429716643221126,8192.0,16384.0,2048.0
normal_0_1,dot,bf16_e8m7,16,fp64,vector_packet,4,1,65536,15,0.005416154271597204,0.005415457773185024,0.005416930282192617,6.96498412180134e-07,0.005415283648581979,0.005417642588664965,131072.0,262144.0,32768.0
normal_0_1,dot,bf16_e8m7,16,fp64,vector_packet,8,1,1048576,15,0.0064266545735382555,0.00640357230978713,0.0064298349924236204,6.5748303929519594e-06,0.0063949040155899285,0.0064332294039312074,2097152.0,4194304.0,262144.0
normal_0_1,dot,bf16_e8m7,16,fp64,vector_packet,8,1,134217728,15,0.1361516402648376,0.13608418284235774,0.13616778399493243,4.958247279260308e-05,0.13605794820699607,0.13622399922963735,268435456.0,536870912.0,33554432.0
