gpu,compute_capability,distribution,component,storage,storage_bits,arithmetic,family,lanes,logical_values,repeats,round,sample,batch_iterations,time_ms,logical_storage_bytes,modeled_load_instructions,modeled_conversions,useful_flops,values_per_s,effective_gb_per_s,useful_gflop_per_s
NVIDIA H200 NVL,sm_90,uniform_0_1,stream_decode,fp8_e4m3,8,fp32,vector_packet,4,134217728,1,0,2,132,0.11266036467118697,134217728,33554432,134217728,0,1191348247378.1335,1191.3482473781335,0
NVIDIA H200 NVL,sm_90,uniform_0_1,arithmetic_chain,fp8_e4m3,8,fp32,independent_chains,4,2214592512,4096,0,2,96,0.15459300080935159,0,0,0,4429185024,14325309039903.412,0,28650.618079806824
NVIDIA H200 NVL,sm_90,uniform_0_1,stream_decode,fp8_e4m3,8,fp32,vector_packet,8,134217728,1,0,2,226,0.066073767906796615,134217728,16777216,134217728,0,2031331529167.9292,2031.3315291679291,0
NVIDIA H200 NVL,sm_90,uniform_0_1,register_decode,fp8_e4m3,8,fp32,register_resident,8,276824064,256,0,2,856,0.015338915530766281,1081344,1081344,276824064,0,18047173116297.277,70.496769985536233,0
NVIDIA H200 NVL,sm_90,uniform_0_1,arithmetic_chain,fp8_e4m3,8,fp16,independent_chains,8,4429185024,4096,0,2,89,0.16534292028191383,0,0,0,8858370048,26787872238183.094,0,53575.744476366184
NVIDIA H200 NVL,sm_90,uniform_0_1,arithmetic_chain,fp8_e4m3,8,fp64,independent_chains,2,1107296256,4096,0,2,114,0.13005108582346062,0,0,0,2214592512,8514317654395.5381,0,17028.635308791076
NVIDIA H200 NVL,sm_90,uniform_0_1,register_decode,fp8_e4m3,8,fp32,register_resident,1,34603008,256,0,2,1144,0.0081357764197396223,135168,135168,34603008,0,4253190625549.1025,16.61402588105118,0
NVIDIA H200 NVL,sm_90,uniform_0_1,arithmetic_chain,fp8_e4m3,8,fp32,independent_chains,2,1107296256,4096,0,2,119,0.12397714021826993,0,0,0,2214592512,8931455057364.0586,0,17862.910114728118
NVIDIA H200 NVL,sm_90,uniform_0_1,stream_load,fp8_e4m3,8,none,scalar_unrolled,4,134217728,1,0,2,134,0.11137050657129999,134217728,134217728,0,0,1205146067231.6606,1205.1460672316607,0
NVIDIA H200 NVL,sm_90,uniform_0_1,arithmetic_chain,fp8_e4m3,8,fp32,independent_chains,8,4429185024,4096,0,2,71,0.20921014060436841,0,0,0,8858370048,21170986316461.164,0,42341.972632922327
