gpu,compute_capability,distribution,component,storage,storage_bits,arithmetic,family,lanes,logical_values,repeats,round,sample,batch_iterations,time_ms,logical_storage_bytes,modeled_load_instructions,modeled_conversions,useful_flops,values_per_s,effective_gb_per_s,useful_gflop_per_s
NVIDIA H200 NVL,sm_90,uniform_0_1,arithmetic_chain,bf16_e8m7,16,fp64,independent_chains,8,4429185024,4096,0,1,49,0.30772571174465879,0,0,0,8858370048,14393288746944.877,0,28786.577493889756
NVIDIA H200 NVL,sm_90,uniform_0_1,stream_load,bf16_e8m7,16,none,vector_packet,8,134217728,1,0,1,186,0.079227698746547906,268435456,16777216,0,0,1694075810902.5364,3388.1516218050729,0
NVIDIA H200 NVL,sm_90,uniform_0_1,stream_decode,bf16_e8m7,16,bf16,vector_packet,2,134217728,1,0,1,71,0.21140326916331975,268435456,67108864,134217728,0,634889557437.78015,1269.7791148755603,0
NVIDIA H200 NVL,sm_90,uniform_0_1,stream_decode,bf16_e8m7,16,fp64,vector_packet,4,134217728,1,0,1,120,0.12368933359781902,268435456,33554432,134217728,0,1085119663077.9377,2170.2393261558755,0
NVIDIA H200 NVL,sm_90,uniform_0_1,stream_decode,bf16_e8m7,16,fp64,vector_packet,2,134217728,1,0,1,69,0.21786156253538269,268435456,67108864,134217728,0,616068876207.57715,1232.1377524151544,0
NVIDIA H200 NVL,sm_90,uniform_0_1,register_decode,bf16_e8m7,16,fp64,register_resident,4,138412032,256,0,1,900,0.014155946307712131,1081344,540672,138412032,0,9777660143044.8633,76.38796986753799,0
NVIDIA H200 NVL,sm_90,uniform_0_1,stream_decode,bf16_e8m7,16,fp64,vector_packet,8,134217728,1,0,1,171,0.087001638802868583,268435456,16777216,134217728,0,1542703446128.3577,3085.4068922567153,0
NVIDIA H200 NVL,sm_90,uniform_0_1,stream_decode,bf16_e8m7,16,fp64,scalar_unrolled,4,134217728,1,0,1,120,0.12419839700063069,268435456,134217728,134217728,0,1080671983224.6984,2161.3439664493967,0
NVIDIA H200 NVL,sm_90,uniform_0_1,arithmetic_chain,bf16_e8m7,16,bf16,independent_chains,2,1107296256,4096,0,1,148,0.098627026016647745,0,0,0,2214592512,11227107829583.08,0,22454.215659166159
NVIDIA H200 NVL,sm_90,uniform_0_1,stream_load,bf16_e8m7,16,none,vector_packet,4,134217728,1,0,1,128,0.11739175021648407,268435456,33554432,0,0,1143331858946.5347,2286.6637178930691,0
NVIDIA H200 NVL,sm_90,uniform_0_1,stream_decode,bf16_e8m7,16,bf16,scalar_unrolled,2,134217728,1,0,1,70,0.21309806278773716,268435456,134217728,134217728,0,629840207105.45679,1259.6804142109136,0
NVIDIA H200 NVL,sm_90,uniform_0_1,stream_load,bf16_e8m7,16,none,scalar_unrolled,8,134217728,1,0,1,171,0.086426383570620893,268435456,134217728,0,0,1552971702099.8311,3105.9434041996619,0
NVIDIA H200 NVL,sm_90,uniform_0_1,stream_decode,bf16_e8m7,16,bf16,vector_packet,4,134217728,1,0,2,125,0.11729254150390625,268435456,33554432,134217728,0,1144298915166.1453,2288.5978303322904,0
NVIDIA H200 NVL,sm_90,uniform_0_1,stream_decode,bf16_e8m7,16,fp64,vector_packet,2,134217728,1,0,2,69,0.21788938494696133,268435456,67108864,134217728,0,615990210044.74951,1231.9804200894989,0
NVIDIA H200 NVL,sm_90,uniform_0_1,arithmetic_chain,bf16_e8m7,16,bf16,independent_chains,2,1107296256,4096,0,2,148,0.098447786795126419,0,0,0,2214592512,11247548492931.848,0,22495.096985863696
