distribution,kernel,storage,storage_bits,arithmetic,family,lanes,m,n,useful_flops,logical_storage_bytes,modeled_load_instructions,report,kernel_role,kernel_name,block_size,grid_size,duration_ns,dram_read_bytes,dram_write_bytes,instructions,fp32_add_instructions,fp32_mul_instructions,fp32_fma_instructions,fp64_add_instructions,fp64_mul_instructions,fp64_fma_instructions,dram_percent_peak,sm_percent_peak,l1_hit_rate_percent,l2_hit_rate_percent,achieved_occupancy_percent,eligible_warps_per_scheduler,long_scoreboard_stall_percent,math_pipe_throttle_percent,mio_throttle_percent,registers_per_thread,shared_memory_bytes,duration_ms
normal_0_1,dot,bf16_e8m7,16,fp64,scalar_single,1,1,134217728,2.68435e+08,5.36871e+08,2.68435e+08,bf16/fp64/dot/bf16_fp64_dot_20260810T181143Z_ncu_raw.csv,map,"void dot_map<storage::bf16_e8m7, 3, 0, 1>(const std::conditional<total_bits<8, unsigned char, storage::codec<T1>::storage_type>::type *, const std::conditional<total_bits<8, unsigned char, storage::codec<T1>::storage_type>::type *, unsigned long, arithmetic<T2>::type *)","(256, 1, 1)","(528, 1, 1)",516032.0,536894208.0,2458112.0,75911424.0,0.0,0.0,0.0,134640.0,0.0,134217728.0,22.71,20.84,0.0,8.58,49.82,0.25,nan,nan,nan,22.0,3072.0,0.5160319999999999
normal_0_1,dot,bf16_e8m7,16,fp64,scalar_single,1,1,134217728,2.68435e+08,5.36871e+08,2.68435e+08,bf16/fp64/dot/bf16_fp64_dot_20260810T181143Z_ncu_raw.csv,finalize,"void dot_finalize<3>(const arithmetic<T1>::type *, unsigned long, double *)","(256, 1, 1)","(1, 1, 1)",3744.0,7936.0,0.0,718.0,0.0,0.0,0.0,783.0,0.0,0.0,0.05,0.03,0.0,41.35,11.51,0.08,nan,nan,nan,16.0,3072.0,0.003744
normal_0_1,dot,bf16_e8m7,16,fp64,scalar_unrolled,2,1,134217728,2.68435e+08,5.36871e+08,2.68435e+08,bf16/fp64/dot/bf16_fp64_dot_20260810T181143Z_ncu_raw.csv,map,"void dot_map<storage::bf16_e8m7, 3, 1, 2>(const std::conditional<total_bits<8, unsigned char, storage::codec<T1>::storage_type>::type *, const std::conditional<total_bits<8, unsigned char, storage::codec<T1>::storage_type>::type *, unsigned long, arithmetic<T2>::type *)","(256, 1, 1)","(528, 1, 1)",285280.0,536926464.0,2474240.0,52863872.0,0.0,0.0,0.0,269808.0,0.0,134217728.0,41.08,33.7,50.0,0.68,49.82,0.33,nan,nan,nan,28.0,3072.0,0.28528
normal_0_1,dot,bf16_e8m7,16,fp64,scalar_unrolled,2,1,134217728,2.68435e+08,5.36871e+08,2.68435e+08,bf16/fp64/dot/bf16_fp64_dot_20260810T181143Z_ncu_raw.csv,finalize,"void dot_finalize<3>(const arithmetic<T1>::type *, unsigned long, double *)","(256, 1, 1)","(1, 1, 1)",4000.0,7936.0,0.0,718.0,0.0,0.0,0.0,783.0,0.0,0.0,0.04,0.03,0.0,34.2,11.82,0.07,nan,nan,nan,16.0,3072.0,0.004
normal_0_1,dot,bf16_e8m7,16,fp64,vector_packet,2,1,134217728,2.68435e+08,5.36871e+08,1.34218e+08,bf16/fp64/dot/bf16_fp64_dot_20260810T181143Z_ncu_raw.csv,map,"void dot_map<storage::bf16_e8m7, 3, 2, 2>(const std::conditional<total_bits<8, unsigned char, storage::codec<T1>::storage_type>::type *, const std::conditional<total_bits<8, unsigned char, storage::codec<T1>::storage_type>::type *, unsigned long, arithmetic<T2>::type *)","(256, 1, 1)","(528, 1, 1)",286432.0,536884992.0,2711552.0,52863872.0,0.0,0.0,0.0,269808.0,0.0,134217728.0,40.94,32.96,0.0,0.51,49.35,0.34,nan,nan,nan,27.0,3072.0,0.28643199999999996
normal_0_1,dot,bf16_e8m7,16,fp64,vector_packet,2,1,134217728,2.68435e+08,5.36871e+08,1.34218e+08,bf16/fp64/dot/bf16_fp64_dot_20260810T181143Z_ncu_raw.csv,finalize,"void dot_finalize<3>(const arithmetic<T1>::type *, unsigned long, double *)","(256, 1, 1)","(1, 1, 1)",4192.0,7936.0,0.0,718.0,0.0,0.0,0.0,783.0,0.0,0.0,0.04,0.03,0.0,52.26,12.03,0.07,nan,nan,nan,16.0,3072.0,0.0041919999999999995
normal_0_1,dot,bf16_e8m7,16,fp64,scalar_unrolled,4,1,134217728,2.68435e+08,5.36871e+08,2.68435e+08,bf16/fp64/dot/bf16_fp64_dot_20260810T181143Z_ncu_raw.csv,map,"void dot_map<storage::bf16_e8m7, 3, 1, 4>(const std::conditional<total_bits<8, unsigned char, storage::codec<T1>::storage_type>::type *, const std::conditional<total_bits<8, unsigned char, storage::codec<T1>::storage_type>::type *, unsigned long, arithmetic<T2>::type *)","(256, 1, 1)","(528, 1, 1)",184320.0,536890112.0,2459904.0,43452032.0,0.0,0.0,0.0,540144.0,0.0,134217728.0,63.59,52.34,75.0,0.94,47.94,0.47,nan,nan,nan,32.0,3072.0,0.18431999999999998
normal_0_1,dot,bf16_e8m7,16,fp64,scalar_unrolled,4,1,134217728,2.68435e+08,5.36871e+08,2.68435e+08,bf16/fp64/dot/bf16_fp64_dot_20260810T181143Z_ncu_raw.csv,finalize,"void dot_finalize<3>(const arithmetic<T1>::type *, unsigned long, double *)","(256, 1, 1)","(1, 1, 1)",3776.0,8192.0,0.0,718.0,0.0,0.0,0.0,783.0,0.0,0.0,0.05,0.03,0.0,52.87,14.92,0.07,nan,nan,nan,16.0,3072.0,0.003776
normal_0_1,dot,bf16_e8m7,16,fp64,vector_packet,4,1,134217728,2.68435e+08,5.36871e+08,6.71089e+07,bf16/fp64/dot/bf16_fp64_dot_20260810T181143Z_ncu_raw.csv,map,"void dot_map<storage::bf16_e8m7, 3, 2, 4>(const std::conditional<total_bits<8, unsigned char, storage::codec<T1>::storage_type>::type *, const std::conditional<total_bits<8, unsigned char, storage::codec<T1>::storage_type>::type *, unsigned long, arithmetic<T2>::type *)","(256, 1, 1)","(528, 1, 1)",182528.0,536890112.0,2442240.0,39257728.0,0.0,0.0,0.0,540144.0,0.0,134217728.0,64.22,53.01,0.0,0.96,47.5,0.44,nan,nan,nan,31.0,3072.0,0.182528
normal_0_1,dot,bf16_e8m7,16,fp64,vector_packet,4,1,134217728,2.68435e+08,5.36871e+08,6.71089e+07,bf16/fp64/dot/bf16_fp64_dot_20260810T181143Z_ncu_raw.csv,finalize,"void dot_finalize<3>(const arithmetic<T1>::type *, unsigned long, double *)","(256, 1, 1)","(1, 1, 1)",4128.0,7936.0,0.0,718.0,0.0,0.0,0.0,783.0,0.0,0.0,0.04,0.03,0.0,41.27,13.76,0.08,nan,nan,nan,16.0,3072.0,0.004128
