distribution,component,storage,storage_bits,arithmetic,family,lanes,logical_values,repeats,samples,median_time_ms,q25_time_ms,q75_time_ms,mad_time_ms,min_time_ms,max_time_ms,useful_flops,logical_storage_bytes,modeled_load_instructions,modeled_conversions
normal_0_1,register_decode,fp32_e8m23,32,fp64,register_resident,1,34603008.0,256.0,15,0.00920484100882139,0.009199630305618392,0.009212809952522261,7.2916807625448415e-06,0.00919084864639153,0.009216320340315868,0.0,540672.0,135168.0,34603008.0
normal_0_1,register_decode,fp32_e8m23,32,fp64,register_resident,2,69206016.0,256.0,15,0.01024086781479351,0.010237410529828201,0.010244557051287854,3.848325925967511e-06,0.010208347175694719,0.010250473539824943,0.0,1081344.0,270336.0,69206016.0
normal_0_1,register_decode,fp32_e8m23,32,fp64,register_resident,4,138412032.0,256.0,15,0.014027214466744636,0.013996821303555017,0.014038113527422909,1.4113546979478697e-05,0.01398228870208607,0.014073955960669371,0.0,2162688.0,540672.0,138412032.0
normal_0_1,register_decode,fp32_e8m23,32,fp64,register_resident,8,276824064.0,256.0,15,0.023550573384986735,0.02345528692569373,0.0235604528292988,1.416116390588057e-05,0.023435527219167092,0.023573461568580485,0.0,4325376.0,1081344.0,276824064.0
normal_0_1,register_decode,fp4_e2m1,4,fp16,register_resident,1,34603008.0,256.0,15,0.06533409768690443,0.06531171199986753,0.0654844852840954,0.00012111236161715944,0.06520409006708941,0.06552193731470493,0.0,67584.0,135168.0,34603008.0
normal_0_1,register_decode,fp4_e2m1,4,fp16,register_resident,2,69206016.0,256.0,15,0.13122067409279073,0.1310969200809445,0.13125706140973925,3.6813516532424595e-05,0.13098137779573424,0.13149961117094597,0.0,135168.0,270336.0,69206016.0
normal_0_1,register_decode,fp4_e2m1,4,fp16,register_resident,4,138412032.0,256.0,15,0.26444351463987115,0.2643792252791555,0.2644679253561455,4.32165045487487e-05,0.2641134094773677,0.265056007786801,0.0,270336.0,540672.0,138412032.0
normal_0_1,register_decode,fp4_e2m1,4,fp16,register_resident,8,276824064.0,256.0,15,0.5406834397997174,0.5405262878962925,0.5417725699288505,0.000292573656354711,0.5401199885777065,0.542682273047311,0.0,540672.0,1081344.0,276824064.0
normal_0_1,register_decode,fp4_e2m1,4,fp32,register_resident,1,34603008.0,256.0,15,0.06321028990892587,0.06313473117509077,0.06322396484240561,4.849454904967687e-05,0.06310315489243831,0.06336211317961436,0.0,67584.0,135168.0,34603008.0
normal_0_1,register_decode,fp4_e2m1,4,fp32,register_resident,2,69206016.0,256.0,15,0.12836772820045209,0.1283172451216599,0.12849724292755127,9.600047407479217e-05,0.1281257908919762,0.12869792971117744,0.0,135168.0,270336.0,69206016.0
normal_0_1,register_decode,fp4_e2m1,4,fp32,register_resident,4,138412032.0,256.0,15,0.25561329469842425,0.25547037286273505,0.2556555958117469,8.570137670482758e-05,0.2550671141026384,0.2563438577167058,0.0,270336.0,540672.0,138412032.0
normal_0_1,register_decode,fp4_e2m1,4,fp32,register_resident,8,276824064.0,256.0,15,0.5400537082127163,0.5399342775344849,0.5401880059923445,0.00015657288687564996,0.5397725786481585,0.5420914377485003,0.0,540672.0,1081344.0,276824064.0
normal_0_1,register_decode,fp4_e2m1,4,fp64,register_resident,1,34603008.0,256.0,15,0.06431872443815248,0.06430987552203964,0.06433026558530014,1.0051558503004765e-05,0.06420148579420241,0.06451355672515599,0.0,67584.0,135168.0,34603008.0
normal_0_1,register_decode,fp4_e2m1,4,fp64,register_resident,2,69206016.0,256.0,15,0.1337862358436928,0.13376634185378616,0.13394955042246226,2.5663289937888356e-05,0.1335437877758129,0.1341780155628651,0.0,135168.0,270336.0,69206016.0
normal_0_1,register_decode,fp4_e2m1,4,fp64,register_resident,4,138412032.0,256.0,15,0.2690331424985613,0.26900428533554077,0.2691134299550738,7.542542048866174e-05,0.26874685287475586,0.26991028445107595,0.0,270336.0,540672.0,138412032.0
normal_0_1,register_decode,fp4_e2m1,4,fp64,register_resident,8,276824064.0,256.0,15,0.5454331466129848,0.545350296156747,0.5463720049176898,0.0001017025538853078,0.5453017098563058,0.5474697181156704,0.0,540672.0,1081344.0,276824064.0
