distribution,kernel,storage,storage_bits,arithmetic,family,lanes,m,n,median_time_ms,x1_time_ms,speedup_over_x1
normal_0_1,dot,fp16_e5m10,16,fp16,vector_packet,4,1,4096,0.005365045722611174,0.0052679441646187606,0.9819010754031088
normal_0_1,dot,fp16_e5m10,16,fp16,vector_packet,4,1,65536,0.005368702180057778,0.005272242994193571,0.9820330533098841
normal_0_1,dot,fp16_e5m10,16,fp16,vector_packet,8,1,1048576,0.005937840299548589,0.00687908286478982,1.1585159784968935
normal_0_1,dot,fp16_e5m10,16,fp16,vector_packet,8,1,134217728,0.12920662452434672,0.479297012090683,3.7095389950409845
normal_0_1,dot,fp16_e5m10,16,fp16,vector_packet,8,1,16777216,0.022600148775562736,0.06643476486206054,2.93957201440619
normal_0_1,dot,fp16_e5m10,16,fp16,vector_packet,8,1,4096,0.0053648095186582334,0.0052679441646187606,0.9819443069315722
normal_0_1,dot,fp16_e5m10,16,fp16,vector_packet,8,1,65536,0.005368306846816305,0.005272242994193571,0.9821053722590941
normal_0_1,dot,fp16_e5m10,16,fp64,scalar_single,1,1,1048576,0.00713479410188901,0.00713479410188901,1.0
normal_0_1,dot,fp16_e5m10,16,fp64,scalar_single,1,1,134217728,0.4880381861040669,0.4880381861040669,1.0
normal_0_1,dot,fp16_e5m10,16,fp64,scalar_single,1,1,16777216,0.06757445729106938,0.06757445729106938,1.0
normal_0_1,dot,fp16_e5m10,16,fp64,scalar_single,1,1,4096,0.005409564925741053,0.005409564925741053,1.0
normal_0_1,dot,fp16_e5m10,16,fp64,scalar_single,1,1,65536,0.005415861986420205,0.005415861986420205,1.0
normal_0_1,dot,fp16_e5m10,16,fp64,scalar_unrolled,2,1,1048576,0.006383290935351617,0.00713479410188901,1.1177297375520605
normal_0_1,dot,fp16_e5m10,16,fp64,scalar_unrolled,2,1,134217728,0.268493720463344,0.4880381861040669,1.8176893867828692
normal_0_1,dot,fp16_e5m10,16,fp64,scalar_unrolled,2,1,16777216,0.04007414260197207,0.06757445729106938,1.6862358843765757
normal_0_1,dot,fp16_e5m10,16,fp64,scalar_unrolled,2,1,4096,0.005415081570191563,0.005409564925741053,0.9989812444412883
normal_0_1,dot,fp16_e5m10,16,fp64,scalar_unrolled,2,1,65536,0.005417914242132164,0.005415861986420205,0.9996212092661046
normal_0_1,dot,fp16_e5m10,16,fp64,scalar_unrolled,4,1,1048576,0.006220156387243857,0.00713479410188901,1.1470441670117604
normal_0_1,dot,fp16_e5m10,16,fp64,scalar_unrolled,4,1,134217728,0.17012072693217883,0.4880381861040669,2.86877557429337
normal_0_1,dot,fp16_e5m10,16,fp64,scalar_unrolled,4,1,16777216,0.027758445739746094,0.06757445729106938,2.4343746737344336
normal_0_1,dot,fp16_e5m10,16,fp64,scalar_unrolled,4,1,4096,0.005412591570546191,0.005409564925741053,0.9994408141154401
normal_0_1,dot,fp16_e5m10,16,fp64,scalar_unrolled,4,1,65536,0.005457192718627202,0.005415861986420205,0.9924263748161356
normal_0_1,dot,fp16_e5m10,16,fp64,scalar_unrolled,8,1,1048576,0.0069343152983097735,0.00713479410188901,1.0289111173857501
normal_0_1,dot,fp16_e5m10,16,fp64,scalar_unrolled,8,1,134217728,0.16093773427216904,0.4880381861040669,3.0324658683135404
