gpu,compute_capability,distribution,component,storage,storage_bits,arithmetic,family,lanes,logical_values,repeats,round,sample,batch_iterations,time_ms,logical_storage_bytes,modeled_load_instructions,modeled_conversions,useful_flops,values_per_s,effective_gb_per_s,useful_gflop_per_s
NVIDIA H200 NVL,sm_90,uniform_0_1,arithmetic_chain,fp16_e5m10,16,fp64,independent_chains,8,4429185024,4096,0,2,49,0.30777469946413621,0,0,0,8858370048,14390997803625.881,0,28781.995607251763
NVIDIA H200 NVL,sm_90,uniform_0_1,register_decode,fp16_e5m10,16,fp16,register_resident,1,34603008,256,0,2,1328,0.0086029394563422144,270336,135168,34603008,0,4022230793974.7441,31.42367807792769,0
NVIDIA H200 NVL,sm_90,uniform_0_1,stream_decode,fp16_e5m10,16,fp16,vector_packet,8,134217728,1,0,2,186,0.079138237942931469,268435456,16777216,134217728,0,1695990857122.5417,3391.9817142450834,0
NVIDIA H200 NVL,sm_90,uniform_0_1,stream_load,fp16_e5m10,16,none,vector_packet,4,134217728,1,0,2,127,0.11744982802023099,268435456,33554432,0,0,1142766492402.8728,2285.5329848057454,0
NVIDIA H200 NVL,sm_90,uniform_0_1,stream_decode,fp16_e5m10,16,fp16,scalar_unrolled,2,134217728,1,0,2,71,0.21315109897667253,268435456,134217728,134217728,0,629683490464.61597,1259.3669809292319,0
NVIDIA H200 NVL,sm_90,uniform_0_1,stream_load,fp16_e5m10,16,none,vector_packet,8,134217728,1,0,2,187,0.079308494527072199,268435456,16777216,0,0,1692349965793.1897,3384.6999315863795,0
NVIDIA H200 NVL,sm_90,uniform_0_1,stream_load,fp16_e5m10,16,none,scalar_unrolled,2,134217728,1,0,2,71,0.21286895913137516,268435456,134217728,0,0,630518082804.01086,1261.0361656080217,0
NVIDIA H200 NVL,sm_90,uniform_0_1,stream_decode,fp16_e5m10,16,fp64,scalar_unrolled,8,134217728,1,0,2,159,0.092520653826635588,268435456,134217728,134217728,0,1450678550667.1411,2901.3571013342821,0
NVIDIA H200 NVL,sm_90,uniform_0_1,stream_decode,fp16_e5m10,16,fp64,scalar_single,1,134217728,1,0,2,37,0.41395978669862488,268435456,134217728,134217728,0,324228904141.6347,648.4578082832694,0
NVIDIA H200 NVL,sm_90,uniform_0_1,stream_decode,fp16_e5m10,16,fp64,scalar_unrolled,2,134217728,1,0,2,68,0.21889317736906164,268435456,134217728,134217728,0,613165424401.07288,1226.3308488021457,0
NVIDIA H200 NVL,sm_90,uniform_0_1,stream_decode,fp16_e5m10,16,fp64,scalar_unrolled,4,134217728,1,0,2,120,0.12428267002105713,268435456,134217728,134217728,0,1079939206144.0229,2159.8784122880461,0
NVIDIA H200 NVL,sm_90,uniform_0_1,stream_decode,fp16_e5m10,16,fp16,scalar_single,1,134217728,1,0,2,37,0.40599090988571579,268435456,134217728,134217728,0,330592938737.91791,661.18587747583581,0
NVIDIA H200 NVL,sm_90,uniform_0_1,stream_load,fp16_e5m10,16,none,scalar_unrolled,8,134217728,1,0,2,171,0.08653604496292204,268435456,134217728,0,0,1551003724026.3066,3102.0074480526132,0
NVIDIA H200 NVL,sm_90,uniform_0_1,stream_load,fp16_e5m10,16,none,scalar_single,1,134217728,1,0,2,37,0.40494617255958348,268435456,134217728,0,0,331445849090.60059,662.89169818120115,0
NVIDIA H200 NVL,sm_90,uniform_0_1,stream_decode,fp16_e5m10,16,fp16,scalar_unrolled,4,134217728,1,0,2,126,0.11833726792108445,268435456,134217728,134217728,0,1134196609047.1663,2268.3932180943325,0
NVIDIA H200 NVL,sm_90,uniform_0_1,stream_load,fp16_e5m10,16,none,scalar_unrolled,4,134217728,1,0,2,124,0.1193633540984123,268435456,134217728,0,0,1124446686454.0403,2248.8933729080804,0
NVIDIA H200 NVL,sm_90,uniform_0_1,arithmetic_chain,fp16_e5m10,16,fp16,independent_chains,8,4429185024,4096,0,2,89,0.16500746266225749,0,0,0,8858370048,26842331568153.352,0,53684.663136306706
NVIDIA H200 NVL,sm_90,uniform_0_1,register_decode,fp16_e5m10,16,fp64,register_resident,2,69206016,256,0,2,1190,0.010269525672207359,540672,270336,69206016,0,6738969082797.4404,52.648195959355,0
