distribution,kernel,storage,storage_bits,arithmetic,family,lanes,m,n,median_time_ms,sustainable_hbm_gb_per_s,empirical_arithmetic_peak_gflop_per_s,memory_floor_ms,compute_floor_ms,classical_roof_time_ms,roof_gap,roof_efficiency
uniform_0_1,gemv,fp4_e2m1,4,fp64,scalar_unrolled,2,1024,16384,0.08718712372187326,4263.659623842958,28801.735231941813,0.001969387976714643,0.0011650142510437125,0.001969387976714643,44.271177011712986,0.0225880599410182
uniform_0_1,gemv,fp4_e2m1,4,fp64,scalar_unrolled,2,1024,256,0.004603585271931014,4263.659623842958,28801.735231941813,3.07716871361663e-05,1.820334767255801e-05,3.07716871361663e-05,149.60457811623755,0.006684287423497393
uniform_0_1,gemv,fp4_e2m1,4,fp64,scalar_unrolled,2,1024,4096,0.024251804485187663,4263.659623842958,28801.735231941813,0.0004923469941786608,0.00029125356276092813,0.0004923469941786608,49.257545535836606,0.020301458164870695
uniform_0_1,gemv,fp4_e2m1,4,fp64,scalar_unrolled,2,1024,65536,0.3380581899122758,4263.659623842958,28801.735231941813,0.007877551906858573,0.00466005700417485,0.007877551906858573,42.9141177245619,0.02330235486648838
uniform_0_1,gemv,fp4_e2m1,4,fp64,scalar_unrolled,4,1024,1024,0.008461211899579582,4263.659623842958,28801.735231941813,0.0001230867485446652,7.281339069023203e-05,0.0001230867485446652,68.74185888913308,0.014547177166285256
uniform_0_1,gemv,fp4_e2m1,4,fp64,scalar_unrolled,4,1024,16384,0.08645740957821117,4263.659623842958,28801.735231941813,0.001969387976714643,0.0011650142510437125,0.001969387976714643,43.90064862812886,0.02277870672186973
uniform_0_1,gemv,fp4_e2m1,4,fp64,scalar_unrolled,4,1024,256,0.006145086657166356,4263.659623842958,28801.735231941813,3.07716871361663e-05,1.820334767255801e-05,3.07716871361663e-05,199.69937397238024,0.0050075269646979795
uniform_0_1,gemv,fp4_e2m1,4,fp64,scalar_unrolled,4,1024,4096,0.024248503304861644,4263.659623842958,28801.735231941813,0.0004923469941786608,0.00029125356276092813,0.0004923469941786608,49.25084054857142,0.020304221996247863
uniform_0_1,gemv,fp4_e2m1,4,fp64,scalar_unrolled,4,1024,65536,0.33912728049538354,4263.659623842958,28801.735231941813,0.007877551906858573,0.00466005700417485,0.007877551906858573,43.049831280721,0.023228894754062136
uniform_0_1,gemv,fp4_e2m1,4,fp64,scalar_unrolled,8,1024,1024,0.009815791882015912,4263.659623842958,28801.735231941813,0.0001230867485446652,7.281339069023203e-05,0.0001230867485446652,79.74694268939925,0.012539665675897187
uniform_0_1,gemv,fp4_e2m1,4,fp64,scalar_unrolled,8,1024,16384,0.08879137895778268,4263.659623842958,28801.735231941813,0.001969387976714643,0.0011650142510437125,0.001969387976714643,45.0857728429446,0.02217994584419081
uniform_0_1,gemv,fp4_e2m1,4,fp64,scalar_unrolled,8,1024,256,0.00785393591869395,4263.659623842958,28801.735231941813,3.07716871361663e-05,1.820334767255801e-05,3.07716871361663e-05,255.23254165232734,0.003917995697281344
uniform_0_1,gemv,fp4_e2m1,4,fp64,scalar_unrolled,8,1024,4096,0.02506134254746342,4263.659623842958,28801.735231941813,0.0004923469941786608,0.00029125356276092813,0.0004923469941786608,50.90178846175562,0.019645675136765316
uniform_0_1,gemv,fp4_e2m1,4,fp64,scalar_unrolled,8,1024,65536,0.3432007269425826,4263.659623842958,28801.735231941813,0.007877551906858573,0.00466005700417485,0.007877551906858573,43.566926755985655,0.022953191203981586
uniform_0_1,gemv,fp4_e2m1,4,fp64,vector_packet,2,1024,1024,0.008084651873417878,4263.659623842958,28801.735231941813,0.0001230867485446652,7.281339069023203e-05,0.0001230867485446652,65.6825529068562,0.015224743188927055
uniform_0_1,gemv,fp4_e2m1,4,fp64,vector_packet,2,1024,16384,0.07937038009231155,4263.659623842958,28801.735231941813,0.001969387976714643,0.0011650142510437125,0.001969387976714643,40.30205375007833,0.024812631291725586
uniform_0_1,gemv,fp4_e2m1,4,fp64,vector_packet,2,1024,256,0.00443734263921801,4263.659623842958,28801.735231941813,3.07716871361663e-05,1.820334767255801e-05,3.07716871361663e-05,144.2021238413916,0.006934710622569632
uniform_0_1,gemv,fp4_e2m1,4,fp64,vector_packet,2,1024,4096,0.022413640200029124,4263.659623842958,28801.735231941813,0.0004923469941786608,0.00029125356276092813,0.0004923469941786608,45.52407238195864,0.021966400360884753
uniform_0_1,gemv,fp4_e2m1,4,fp64,vector_packet,2,1024,65536,0.3064829378711934,4263.659623842958,28801.735231941813,0.007877551906858573,0.00466005700417485,0.007877551906858573,38.90586079215228,0.025703068371686313
uniform_0_1,gemv,fp4_e2m1,4,fp64,vector_packet,4,1024,1024,0.007854656347624707,4263.659623842958,28801.735231941813,0.0001230867485446652,7.281339069023203e-05,0.0001230867485446652,63.813988430886546,0.015670545355162144
uniform_0_1,gemv,fp4_e2m1,4,fp64,vector_packet,4,1024,16384,0.07658166686693828,4263.659623842958,28801.735231941813,0.001969387976714643,0.0011650142510437125,0.001969387976714643,38.88602335975095,0.02571618061195354
uniform_0_1,gemv,fp4_e2m1,4,fp64,vector_packet,4,1024,256,0.00614445879303643,4263.659623842958,28801.735231941813,3.07716871361663e-05,1.820334767255801e-05,3.07716871361663e-05,199.6789700170447,0.005008038652816766
uniform_0_1,gemv,fp4_e2m1,4,fp64,vector_packet,4,1024,4096,0.021783064010548702,4263.659623842958,28801.735231941813,0.0004923469941786608,0.00029125356276092813,0.0004923469941786608,44.24331674226522,0.022602283771476595
uniform_0_1,gemv,fp4_e2m1,4,fp64,vector_packet,4,1024,65536,0.29894975662231443,4263.659623842958,28801.735231941813,0.007877551906858573,0.00466005700417485,0.007877551906858573,37.94957623345325,0.02635075537730199
uniform_0_1,gemv,fp4_e2m1,4,fp64,vector_packet,8,1024,1024,0.009317107791801515,4263.659623842958,28801.735231941813,0.0001230867485446652,7.281339069023203e-05,0.0001230867485446652,75.69545789423921,0.013210832298513709
uniform_0_1,gemv,fp4_e2m1,4,fp64,vector_packet,8,1024,16384,0.07718955592105263,4263.659623842958,28801.735231941813,0.001969387976714643,0.0011650142510437125,0.001969387976714643,39.19469237840133,0.025513658592995137
uniform_0_1,gemv,fp4_e2m1,4,fp64,vector_packet,8,1024,256,0.007889088935120879,4263.659623842958,28801.735231941813,3.07716871361663e-05,1.820334767255801e-05,3.07716871361663e-05,256.3749234876611,0.0039005374878176356
uniform_0_1,gemv,fp4_e2m1,4,fp64,vector_packet,8,1024,4096,0.022259241515033883,4263.659623842958,28801.735231941813,0.0004923469941786608,0.00029125356276092813,0.0004923469941786608,45.21047508813783,0.022118767786679965
uniform_0_1,gemv,fp4_e2m1,4,fp64,vector_packet,8,1024,65536,0.2978032990997913,4263.659623842958,28801.735231941813,0.007877551906858573,0.00466005700417485,0.007877551906858573,37.804041486608234,0.026452198248545503
uniform_0_1,gemv,fp64_e11m52,64,fp64,scalar_single,1,1024,1024,0.004806819580731199,4263.659623842958,28801.735231941813,0.001969387976714643,7.281339069023203e-05,0.001969387976714643,2.440768217113823,0.4097070721375122
uniform_0_1,gemv,fp64_e11m52,64,fp64,scalar_single,1,1024,16384,0.04359821250431487,4263.659623842958,28801.735231941813,0.03151020762743429,0.0011650142510437125,0.03151020762743429,1.3836218732610377,0.7227408147596821
uniform_0_1,gemv,fp64_e11m52,64,fp64,scalar_single,1,1024,256,0.0037997390912926717,4263.659623842958,28801.735231941813,0.0004923469941786608,1.820334767255801e-05,0.0004923469941786608,7.717603918007954,0.12957389503582054
uniform_0_1,gemv,fp64_e11m52,64,fp64,scalar_single,1,1024,4096,0.009639255008342102,4263.659623842958,28801.735231941813,0.007877551906858573,0.00029125356276092813,0.007877551906858573,1.223635860774171,0.8172365914213392
uniform_0_1,gemv,fp64_e11m52,64,fp64,scalar_single,1,1024,65536,0.1501929569244385,4263.659623842958,28801.735231941813,0.12604083050973716,0.00466005700417485,0.12604083050973716,1.1916214477247156,0.8391926831372515
uniform_0_1,gemv,fp64_e11m52,64,fp64,scalar_unrolled,2,1024,1024,0.004837005522108854,4263.659623842958,28801.735231941813,0.001969387976714643,7.281339069023203e-05,0.001969387976714643,2.456095791839861,0.4071502436193256
uniform_0_1,gemv,fp64_e11m52,64,fp64,scalar_unrolled,2,1024,16384,0.03813211963105654,4263.659623842958,28801.735231941813,0.03151020762743429,0.0011650142510437125,0.03151020762743429,1.2101513287985095,0.8263429343112345
uniform_0_1,gemv,fp64_e11m52,64,fp64,scalar_unrolled,2,1024,256,0.0038099842879985527,4263.659623842958,28801.735231941813,0.0004923469941786608,1.820334767255801e-05,0.0004923469941786608,7.738412812602654,0.12922546576623778
uniform_0_1,gemv,fp64_e11m52,64,fp64,scalar_unrolled,2,1024,4096,0.008509736139695722,4263.659623842958,28801.735231941813,0.007877551906858573,0.00029125356276092813,0.007877551906858573,1.080251357314033,0.9257104776858858
uniform_0_1,gemv,fp64_e11m52,64,fp64,scalar_unrolled,2,1024,65536,0.13176561656751132,4263.659623842958,28801.735231941813,0.12604083050973716,0.00466005700417485,0.12604083050973716,1.04542009152607,0.9565532632343354
uniform_0_1,gemv,fp64_e11m52,64,fp64,scalar_unrolled,4,1024,1024,0.005943978522853274,4263.659623842958,28801.735231941813,0.001969387976714643,7.281339069023203e-05,0.001969387976714643,3.018185646065074,0.33132488099389745
uniform_0_1,gemv,fp64_e11m52,64,fp64,scalar_unrolled,4,1024,16384,0.04335548355056717,4263.659623842958,28801.735231941813,0.03151020762743429,0.0011650142510437125,0.03151020762743429,1.3759186884195524,0.7267871338739129
uniform_0_1,gemv,fp64_e11m52,64,fp64,scalar_unrolled,4,1024,256,0.004111002904577313,4263.659623842958,28801.735231941813,0.0004923469941786608,1.820334767255801e-05,0.0004923469941786608,8.349808068667786,0.11976323189420932
uniform_0_1,gemv,fp64_e11m52,64,fp64,scalar_unrolled,4,1024,4096,0.013546919161099692,4263.659623842958,28801.735231941813,0.007877551906858573,0.00029125356276092813,0.007877551906858573,1.7196864357447263,0.5815013593259754
