distribution,kernel,storage,storage_bits,arithmetic,family,lanes,m,n,native_arithmetic,native_time_ms,mixed_fp64_time_ms,mixed_over_native_slowdown
normal_0_1,dot,fp4_e2m1,4,fp64,scalar_unrolled,2,1,134217728,fp16,0.6801032586531206,0.6581579291302225,0.9677323564566377
normal_0_1,dot,fp4_e2m1,4,fp64,scalar_unrolled,2,1,16777216,fp16,0.08635275223675896,0.08458617105649385,0.9795422712709658
normal_0_1,dot,fp4_e2m1,4,fp64,scalar_unrolled,2,1,4096,fp16,0.005941245256777455,0.005939775111445091,0.9997525526604566
normal_0_1,dot,fp4_e2m1,4,fp64,scalar_unrolled,2,1,65536,fp16,0.006185048011713153,0.006184444847787415,0.9999024803163054
normal_0_1,dot,fp4_e2m1,4,fp64,scalar_unrolled,4,1,1048576,fp16,0.010828783383240571,0.010990243505787206,1.0149102735582025
normal_0_1,dot,fp4_e2m1,4,fp64,scalar_unrolled,4,1,134217728,fp16,0.6703429429427438,0.6604159811268682,0.9851912190314153
normal_0_1,dot,fp4_e2m1,4,fp64,scalar_unrolled,4,1,16777216,fp16,0.08635614058550667,0.08594694751047949,0.9952615636565878
normal_0_1,dot,fp4_e2m1,4,fp64,scalar_unrolled,4,1,4096,fp16,0.006428624184770776,0.0064287693796034814,1.0000225856775156
normal_0_1,dot,fp4_e2m1,4,fp64,scalar_unrolled,4,1,65536,fp16,0.006445024486108453,0.00659573624253939,1.0233842023029982
normal_0_1,dot,fp4_e2m1,4,fp64,scalar_unrolled,8,1,1048576,fp16,0.011054971979724037,0.011348279092760078,1.0265316921267642
normal_0_1,dot,fp4_e2m1,4,fp64,scalar_unrolled,8,1,134217728,fp16,0.6818763559514825,0.6950065439397638,1.0192559660907432
normal_0_1,dot,fp4_e2m1,4,fp64,scalar_unrolled,8,1,16777216,fp16,0.08752497941434026,0.08998929942312416,1.0281556194045804
normal_0_1,dot,fp4_e2m1,4,fp64,scalar_unrolled,8,1,4096,fp16,0.007649167256712227,0.00789403414130994,1.0320122277863437
normal_0_1,dot,fp4_e2m1,4,fp64,scalar_unrolled,8,1,65536,fp16,0.007652499515969556,0.007944948312575785,1.0382161143553077
normal_0_1,dot,fp4_e2m1,4,fp64,vector_packet,2,1,1048576,fp16,0.010864606502182662,0.010706186094707736,0.9854186704835467
normal_0_1,dot,fp4_e2m1,4,fp64,vector_packet,2,1,134217728,fp16,0.6795011000199751,0.6494839986165365,0.9558247935101853
normal_0_1,dot,fp4_e2m1,4,fp64,vector_packet,2,1,16777216,fp16,0.08631859606469584,0.08350481151860986,0.967402336525758
normal_0_1,dot,fp4_e2m1,4,fp64,vector_packet,2,1,4096,fp16,0.005941256093237684,0.00594004604023376,0.9997963304417561
normal_0_1,dot,fp4_e2m1,4,fp64,vector_packet,2,1,65536,fp16,0.006184851281635377,0.006184352358247094,0.9999193313847716
normal_0_1,dot,fp4_e2m1,4,fp64,vector_packet,4,1,1048576,fp16,0.010582581810329271,0.01064039100190623,1.0054626737230166
normal_0_1,dot,fp4_e2m1,4,fp64,vector_packet,4,1,134217728,fp16,0.6258466641108195,0.6209146579106649,0.9921194655448683
normal_0_1,dot,fp4_e2m1,4,fp64,vector_packet,4,1,16777216,fp16,0.08110868338063278,0.08130860461869054,1.0024648561624352
normal_0_1,dot,fp4_e2m1,4,fp64,vector_packet,4,1,4096,fp16,0.006404469133089375,0.0064286139973422935,1.0037700024391047
normal_0_1,dot,fp4_e2m1,4,fp64,vector_packet,4,1,65536,fp16,0.006429131153166161,0.006600147809998346,1.0266002750228487
normal_0_1,dot,fp4_e2m1,4,fp64,vector_packet,8,1,1048576,fp16,0.010403137732556805,0.010793745466742994,1.037547107827264
normal_0_1,dot,fp4_e2m1,4,fp64,vector_packet,8,1,134217728,fp16,0.6006732940673828,0.6086259078979492,1.0132394995900622
normal_0_1,dot,fp4_e2m1,4,fp64,vector_packet,8,1,16777216,fp16,0.0786197006061513,0.08049389032217172,1.0238386778577198
normal_0_1,dot,fp4_e2m1,4,fp64,vector_packet,8,1,4096,fp16,0.007343760132789612,0.007587306765750988,1.033163751069966
normal_0_1,dot,fp4_e2m1,4,fp64,vector_packet,8,1,65536,fp16,0.007405385924205733,0.007648883031176664,1.0328810826961794
normal_0_1,dot,fp8_e4m3,8,fp64,scalar_single,1,1,1048576,fp16,0.0071254346712510686,0.007217071685146408,1.0128605507064805
normal_0_1,dot,fp8_e4m3,8,fp64,scalar_single,1,1,134217728,fp16,0.46010277488014917,0.47560998797416687,1.033703802586405
normal_0_1,dot,fp8_e4m3,8,fp64,scalar_single,1,1,16777216,fp16,0.029566422553911603,0.03162931706864021,1.06977152920571
normal_0_1,dot,fp8_e4m3,8,fp64,scalar_single,1,1,4096,fp16,0.00553856978324547,0.005537074669859463,0.999730054247844
normal_0_1,dot,fp8_e4m3,8,fp64,scalar_single,1,1,65536,fp16,0.005538891535725086,0.005537825522662924,0.9998075403615894
