gpu,compute_capability,distribution,kernel,storage,storage_bits,arithmetic,family,lanes,m,n,round,sample,batch_iterations,time_ms,useful_flops,logical_storage_bytes,modeled_load_instructions,result_checksum,max_abs_error,relative_l2_error,useful_gflop_per_s,effective_gb_per_s
NVIDIA H200 NVL,sm_90,uniform_0_1,dot,fp64_e11m52,64,fp64,vector_packet,2,1,4096,1,1,2122,0.0053200982405710176,8192,65536,4096,1019.6924867658463,0,0,1.5398211893020861,12.318569514416689
NVIDIA H200 NVL,sm_90,uniform_0_1,dot,fp64_e11m52,64,fp64,vector_packet,4,1,4096,1,1,2075,0.0053208675154720443,8192,65536,4096,1019.6924867658462,1.1368683772161603e-13,1.1149129683420147e-16,1.5395985666208116,12.316788532966493
NVIDIA H200 NVL,sm_90,uniform_0_1,dot,fp64_e11m52,64,fp64,scalar_single,1,1,4096,1,1,1769,0.0052562851633575422,8192,65536,8192,1019.6924867658463,0,0,1.5585151386206795,12.468121108965436
NVIDIA H200 NVL,sm_90,uniform_0_1,dot,fp64_e11m52,64,fp64,vector_packet,8,1,4096,1,1,1995,0.0058830758383997105,8192,65536,4096,1019.6924867658463,0,0,1.3924688759797379,11.139751007837903
NVIDIA H200 NVL,sm_90,uniform_0_1,dot,fp64_e11m52,64,fp64,scalar_unrolled,2,1,4096,1,1,2012,0.0053202864189982177,8192,65536,8192,1019.6924867658463,0,0,1.5397667258565586,12.318133806852469
NVIDIA H200 NVL,sm_90,uniform_0_1,dot,fp64_e11m52,64,fp64,scalar_unrolled,4,1,4096,1,1,2039,0.0054951013450005174,8192,65536,8192,1019.6924867658462,1.1368683772161603e-13,1.1149129683420147e-16,1.4907823324228842,11.926258659383073
NVIDIA H200 NVL,sm_90,uniform_0_1,dot,fp64_e11m52,64,fp64,scalar_unrolled,8,1,4096,1,1,1718,0.0065225050529861897,8192,65536,8192,1019.6924867658463,0,0,1.2559591649912891,10.047673319930313
NVIDIA H200 NVL,sm_90,uniform_0_1,dot,fp64_e11m52,64,fp64,vector_packet,4,1,4096,1,2,2075,0.0053214999279343938,8192,65536,4096,1019.6924867658462,1.1368683772161603e-13,1.1149129683420147e-16,1.5394155991616871,12.315324793293497
NVIDIA H200 NVL,sm_90,uniform_0_1,dot,fp64_e11m52,64,fp64,scalar_single,1,1,4096,1,2,1769,0.0052724566548607863,8192,65536,8192,1019.6924867658463,0,0,1.5537349164260319,12.429879331408255
NVIDIA H200 NVL,sm_90,uniform_0_1,dot,fp64_e11m52,64,fp64,scalar_unrolled,8,1,4096,1,2,1718,0.0065193759132180975,8192,65536,8192,1019.6924867658463,0,0,1.2565619944373267,10.052495955498614
