gpu,compute_capability,multiprocessors,cuda_runtime,cuda_driver,dataset,variant,storage_type,arithmetic_type,access_kind,n,algorithmic_bytes,algorithmic_flops,arithmetic_intensity_flop_per_byte,blocks,threads,round,order_in_round,iterations,sample,total_time_ms,giga_elements_per_s,algorithmic_gb_per_s,gflop_per_s
NVIDIA H200 NVL,9.0,132,13010,13030,signed_uniform_seed0,accessor_f64_f32,float32,float64,accessor,1024,8192,2048,0.25,4,256,0,3,7892,10,0.004407590256085326,0.23232649599998945,1.8586119679999156,0.46465299199997889
NVIDIA H200 NVL,9.0,132,13010,13030,signed_uniform_seed0,accessor_f64_f32,float32,float64,accessor,1024,8192,2048,0.25,4,256,0,3,7892,11,0.0044076105573125374,0.23232542591611496,1.8586034073289197,0.46465085183222993
NVIDIA H200 NVL,9.0,132,13010,13030,signed_uniform_seed0,accessor_f64_f32,float32,float64,accessor,1024,8192,2048,0.25,4,256,0,3,7892,12,0.0044075375695670858,0.2323292731684142,1.8586341853473136,0.4646585463368284
NVIDIA H200 NVL,9.0,132,13010,13030,signed_uniform_seed0,accessor_f64_f32,float32,float64,accessor,1024,8192,2048,0.25,4,256,0,3,7892,13,0.0044073553418847305,0.2323388791161331,1.8587110329290648,0.4646777582322662
NVIDIA H200 NVL,9.0,132,13010,13030,signed_uniform_seed0,accessor_f64_f32,float32,float64,accessor,1024,8192,2048,0.25,4,256,0,3,7892,14,0.0044072823541392789,0.23234272681401241,1.8587418145120993,0.46468545362802482
NVIDIA H200 NVL,9.0,132,13010,13030,signed_uniform_seed0,accessor_f64_f32,float32,float64,accessor,1024,8192,2048,0.25,4,256,0,3,7892,15,0.0044073432578209141,0.23233951614340284,1.8587161291472227,0.46467903228680568
NVIDIA H200 NVL,9.0,132,13010,13030,signed_uniform_seed0,accessor_f64_f32,float32,float64,accessor,1024,8192,2048,0.25,4,256,0,3,7892,16,0.0044071929320670354,0.23234744105466917,1.8587795284373534,0.46469488210933835
NVIDIA H200 NVL,9.0,132,13010,13030,signed_uniform_seed0,accessor_f64_f32,float32,float64,accessor,1024,8192,2048,0.25,4,256,0,3,7892,17,0.0044074645818216332,0.23233312054813476,1.8586649643850781,0.46466624109626953
NVIDIA H200 NVL,9.0,132,13010,13030,signed_uniform_seed0,accessor_f64_f32,float32,float64,accessor,1024,8192,2048,0.25,4,256,0,3,7892,18,0.0044072620529120666,0.23234379705726813,1.858750376458145,0.46468759411453625
NVIDIA H200 NVL,9.0,132,13010,13030,signed_uniform_seed0,accessor_f64_f32,float32,float64,accessor,1024,8192,2048,0.25,4,256,0,3,7892,19,0.0044075013173756356,0.23233118410267922,1.8586494728214338,0.46466236820535844
NVIDIA H200 NVL,9.0,132,13010,13030,signed_uniform_seed0,raw_f64,float32,float64,raw,1024,8192,2048,0.25,4,256,1,0,7852,0,0.0044079225280730626,0.23230898308179768,1.8584718646543814,0.46461796616359535
NVIDIA H200 NVL,9.0,132,13010,13030,signed_uniform_seed0,raw_f64,float32,float64,raw,1024,8192,2048,0.25,4,256,1,0,7852,1,0.0044075678758820408,0.23232767567875001,1.8586214054300001,0.46465535135750002
NVIDIA H200 NVL,9.0,132,13010,13030,signed_uniform_seed0,raw_f64,float32,float64,raw,1024,8192,2048,0.25,4,256,1,0,7852,2,0.0044074415614030462,0.23233433404254239,1.8586746723403391,0.46466866808508478
NVIDIA H200 NVL,9.0,132,13010,13030,signed_uniform_seed0,raw_f64,float32,float64,raw,1024,8192,2048,0.25,4,256,1,0,7852,3,0.0044074702250732796,0.23233282307266742,1.8586625845813394,0.46466564614533484
