format,arithmetic_type,multiply_method,kernel,storage_layout,access_method,packet_values,rank,strategy_id,decoder,screen_median_ms,selected
lns10_r4,fp32,ordinary,gemv,dense,cooperative_shuffle,16,2,ordinary/dense/cooperative_shuffle/x16/full_lut_global,full_lut_global,0.052044047061875542,1
lns10_r4,fp32,ordinary,gemv,dense,cooperative_shuffle,16,3,ordinary/dense/cooperative_shuffle/x16/ex2_approx,ex2_approx,0.07409963824532248,0
lns10_r4,fp32,ordinary,gemv,dense,cooperative_shuffle,16,4,ordinary/dense/cooperative_shuffle/x16/fraction_lut_shared,fraction_lut_shared,0.11386604641759118,0
lns10_r4,fp32,ordinary,gemv,dense,cooperative_shuffle,16,5,ordinary/dense/cooperative_shuffle/x16/fraction_lut_global,fraction_lut_global,0.12979494270525482,0
lns10_r4,fp32,ordinary,gemv,dense,cooperative_shuffle,16,6,ordinary/dense/cooperative_shuffle/x16/fraction_lut_warp,fraction_lut_warp,0.14206811359950475,0
lns10_r4,fp32,ordinary,gemv,dense,scalar,1,1,ordinary/dense/scalar/x1/full_lut_shared,full_lut_shared,0.043091123871486954,1
lns10_r4,fp32,ordinary,gemv,dense,scalar,1,2,ordinary/dense/scalar/x1/full_lut_global,full_lut_global,0.044609047542108551,1
lns10_r4,fp32,ordinary,gemv,dense,scalar,1,3,ordinary/dense/scalar/x1/ex2_approx,ex2_approx,0.06715102201183093,0
lns10_r4,fp32,ordinary,gemv,dense,scalar,1,4,ordinary/dense/scalar/x1/reference_exp2,reference_exp2,0.067153334617614746,1
lns10_r4,fp32,ordinary,gemv,dense,scalar,1,5,ordinary/dense/scalar/x1/fraction_lut_shared,fraction_lut_shared,0.10686364899510922,0
lns10_r4,fp32,ordinary,gemv,dense,scalar,1,6,ordinary/dense/scalar/x1/fraction_lut_global,fraction_lut_global,0.1235987961292267,0
