kernel,distribution,format,storage_bits,n,m,comparison,batch,finite_count,bias,mean_absolute_error,mse,relative_l2,mean_normalized_absolute_error,rms_normalized_error
gemv,uniform_0_1,e2m29,32,65536,1024,kernel_x4,14,1024,-5.09878597676483025225e-14,1.07361081830292803829e-12,1.77163660834980706608e-24,8.15286193738217120755e-17,6.57529950558786711814e-17,8.15060597130024371729e-17
gemv,uniform_0_1,e2m29,32,65536,1024,kernel_x4,15,1024,-5.26219692820184548054e-14,1.06601099475467364641e-12,1.76830833023496975281e-24,8.14122315456849073144e-17,6.5252194593662841031e-17,8.13811270088651395338e-17
gemv,uniform_0_1,e2m29,32,65536,1024,total_x1,0,1024,-8.16911872262432448011e-08,1.03031162015237987006e-07,1.55965653908555845762e-14,7.62881094258502935544e-12,6.29376147082505749128e-12,7.62868252043320460477e-12
gemv,uniform_0_1,e2m29,32,65536,1024,total_x1,1,1024,-2.42003858055492293566e-08,7.37439340000797804997e-08,8.56301326152839595141e-15,5.65506867152810433307e-12,4.50666277953004750093e-12,5.65518446751860033879e-12
gemv,uniform_0_1,e2m29,32,65536,1024,total_x1,2,1024,3.18296971141274198658e-08,7.16444385640696568274e-08,8.16240558150200706027e-15,5.50347819544159808689e-12,4.36422324808303774604e-12,5.50349498141099544958e-12
gemv,uniform_0_1,e2m29,32,65536,1024,total_x1,3,1024,-7.58992973071831444898e-09,6.9598226727814183068e-08,7.73866729712725406223e-15,5.35667774345269013607e-12,4.23843075486322330265e-12,5.35740329293953484728e-12
gemv,uniform_0_1,e2m29,32,65536,1024,total_x1,4,1024,-1.03559011026266301059e-07,1.16119220364141462198e-07,1.89747413885038548813e-14,8.41356156967893239627e-12,7.09197643605742731954e-12,8.41278831977817228963e-12
gemv,uniform_0_1,e2m29,32,65536,1024,total_x1,5,1024,8.61783176694941310814e-08,1.03105773771247632986e-07,1.57407900503425632869e-14,7.64280309253332705277e-12,6.28108894133906894626e-12,7.64270737687433665125e-12
gemv,uniform_0_1,e2m29,32,65536,1024,total_x1,6,1024,2.58595034326875028441e-08,7.47399107516727445599e-08,8.82778929034197541651e-15,5.73953009371076041367e-12,4.56520319150743027171e-12,5.73863943576102100151e-12
gemv,uniform_0_1,e2m29,32,65536,1024,total_x1,7,1024,-1.73837377652474867062e-08,7.29585516948821899419e-08,8.35497546396281085479e-15,5.59376984772024344014e-12,4.4648684433300154833e-12,5.59400636667123823747e-12
gemv,uniform_0_1,e2m29,32,65536,1024,total_x1,8,1024,-3.45081050375298237221e-08,7.80230827298819540339e-08,9.41467137126787555048e-15,5.89557177832570694208e-12,4.74090607571213128467e-12,5.89581733611216110224e-12
gemv,uniform_0_1,e2m29,32,65536,1024,total_x1,9,1024,2.22681899473761713004e-08,7.25696245032145248466e-08,8.29938380400979446731e-15,5.55712200047845442371e-12,4.42701821130193382563e-12,5.5579272057539044929e-12
gemv,uniform_0_1,e2m29,32,65536,1024,total_x1,10,1024,-1.02451429805083815694e-09,6.99271752446772865142e-08,7.60231382144599574271e-15,5.34447950556268652193e-12,4.28597538448249957928e-12,5.34397436412157922401e-12
gemv,uniform_0_1,e2m29,32,65536,1024,total_x1,11,1024,-1.21977066121214949845e-08,6.92956876480882444369e-08,7.53304581989621295427e-15,5.28051339863686736387e-12,4.21632917253750505655e-12,5.28150690105740320477e-12
gemv,uniform_0_1,e2m29,32,65536,1024,total_x1,12,1024,8.50940988549389598639e-08,9.98641902982475015982e-08,1.49931214977622896462e-14,7.47919261765815527496e-12,6.10026783966966739651e-12,7.48027900179054395777e-12
gemv,uniform_0_1,e2m29,32,65536,1024,total_x1,13,1024,2.87871359926777925509e-08,7.5052804734965228306e-08,8.64665903406498625239e-15,5.67383649149809281111e-12,4.5791381655720158722e-12,5.67307705612912809834e-12
gemv,uniform_0_1,e2m29,32,65536,1024,total_x1,14,1024,-8.78549789905605504892e-08,1.03010612209457341759e-07,1.51977895275767307456e-14,7.55114792213739588189e-12,6.3097629305070675735e-12,7.55160508277229968543e-12
gemv,uniform_0_1,e2m29,32,65536,1024,total_x1,15,1024,-5.72878456391728851926e-08,8.62342435428015141596e-08,1.15571230597252786723e-14,6.58166133470542169524e-12,5.27977166903059317089e-12,6.58281959144179154491e-12
gemv,uniform_0_1,e2m29,32,65536,1024,total_x2,0,1024,-8.16912334115210692076e-08,1.03031158462524308206e-07,1.5596563884141810563e-14,7.62881057409252744608e-12,6.29376125161510683337e-12,7.62868215667601471271e-12
gemv,uniform_0_1,e2m29,32,65536,1024,total_x2,1,1024,-2.42004302144702143629e-08,7.3743999725282838309e-08,8.56302553858413133939e-15,5.65507272544967739766e-12,4.50666677011153102583e-12,5.65518846484968979135e-12
gemv,uniform_0_1,e2m29,32,65536,1024,total_x2,2,1024,3.18298409990314112861e-08,7.16443088900203806091e-08,8.16238335290028437203e-15,5.50347070165150380957e-12,4.3642153386795365101e-12,5.50348746329898094404e-12
gemv,uniform_0_1,e2m29,32,65536,1024,total_x2,3,1024,-7.58989420358152644397e-09,6.959816988439532226e-08,7.73864880967056546001e-15,5.35667134497326723343e-12,4.2384272813174984521e-12,5.3573968821212176932e-12
gemv,uniform_0_1,e2m29,32,65536,1024,total_x2,4,1024,-1.03559222412730189689e-07,1.16119318063767629212e-07,1.89747692303246922995e-14,8.41356774232664080364e-12,7.09198240088120684731e-12,8.41279448753814112437e-12
gemv,uniform_0_1,e2m29,32,65536,1024,total_x2,5,1024,8.61782981295688976786e-08,1.03105718704185611578e-07,1.57407797431761298488e-14,7.64280059025560984433e-12,6.28108559411208684286e-12,7.64270490144297987042e-12
gemv,uniform_0_1,e2m29,32,65536,1024,total_x2,6,1024,2.58595798160315970549e-08,7.47399587133074083667e-08,8.82780619202192740213e-15,5.73953558815852618367e-12,4.56520611929059051223e-12,5.73864492821403728688e-12
gemv,uniform_0_1,e2m29,32,65536,1024,total_x2,7,1024,-1.7383679145471786498e-08,7.29585499185253505416e-08,8.35496336234018294924e-15,5.5937657966182043669e-12,4.46486833612101208045e-12,5.59400231238935541526e-12
gemv,uniform_0_1,e2m29,32,65536,1024,total_x2,8,1024,-3.45080144433310143093e-08,7.80230525318156842296e-08,9.41466334650098302622e-15,5.895569265726093263e-12,4.74090425182132386917e-12,5.89581485641110683298e-12
gemv,uniform_0_1,e2m29,32,65536,1024,total_x2,9,1024,2.22681331039573104924e-08,7.25695947110735484209e-08,8.29936956669562228877e-15,5.55711723394833522238e-12,4.42701638843018184723e-12,5.55792242342930966446e-12
gemv,uniform_0_1,e2m29,32,65536,1024,total_x2,10,1024,-1.02451607440767755719e-09,6.99271592574657319119e-08,7.60229428526976899594e-15,5.34447263852437482765e-12,4.28597439765576216143e-12,5.34396749237184742949e-12
gemv,uniform_0_1,e2m29,32,65536,1024,total_x2,11,1024,-1.2197710164835173785e-08,6.92956201465283472274e-08,7.5330413026795990316e-15,5.28051181539769687584e-12,4.21632505883091138742e-12,5.28150529350024396972e-12
gemv,uniform_0_1,e2m29,32,65536,1024,total_x2,12,1024,8.50940668805158506594e-08,9.98641405602559983912e-08,1.4993122965310419758e-14,7.47919298369517011048e-12,6.10026479004898448476e-12,7.48027934729271944536e-12
gemv,uniform_0_1,e2m29,32,65536,1024,total_x2,13,1024,2.87871430981051501519e-08,7.5052811840392585907e-08,8.64665378129047661924e-15,5.67383476809324341872e-12,4.57913862269503286889e-12,5.67307537762424410356e-12
gemv,uniform_0_1,e2m29,32,65536,1024,total_x2,14,1024,-8.78550713611161993022e-08,1.03010640631166772163e-07,1.5197796112124929198e-14,7.55114955793094241251e-12,6.30976466139918013193e-12,7.55160668662336456006e-12
gemv,uniform_0_1,e2m29,32,65536,1024,total_x2,15,1024,-5.72878385337455275916e-08,8.62341973575236897531e-08,1.15571069059321338473e-14,6.58165673499525368545e-12,5.2797688463218312287e-12,6.58281500265890513938e-12
