GPU accuracy simulation
GPU: NVIDIA H200 NVL (sm_90)
DOT powers: 10,14,18,22, samples per case: 8192
GEMV powers: 8,10,12,14,16, M=1024, replicates: 16
GEMV normal_0_1 e3m28 M=1024 N=2^12 replicates=16
GEMV normal_0_1 e3m28 M=1024 N=2^14 replicates=16
GEMV normal_0_1 e3m28 M=1024 N=2^16 replicates=16
GEMV uniform_0_1 fp32_e8m23 M=1024 N=2^8 replicates=16
GEMV uniform_0_1 fp32_e8m23 M=1024 N=2^10 replicates=16
GEMV uniform_0_1 fp32_e8m23 M=1024 N=2^12 replicates=16
GEMV uniform_0_1 fp32_e8m23 M=1024 N=2^14 replicates=16
GEMV uniform_0_1 fp32_e8m23 M=1024 N=2^16 replicates=16
GEMV normal_0_1 fp32_e8m23 M=1024 N=2^8 replicates=16
GEMV normal_0_1 fp32_e8m23 M=1024 N=2^10 replicates=16
GEMV normal_0_1 fp32_e8m23 M=1024 N=2^12 replicates=16
GEMV normal_0_1 fp32_e8m23 M=1024 N=2^14 replicates=16
GEMV normal_0_1 fp32_e8m23 M=1024 N=2^16 replicates=16
GEMV uniform_0_1 e11m20 M=1024 N=2^8 replicates=16
GEMV uniform_0_1 e11m20 M=1024 N=2^10 replicates=16
GEMV uniform_0_1 e11m20 M=1024 N=2^12 replicates=16
GEMV uniform_0_1 e11m20 M=1024 N=2^14 replicates=16
GEMV uniform_0_1 e11m20 M=1024 N=2^16 replicates=16
GEMV normal_0_1 e11m20 M=1024 N=2^8 replicates=16
GEMV normal_0_1 e11m20 M=1024 N=2^10 replicates=16
GEMV normal_0_1 e11m20 M=1024 N=2^12 replicates=16
GEMV normal_0_1 e11m20 M=1024 N=2^14 replicates=16
GEMV normal_0_1 e11m20 M=1024 N=2^16 replicates=16
GEMV uniform_0_1 fp64_e11m52 M=1024 N=2^8 replicates=16
GEMV uniform_0_1 fp64_e11m52 M=1024 N=2^10 replicates=16
GEMV uniform_0_1 fp64_e11m52 M=1024 N=2^12 replicates=16
GEMV uniform_0_1 fp64_e11m52 M=1024 N=2^14 replicates=16
GEMV uniform_0_1 fp64_e11m52 M=1024 N=2^16 replicates=16
GEMV normal_0_1 fp64_e11m52 M=1024 N=2^8 replicates=16
GEMV normal_0_1 fp64_e11m52 M=1024 N=2^10 replicates=16
GEMV normal_0_1 fp64_e11m52 M=1024 N=2^12 replicates=16
GEMV normal_0_1 fp64_e11m52 M=1024 N=2^14 replicates=16
GEMV normal_0_1 fp64_e11m52 M=1024 N=2^16 replicates=16
Wrote simulation data to /storage/home/timofeirusanov/accessor_universal_test/results/007_gpu_accuracy_simulation/run_20260808T122054Z
