kernel,distribution,format,storage_bits,n,m,comparison,finite_pairs,mse,mse_relative_cluster_standard_error,target,status
dot,uniform_0_1,e3m4,8,4194304,1,kernel_x2,8192,0,nan,0.05,exact_zero
dot,uniform_0_1,e3m4,8,4194304,1,kernel_x4,8192,0,nan,0.05,exact_zero
dot,uniform_0_1,e3m4,8,4194304,1,total_x1,8192,141.607848508496151949,0.0146869861343342881893,0.05,pass
dot,uniform_0_1,e3m4,8,4194304,1,total_x2,8192,141.607848508496151949,0.0146869861343342881893,0.05,pass
dot,uniform_0_1,e3m4,8,4194304,1,total_x4,8192,141.607848508496151949,0.0146869861343342881893,0.05,pass
dot,normal_0_1,e3m4,8,1024,1,storage,8192,0.364942894509659204369,0.011987645124404071614,0.05,pass
dot,normal_0_1,e3m4,8,1024,1,kernel_x1,8192,0,nan,0.05,exact_zero
dot,normal_0_1,e3m4,8,1024,1,kernel_x2,8192,0,nan,0.05,exact_zero
dot,normal_0_1,e3m4,8,1024,1,kernel_x4,8192,0,nan,0.05,exact_zero
dot,normal_0_1,e3m4,8,1024,1,total_x1,8192,0.364942894509659204369,0.011987645124404071614,0.05,pass
dot,normal_0_1,e3m4,8,1024,1,total_x2,8192,0.364942894509659204369,0.011987645124404071614,0.05,pass
dot,normal_0_1,e3m4,8,1024,1,total_x4,8192,0.364942894509659204369,0.011987645124404071614,0.05,pass
dot,normal_0_1,e3m4,8,16384,1,storage,8192,5.88398342546789085645,0.0164795160808316418277,0.05,pass
dot,normal_0_1,e3m4,8,16384,1,kernel_x1,8192,0,nan,0.05,exact_zero
dot,normal_0_1,e3m4,8,16384,1,kernel_x2,8192,0,nan,0.05,exact_zero
dot,normal_0_1,e3m4,8,16384,1,kernel_x4,8192,0,nan,0.05,exact_zero
dot,normal_0_1,e3m4,8,16384,1,total_x1,8192,5.88398342546789085645,0.0164795160808316418277,0.05,pass
dot,normal_0_1,e3m4,8,16384,1,total_x2,8192,5.88398342546789085645,0.0164795160808316418277,0.05,pass
dot,normal_0_1,e3m4,8,16384,1,total_x4,8192,5.88398342546789085645,0.0164795160808316418277,0.05,pass
dot,normal_0_1,e3m4,8,262144,1,storage,8192,94.9620112146535557685,0.013891094522414266358,0.05,pass
dot,normal_0_1,e3m4,8,262144,1,kernel_x1,8192,0,nan,0.05,exact_zero
dot,normal_0_1,e3m4,8,262144,1,kernel_x2,8192,0,nan,0.05,exact_zero
dot,normal_0_1,e3m4,8,262144,1,kernel_x4,8192,0,nan,0.05,exact_zero
dot,normal_0_1,e3m4,8,262144,1,total_x1,8192,94.9620112146535557685,0.013891094522414266358,0.05,pass
dot,normal_0_1,e3m4,8,262144,1,total_x2,8192,94.9620112146535557685,0.013891094522414266358,0.05,pass
dot,normal_0_1,e3m4,8,262144,1,total_x4,8192,94.9620112146535557685,0.013891094522414266358,0.05,pass
dot,normal_0_1,e3m4,8,4194304,1,storage,8192,1499.19679297194880263,0.0176554318362947094151,0.05,pass
dot,normal_0_1,e3m4,8,4194304,1,kernel_x1,8192,0,nan,0.05,exact_zero
dot,normal_0_1,e3m4,8,4194304,1,kernel_x2,8192,0,nan,0.05,exact_zero
dot,normal_0_1,e3m4,8,4194304,1,kernel_x4,8192,0,nan,0.05,exact_zero
dot,normal_0_1,e3m4,8,4194304,1,total_x1,8192,1499.19679297194880263,0.0176554318362947094151,0.05,pass
dot,normal_0_1,e3m4,8,4194304,1,total_x2,8192,1499.19679297194880263,0.0176554318362947094151,0.05,pass
dot,normal_0_1,e3m4,8,4194304,1,total_x4,8192,1499.19679297194880263,0.0176554318362947094151,0.05,pass
dot,uniform_0_1,fp8_e4m3,8,1024,1,storage,8192,0.12540157994572733924,0.0146413216651940393701,0.05,pass
dot,uniform_0_1,fp8_e4m3,8,1024,1,kernel_x1,8192,0,nan,0.05,exact_zero
dot,uniform_0_1,fp8_e4m3,8,1024,1,kernel_x2,8192,0,nan,0.05,exact_zero
dot,uniform_0_1,fp8_e4m3,8,1024,1,kernel_x4,8192,0,nan,0.05,exact_zero
dot,uniform_0_1,fp8_e4m3,8,1024,1,total_x1,8192,0.12540157994572733924,0.0146413216651940393701,0.05,pass
dot,uniform_0_1,fp8_e4m3,8,1024,1,total_x2,8192,0.12540157994572733924,0.0146413216651940393701,0.05,pass
dot,uniform_0_1,fp8_e4m3,8,1024,1,total_x4,8192,0.12540157994572733924,0.0146413216651940393701,0.05,pass
dot,uniform_0_1,fp8_e4m3,8,16384,1,storage,8192,2.00114104851133477311,0.01790424355115392768,0.05,pass
dot,uniform_0_1,fp8_e4m3,8,16384,1,kernel_x1,8192,0,nan,0.05,exact_zero
dot,uniform_0_1,fp8_e4m3,8,16384,1,kernel_x2,8192,0,nan,0.05,exact_zero
dot,uniform_0_1,fp8_e4m3,8,16384,1,kernel_x4,8192,0,nan,0.05,exact_zero
dot,uniform_0_1,fp8_e4m3,8,16384,1,total_x1,8192,2.00114104851133477311,0.01790424355115392768,0.05,pass
dot,uniform_0_1,fp8_e4m3,8,16384,1,total_x2,8192,2.00114104851133477311,0.01790424355115392768,0.05,pass
dot,uniform_0_1,fp8_e4m3,8,16384,1,total_x4,8192,2.00114104851133477311,0.01790424355115392768,0.05,pass
dot,uniform_0_1,fp8_e4m3,8,262144,1,storage,8192,33.0159792478864190339,0.0164725874650710952682,0.05,pass
dot,uniform_0_1,fp8_e4m3,8,262144,1,kernel_x1,8192,0,nan,0.05,exact_zero
dot,uniform_0_1,fp8_e4m3,8,262144,1,kernel_x2,8192,0,nan,0.05,exact_zero
dot,uniform_0_1,fp8_e4m3,8,262144,1,kernel_x4,8192,0,nan,0.05,exact_zero
dot,uniform_0_1,fp8_e4m3,8,262144,1,total_x1,8192,33.0159792478864190339,0.0164725874650710952682,0.05,pass
dot,uniform_0_1,fp8_e4m3,8,262144,1,total_x2,8192,33.0159792478864190339,0.0164725874650710952682,0.05,pass
dot,uniform_0_1,fp8_e4m3,8,262144,1,total_x4,8192,33.0159792478864190339,0.0164725874650710952682,0.05,pass
dot,uniform_0_1,fp8_e4m3,8,4194304,1,storage,8192,523.809569762579826213,0.0173003479209769048524,0.05,pass
dot,uniform_0_1,fp8_e4m3,8,4194304,1,kernel_x1,8192,0,nan,0.05,exact_zero
dot,uniform_0_1,fp8_e4m3,8,4194304,1,kernel_x2,8192,0,nan,0.05,exact_zero
dot,uniform_0_1,fp8_e4m3,8,4194304,1,kernel_x4,8192,0,nan,0.05,exact_zero
dot,uniform_0_1,fp8_e4m3,8,4194304,1,total_x1,8192,523.809569762579826213,0.0173003479209769048524,0.05,pass
dot,uniform_0_1,fp8_e4m3,8,4194304,1,total_x2,8192,523.809569762579826213,0.0173003479209769048524,0.05,pass
dot,uniform_0_1,fp8_e4m3,8,4194304,1,total_x4,8192,523.809569762579826213,0.0173003479209769048524,0.05,pass
dot,normal_0_1,fp8_e4m3,8,1024,1,storage,8192,1.42619714173444507826,0.0145814063534621360816,0.05,pass
dot,normal_0_1,fp8_e4m3,8,1024,1,kernel_x1,8192,0,nan,0.05,exact_zero
dot,normal_0_1,fp8_e4m3,8,1024,1,kernel_x2,8192,0,nan,0.05,exact_zero
dot,normal_0_1,fp8_e4m3,8,1024,1,kernel_x4,8192,0,nan,0.05,exact_zero
dot,normal_0_1,fp8_e4m3,8,1024,1,total_x1,8192,1.42619714173444507826,0.0145814063534621360816,0.05,pass
dot,normal_0_1,fp8_e4m3,8,1024,1,total_x2,8192,1.42619714173444507826,0.0145814063534621360816,0.05,pass
dot,normal_0_1,fp8_e4m3,8,1024,1,total_x4,8192,1.42619714173444507826,0.0145814063534621360816,0.05,pass
dot,normal_0_1,fp8_e4m3,8,16384,1,storage,8192,23.118786905156680769,0.0138077499260722517183,0.05,pass
dot,normal_0_1,fp8_e4m3,8,16384,1,kernel_x1,8192,0,nan,0.05,exact_zero
dot,normal_0_1,fp8_e4m3,8,16384,1,kernel_x2,8192,0,nan,0.05,exact_zero
dot,normal_0_1,fp8_e4m3,8,16384,1,kernel_x4,8192,0,nan,0.05,exact_zero
dot,normal_0_1,fp8_e4m3,8,16384,1,total_x1,8192,23.118786905156680769,0.0138077499260722517183,0.05,pass
