kernel,distribution,format,storage_bits,n,m,comparison,metric,quantile,value,finite_value_count
dot,normal_0_1,e2m5,8,4194304,1,total_x4,normalized_absolute_error,0.0250000000000000000003,nan,0
dot,normal_0_1,e2m5,8,4194304,1,total_x4,normalized_absolute_error,0.0500000000000000000007,nan,0
dot,normal_0_1,e2m5,8,4194304,1,total_x4,normalized_absolute_error,0.100000000000000000001,nan,0
dot,normal_0_1,e2m5,8,4194304,1,total_x4,normalized_absolute_error,0.25,nan,0
dot,normal_0_1,e2m5,8,4194304,1,total_x4,normalized_absolute_error,0.5,nan,0
dot,normal_0_1,e2m5,8,4194304,1,total_x4,normalized_absolute_error,0.75,nan,0
dot,normal_0_1,e2m5,8,4194304,1,total_x4,normalized_absolute_error,0.899999999999999999978,nan,0
dot,normal_0_1,e2m5,8,4194304,1,total_x4,normalized_absolute_error,0.949999999999999999989,nan,0
dot,normal_0_1,e2m5,8,4194304,1,total_x4,normalized_absolute_error,0.975000000000000000022,nan,0
dot,normal_0_1,e2m5,8,4194304,1,total_x4,normalized_absolute_error,0.990000000000000000009,nan,0
dot,normal_0_1,e2m5,8,4194304,1,total_x4,normalized_absolute_error,0.995000000000000000004,nan,0
dot,normal_0_1,e2m5,8,4194304,1,total_x4,normalized_absolute_error,0.998999999999999999979,nan,0
dot,normal_0_1,e2m5,8,4194304,1,total_x4,normalized_absolute_error,1,nan,0
dot,normal_0_1,e2m5,8,4194304,1,total_x4,relative_absolute_error,0,nan,0
dot,normal_0_1,e2m5,8,4194304,1,total_x4,relative_absolute_error,0.000999999999999999999958,nan,0
dot,normal_0_1,e2m5,8,4194304,1,total_x4,relative_absolute_error,0.0049999999999999999999,nan,0
dot,normal_0_1,e2m5,8,4194304,1,total_x4,relative_absolute_error,0.0099999999999999999998,nan,0
dot,normal_0_1,e2m5,8,4194304,1,total_x4,relative_absolute_error,0.0250000000000000000003,nan,0
dot,normal_0_1,e2m5,8,4194304,1,total_x4,relative_absolute_error,0.0500000000000000000007,nan,0
dot,normal_0_1,e2m5,8,4194304,1,total_x4,relative_absolute_error,0.100000000000000000001,nan,0
dot,normal_0_1,e2m5,8,4194304,1,total_x4,relative_absolute_error,0.25,nan,0
dot,normal_0_1,e2m5,8,4194304,1,total_x4,relative_absolute_error,0.5,nan,0
dot,normal_0_1,e2m5,8,4194304,1,total_x4,relative_absolute_error,0.75,nan,0
dot,normal_0_1,e2m5,8,4194304,1,total_x4,relative_absolute_error,0.899999999999999999978,nan,0
dot,normal_0_1,e2m5,8,4194304,1,total_x4,relative_absolute_error,0.949999999999999999989,nan,0
dot,normal_0_1,e2m5,8,4194304,1,total_x4,relative_absolute_error,0.975000000000000000022,nan,0
dot,normal_0_1,e2m5,8,4194304,1,total_x4,relative_absolute_error,0.990000000000000000009,nan,0
dot,normal_0_1,e2m5,8,4194304,1,total_x4,relative_absolute_error,0.995000000000000000004,nan,0
dot,normal_0_1,e2m5,8,4194304,1,total_x4,relative_absolute_error,0.998999999999999999979,nan,0
dot,normal_0_1,e2m5,8,4194304,1,total_x4,relative_absolute_error,1,nan,0
dot,normal_0_1,e2m5,8,4194304,1,total_x4,condition_number,0,nan,0
dot,normal_0_1,e2m5,8,4194304,1,total_x4,condition_number,0.000999999999999999999958,nan,0
dot,normal_0_1,e2m5,8,4194304,1,total_x4,condition_number,0.0049999999999999999999,nan,0
dot,normal_0_1,e2m5,8,4194304,1,total_x4,condition_number,0.0099999999999999999998,nan,0
dot,normal_0_1,e2m5,8,4194304,1,total_x4,condition_number,0.0250000000000000000003,nan,0
dot,normal_0_1,e2m5,8,4194304,1,total_x4,condition_number,0.0500000000000000000007,nan,0
dot,normal_0_1,e2m5,8,4194304,1,total_x4,condition_number,0.100000000000000000001,nan,0
dot,normal_0_1,e2m5,8,4194304,1,total_x4,condition_number,0.25,nan,0
dot,normal_0_1,e2m5,8,4194304,1,total_x4,condition_number,0.5,nan,0
dot,normal_0_1,e2m5,8,4194304,1,total_x4,condition_number,0.75,nan,0
dot,normal_0_1,e2m5,8,4194304,1,total_x4,condition_number,0.899999999999999999978,nan,0
dot,normal_0_1,e2m5,8,4194304,1,total_x4,condition_number,0.949999999999999999989,nan,0
dot,normal_0_1,e2m5,8,4194304,1,total_x4,condition_number,0.975000000000000000022,nan,0
dot,normal_0_1,e2m5,8,4194304,1,total_x4,condition_number,0.990000000000000000009,nan,0
dot,normal_0_1,e2m5,8,4194304,1,total_x4,condition_number,0.995000000000000000004,nan,0
dot,normal_0_1,e2m5,8,4194304,1,total_x4,condition_number,0.998999999999999999979,nan,0
dot,normal_0_1,e2m5,8,4194304,1,total_x4,condition_number,1,nan,0
dot,uniform_0_1,e3m4,8,1024,1,storage,signed_error,0,-0.652054442888017352087,8192
dot,uniform_0_1,e3m4,8,1024,1,storage,signed_error,0.000999999999999999999958,-0.570470174323760130205,8192
dot,uniform_0_1,e3m4,8,1024,1,storage,signed_error,0.0049999999999999999999,-0.480588752221075746489,8192
dot,uniform_0_1,e3m4,8,1024,1,storage,signed_error,0.0099999999999999999998,-0.440540810959380379493,8192
dot,uniform_0_1,e3m4,8,1024,1,storage,signed_error,0.0250000000000000000003,-0.368260062999968844702,8192
dot,uniform_0_1,e3m4,8,1024,1,storage,signed_error,0.0500000000000000000007,-0.311383170703592676554,8192
dot,uniform_0_1,e3m4,8,1024,1,storage,signed_error,0.100000000000000000001,-0.235388363075566707508,8192
dot,uniform_0_1,e3m4,8,1024,1,storage,signed_error,0.25,-0.1240197706205350206,8192
dot,uniform_0_1,e3m4,8,1024,1,storage,signed_error,0.5,-0.00178765173527613285831,8192
dot,uniform_0_1,e3m4,8,1024,1,storage,signed_error,0.75,0.128843388433882027194,8192
dot,uniform_0_1,e3m4,8,1024,1,storage,signed_error,0.899999999999999999978,0.23935394546313005365,8192
dot,uniform_0_1,e3m4,8,1024,1,storage,signed_error,0.949999999999999999989,0.303757861440963633466,8192
dot,uniform_0_1,e3m4,8,1024,1,storage,signed_error,0.975000000000000000022,0.359161928164995906645,8192
dot,uniform_0_1,e3m4,8,1024,1,storage,signed_error,0.990000000000000000009,0.436655738026072672204,8192
dot,uniform_0_1,e3m4,8,1024,1,storage,signed_error,0.995000000000000000004,0.491225251432698395117,8192
dot,uniform_0_1,e3m4,8,1024,1,storage,signed_error,0.998999999999999999979,0.550884541496027560156,8192
dot,uniform_0_1,e3m4,8,1024,1,storage,signed_error,1,0.703374507524650458001,8192
dot,uniform_0_1,e3m4,8,1024,1,storage,absolute_error,0,4.10655055284592229725e-05,8192
dot,uniform_0_1,e3m4,8,1024,1,storage,absolute_error,0.000999999999999999999958,0.000254412882171793350285,8192
dot,uniform_0_1,e3m4,8,1024,1,storage,absolute_error,0.0049999999999999999999,0.00104683867259248483669,8192
dot,uniform_0_1,e3m4,8,1024,1,storage,absolute_error,0.0099999999999999999998,0.00207577209884054369978,8192
dot,uniform_0_1,e3m4,8,1024,1,storage,absolute_error,0.0250000000000000000003,0.00608577277656953824687,8192
dot,uniform_0_1,e3m4,8,1024,1,storage,absolute_error,0.0500000000000000000007,0.0114752288196435951743,8192
dot,uniform_0_1,e3m4,8,1024,1,storage,absolute_error,0.100000000000000000001,0.0223444818073853759831,8192
dot,uniform_0_1,e3m4,8,1024,1,storage,absolute_error,0.25,0.0591586505361797812541,8192
dot,uniform_0_1,e3m4,8,1024,1,storage,absolute_error,0.5,0.125793744356834991116,8192
dot,uniform_0_1,e3m4,8,1024,1,storage,absolute_error,0.75,0.212555423052396982864,8192
dot,uniform_0_1,e3m4,8,1024,1,storage,absolute_error,0.899999999999999999978,0.307346941927419002588,8192
dot,uniform_0_1,e3m4,8,1024,1,storage,absolute_error,0.949999999999999999989,0.363538044730564539035,8192
dot,uniform_0_1,e3m4,8,1024,1,storage,absolute_error,0.975000000000000000022,0.421125408474891181268,8192
dot,uniform_0_1,e3m4,8,1024,1,storage,absolute_error,0.990000000000000000009,0.483814366437134099277,8192
dot,uniform_0_1,e3m4,8,1024,1,storage,absolute_error,0.995000000000000000004,0.526563409257062095309,8192
dot,uniform_0_1,e3m4,8,1024,1,storage,absolute_error,0.998999999999999999979,0.610741188688810971645,8192
dot,uniform_0_1,e3m4,8,1024,1,storage,absolute_error,1,0.703374507524650458001,8192
dot,uniform_0_1,e3m4,8,1024,1,storage,normalized_absolute_error,0,1.57066832219404952905e-07,8192
dot,uniform_0_1,e3m4,8,1024,1,storage,normalized_absolute_error,0.000999999999999999999958,9.82825139347867511896e-07,8192
dot,uniform_0_1,e3m4,8,1024,1,storage,normalized_absolute_error,0.0049999999999999999999,4.18598768039524356305e-06,8192
dot,uniform_0_1,e3m4,8,1024,1,storage,normalized_absolute_error,0.0099999999999999999998,8.48623980597849157996e-06,8192
dot,uniform_0_1,e3m4,8,1024,1,storage,normalized_absolute_error,0.0250000000000000000003,2.36280663523144947556e-05,8192
dot,uniform_0_1,e3m4,8,1024,1,storage,normalized_absolute_error,0.0500000000000000000007,4.44373802971010356111e-05,8192
dot,uniform_0_1,e3m4,8,1024,1,storage,normalized_absolute_error,0.100000000000000000001,8.78048600116847711628e-05,8192
dot,uniform_0_1,e3m4,8,1024,1,storage,normalized_absolute_error,0.25,0.000231040248134747116057,8192
dot,uniform_0_1,e3m4,8,1024,1,storage,normalized_absolute_error,0.5,0.000491696995725292211306,8192
dot,uniform_0_1,e3m4,8,1024,1,storage,normalized_absolute_error,0.75,0.000830158226410350753839,8192
dot,uniform_0_1,e3m4,8,1024,1,storage,normalized_absolute_error,0.899999999999999999978,0.00120457648245426124236,8192
dot,uniform_0_1,e3m4,8,1024,1,storage,normalized_absolute_error,0.949999999999999999989,0.00143377217642725830925,8192
dot,uniform_0_1,e3m4,8,1024,1,storage,normalized_absolute_error,0.975000000000000000022,0.00164068723408184804868,8192
dot,uniform_0_1,e3m4,8,1024,1,storage,normalized_absolute_error,0.990000000000000000009,0.00187708134745846665125,8192
dot,uniform_0_1,e3m4,8,1024,1,storage,normalized_absolute_error,0.995000000000000000004,0.00205749888651933860311,8192
dot,uniform_0_1,e3m4,8,1024,1,storage,normalized_absolute_error,0.998999999999999999979,0.00234939724535790506602,8192
