kernel,distribution,format,storage_bits,n,m,comparison,total_outputs,finite_pairs,matching_nonfinite,class_mismatches,zero_references,bias,mean_absolute_error,mse,rmse,max_absolute_error,relative_l2,mean_normalized_absolute_error,rms_normalized_error,max_normalized_absolute_error,bias_cluster_standard_error,mse_cluster_standard_error,mse_relative_cluster_standard_error,statistical_batches
dot,uniform_0_1,fp16_e5m10,16,16384,1,kernel_x2,8192,8192,0,0,0,-5.70724023596369534062e-16,1.30624677741053574209e-14,4.87792140743412649876e-27,6.98421177187098651548e-14,5.68434188608080148697e-13,1.70502564584613681678e-17,3.17786165169920479871e-18,1.69743358690409487955e-17,1.38518153726210305385e-16,8.44262287146645065841e-16,2.78145059526033322676e-28,0.0570212261112141566384,32
dot,uniform_0_1,fp16_e5m10,16,16384,1,kernel_x4,8192,8192,0,0,0,-5.70724023596369534062e-16,1.30624677741053574209e-14,4.87792140743412649876e-27,6.98421177187098651548e-14,5.68434188608080148697e-13,1.70502564584613681678e-17,3.17786165169920479871e-18,1.69743358690409487955e-17,1.38518153726210305385e-16,8.44262287146645065841e-16,2.78145059526033322676e-28,0.0570212261112141566384,32
dot,uniform_0_1,fp16_e5m10,16,16384,1,total_x1,8192,8192,0,0,0,3.94749776467699176399e-05,0.00882933319752710597285,0.000122729304732352597486,0.0110783258993564816272,0.0458349443503949238732,2.70450418315300406527e-06,2.15561019116024597926e-06,2.70455486428829291826e-06,1.12318857871175857294e-05,0.000100204076487407466392,1.75764699134032547475e-06,0.0143213309581879609458,32
dot,uniform_0_1,fp16_e5m10,16,16384,1,total_x2,8192,8192,0,0,0,3.94749776467699176399e-05,0.00882933319752710597285,0.000122729304732352597486,0.0110783258993564816272,0.0458349443503949238732,2.70450418315300406527e-06,2.15561019116024597926e-06,2.70455486428829291826e-06,1.12318857871175857294e-05,0.000100204076487407466392,1.75764699134032547475e-06,0.0143213309581879609458,32
dot,uniform_0_1,fp16_e5m10,16,16384,1,total_x4,8192,8192,0,0,0,3.94749776467699176399e-05,0.00882933319752710597285,0.000122729304732352597486,0.0110783258993564816272,0.0458349443503949238732,2.70450418315300406527e-06,2.15561019116024597926e-06,2.70455486428829291826e-06,1.12318857871175857294e-05,0.000100204076487407466392,1.75764699134032547475e-06,0.0143213309581879609458,32
dot,uniform_0_1,fp16_e5m10,16,262144,1,storage,8192,8192,0,0,0,-0.00041786877607890215644,0.0357207529270453720376,0.00198704856276306205136,0.0445763228941448472577,0.179309366192896391112,6.80190361461935782961e-07,5.45061264692830545248e-07,6.80173779134832073781e-07,2.73268307775228711526e-06,0.000574402829154999067296,3.27231009121662521499e-05,0.0164681938455815144649,32
dot,uniform_0_1,fp16_e5m10,16,262144,1,kernel_x1,8192,8192,0,0,0,6.83355282082853676684e-14,4.52562423300384431002e-12,3.23920935120531610875e-23,5.69140523175543713527e-12,2.05773176276125013828e-11,8.68451849604941456738e-17,6.90434147914507455094e-17,8.68117203535444130549e-17,3.13176006740028389114e-16,6.27112654871749560921e-14,3.83679439416431362453e-25,0.0118448484743248686825,32
dot,uniform_0_1,fp16_e5m10,16,262144,1,kernel_x2,8192,8192,0,0,0,-4.5351309513330662071e-14,4.50815730232423383939e-12,3.19614259449004227865e-23,5.65344372439493049101e-12,1.96678229258395731449e-11,8.62659301027117709085e-17,6.87786052933160426471e-17,8.62376181904909881595e-17,2.99967890832290279884e-16,6.31446651232713207281e-14,5.42936279045576320698e-25,0.0169872358004791723414,32
dot,uniform_0_1,fp16_e5m10,16,262144,1,kernel_x4,8192,8192,0,0,0,-4.09104174148300359093e-14,4.5391411983286555909e-12,3.25923758295579133328e-23,5.70897327280115345726e-12,1.95541360881179571152e-11,8.71132557992205959211e-17,6.92477816986249118334e-17,8.70766568874848942025e-17,2.98083463755440704518e-16,5.24347663924356104244e-14,5.11458063120292018763e-25,0.0156925676665906774336,32
dot,uniform_0_1,fp16_e5m10,16,262144,1,total_x1,8192,8192,0,0,0,-0.000417868776010566628232,0.0357207529270797477516,0.00198704856276946687574,0.0445763228942166883605,0.179309366179253970586,6.80190361463032006756e-07,5.45061264693356332627e-07,6.80173779135931938153e-07,2.73268307754437599208e-06,0.00057440282915895299613,3.27231009120220291735e-05,0.0164681938454558512725,32
dot,uniform_0_1,fp16_e5m10,16,262144,1,total_x2,8192,8192,0,0,0,-0.000417868776124253465953,0.0357207529269287574203,0.0019870485627481028532,0.0445763228939770541644,0.179309366193805885814,6.80190361459375427199e-07,5.45061264691053650088e-07,6.80173779132278913819e-07,2.73268307776614785674e-06,0.000574402829173219519756,3.27231009123924492082e-05,0.0164681938458193284991,32
dot,uniform_0_1,fp16_e5m10,16,262144,1,total_x4,8192,8192,0,0,0,-0.000417868776119812573855,0.0357207529270753068595,0.00198704856276947176227,0.0445763228942167431704,0.179309366193805885814,6.80190361463032843087e-07,5.45061264693289006484e-07,6.80173779135932492571e-07,2.73268307776614785674e-06,0.000574402829166780961862,3.27231009131127486756e-05,0.016468193846004725141,32
dot,uniform_0_1,fp16_e5m10,16,4194304,1,storage,8192,8192,0,0,0,-0.00146009471908990773326,0.14251466730285140827,0.0321298471785784825855,0.17924800467112174408,0.717315187175472601666,1.70944305444592322856e-07,1.35913093871552932134e-07,1.70945230817451084392e-07,6.84018724507584342989e-07,0.00186333178283308132819,0.000488869537550037517725,0.0152154330156906311414,32
dot,uniform_0_1,fp16_e5m10,16,4194304,1,kernel_x1,8192,8192,0,0,0,-1.55260526657485797841e-12,7.70286334716985265914e-11,9.125009620882445459e-21,9.55249162307010110614e-11,3.48222783941309899092e-10,9.10997057423197839901e-17,7.34577796172107129403e-17,9.10938436352684527253e-17,3.31868217927318554211e-16,1.22638865878370600505e-12,1.12605000400810513981e-22,0.0123402610056558939486,32
dot,uniform_0_1,fp16_e5m10,16,4194304,1,kernel_x2,8192,8192,0,0,0,3.0901670111660450857e-13,7.63468732678518335888e-11,8.98547136012813881784e-21,9.47917262219026097708e-11,3.51178641722071915865e-10,9.04004809045462408666e-17,7.28076541448851632235e-17,9.03945767160429471628e-17,3.34662353993819802628e-16,1.06193609833266400288e-12,1.34824345783454630823e-22,0.015004704859638208861,32
dot,uniform_0_1,fp16_e5m10,16,4194304,1,kernel_x4,8192,8192,0,0,0,-6.43110564801929740497e-13,7.89188714378497024882e-11,9.63005669922148731138e-21,9.81328522933145325549e-11,3.47426976077258586884e-10,9.35868286551009279261e-17,7.52601288505053934773e-17,9.35800176759047993385e-17,3.31252869566400257392e-16,1.14851812557551134267e-12,1.56634689164455181904e-22,0.0162651886750695702212,32
dot,uniform_0_1,fp16_e5m10,16,4194304,1,total_x1,8192,8192,0,0,0,-0.00146009472064251299983,0.142514667302899231127,0.0321298471782952028992,0.17924800467033155485,0.717315187034841983404,1.70944305443838739282e-07,1.35913093871598239272e-07,1.70945230816697217198e-07,6.84018724373481541513e-07,0.00186333178298833851951,0.000488869537514836557284,0.0152154330147291968342,32
dot,uniform_0_1,fp16_e5m10,16,4194304,1,total_x2,8192,8192,0,0,0,-0.00146009471878089103214,0.14251466730149235651,0.0321298471782560589995,0.179248004670222365635,0.717315187034841983404,1.7094430544373460828e-07,1.3591309387025684735e-07,1.70945230816593357757e-07,6.84018724373481541513e-07,0.00186333178292037676587,0.000488869537457528002563,0.0152154330129640790911,32
dot,uniform_0_1,fp16_e5m10,16,4194304,1,total_x4,8192,8192,0,0,0,-0.00146009471973301829806,0.142514667303155026512,0.0321298471787269969413,0.179248004671536014681,0.717315187034841983404,1.70944305444987402282e-07,1.35913093871841372948e-07,1.70945230817843943872e-07,6.84018724373481541513e-07,0.00186333178269082601839,0.00048886953731998801565,0.015215433008460306919,32
dot,normal_0_1,fp16_e5m10,16,1024,1,storage,8192,8192,0,0,0,-1.64053754991144830651e-05,0.00759293924917016208105,9.05599337765396329528e-05,0.0095162983232210429142,0.0374961736744982652297,0.00029388563699688975032,1.16502628233047986841e-05,1.45830117602232162113e-05,5.55607117444428883576e-05,9.26027639489377310177e-05,1.47285732466309463718e-06,0.0162638957786500899784,32
dot,normal_0_1,fp16_e5m10,16,1024,1,kernel_x1,8192,8192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,32
dot,normal_0_1,fp16_e5m10,16,1024,1,kernel_x2,8192,8192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,32
dot,normal_0_1,fp16_e5m10,16,1024,1,kernel_x4,8192,8192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,32
dot,normal_0_1,fp16_e5m10,16,1024,1,total_x1,8192,8192,0,0,0,-1.64053754991144830651e-05,0.00759293924917016208105,9.05599337765396329528e-05,0.0095162983232210429142,0.0374961736744982652297,0.00029388563699688975032,1.16502628233047986841e-05,1.45830117602232162113e-05,5.55607117444428883576e-05,9.26027639489377310177e-05,1.47285732466309463718e-06,0.0162638957786500899784,32
dot,normal_0_1,fp16_e5m10,16,1024,1,total_x2,8192,8192,0,0,0,-1.64053754991144830651e-05,0.00759293924917016208105,9.05599337765396329528e-05,0.0095162983232210429142,0.0374961736744982652297,0.00029388563699688975032,1.16502628233047986841e-05,1.45830117602232162113e-05,5.55607117444428883576e-05,9.26027639489377310177e-05,1.47285732466309463718e-06,0.0162638957786500899784,32
dot,normal_0_1,fp16_e5m10,16,1024,1,total_x4,8192,8192,0,0,0,-1.64053754991144830651e-05,0.00759293924917016208105,9.05599337765396329528e-05,0.0095162983232210429142,0.0374961736744982652297,0.00029388563699688975032,1.16502628233047986841e-05,1.45830117602232162113e-05,5.55607117444428883576e-05,9.26027639489377310177e-05,1.47285732466309463718e-06,0.0162638957786500899784,32
dot,normal_0_1,fp16_e5m10,16,16384,1,storage,8192,8192,0,0,0,0.000110120668746839332925,0.0298756940260301164835,0.0013964966709305296248,0.0373697293398083045937,0.143878307500197054336,0.000290109452852584305581,2.86352180987814736256e-06,3.58112200198381594032e-06,1.35550499476347101597e-05,0.000377630959506400823377,2.03576082264074470452e-05,0.014577627466052269805,32
dot,normal_0_1,fp16_e5m10,16,16384,1,kernel_x1,8192,8192,0,0,0,-8.67361737988403547206e-19,8.67361737988403547206e-19,6.16297582203915472978e-33,7.85046229341887529676e-17,7.10542735760100185871e-15,6.09448469715537972215e-19,8.41341081963809335336e-23,7.61495019964718686242e-21,6.89226614344752607507e-19,8.67361737988403547206e-19,6.16297582203915472978e-33,1,32
