kernel,distribution,format,storage_bits,n,m,operand,source_values,decoded_zeros,decoded_infinities,decoded_nans,saturated_values
gemv,uniform_0_1,e2m5,8,4096,1024,vector,65536,988,0,0,0
gemv,uniform_0_1,e2m5,8,16384,1024,matrix,268435456,4198039,0,0,0
gemv,uniform_0_1,e2m5,8,16384,1024,vector,262144,4146,0,0,0
gemv,uniform_0_1,e2m5,8,65536,1024,matrix,1073741824,16775017,0,0,0
gemv,uniform_0_1,e2m5,8,65536,1024,vector,1048576,16252,0,0,0
gemv,normal_0_1,e2m5,8,256,1024,matrix,4194304,51945,304,0,0
gemv,normal_0_1,e2m5,8,256,1024,vector,4096,51,0,0,0
gemv,normal_0_1,e2m5,8,1024,1024,matrix,16777216,208399,1239,0,0
gemv,normal_0_1,e2m5,8,1024,1024,vector,16384,205,1,0,0
gemv,normal_0_1,e2m5,8,4096,1024,matrix,67108864,835380,4779,0,0
gemv,normal_0_1,e2m5,8,4096,1024,vector,65536,817,9,0,0
gemv,normal_0_1,e2m5,8,16384,1024,matrix,268435456,3344987,19370,0,0
gemv,normal_0_1,e2m5,8,16384,1024,vector,262144,3218,16,0,0
gemv,normal_0_1,e2m5,8,65536,1024,matrix,1073741824,13384228,77566,0,0
gemv,normal_0_1,e2m5,8,65536,1024,vector,1048576,13233,72,0,0
gemv,uniform_0_1,e3m4,8,256,1024,matrix,4194304,32631,0,0,0
gemv,uniform_0_1,e3m4,8,256,1024,vector,4096,35,0,0,0
gemv,uniform_0_1,e3m4,8,1024,1024,matrix,16777216,130928,0,0,0
gemv,uniform_0_1,e3m4,8,1024,1024,vector,16384,131,0,0,0
gemv,uniform_0_1,e3m4,8,4096,1024,matrix,67108864,524741,0,0,0
gemv,uniform_0_1,e3m4,8,4096,1024,vector,65536,478,0,0,0
gemv,uniform_0_1,e3m4,8,16384,1024,matrix,268435456,2099594,0,0,0
gemv,uniform_0_1,e3m4,8,16384,1024,vector,262144,2035,0,0,0
gemv,uniform_0_1,e3m4,8,65536,1024,matrix,1073741824,8387277,0,0,0
gemv,uniform_0_1,e3m4,8,65536,1024,vector,1048576,8094,0,0,0
gemv,normal_0_1,e3m4,8,256,1024,matrix,4194304,26062,0,0,0
gemv,normal_0_1,e3m4,8,256,1024,vector,4096,30,0,0,0
gemv,normal_0_1,e3m4,8,1024,1024,matrix,16777216,104440,0,0,0
gemv,normal_0_1,e3m4,8,1024,1024,vector,16384,100,0,0,0
gemv,normal_0_1,e3m4,8,4096,1024,matrix,67108864,418029,0,0,0
gemv,normal_0_1,e3m4,8,4096,1024,vector,65536,412,0,0,0
gemv,normal_0_1,e3m4,8,16384,1024,matrix,268435456,1671746,0,0,0
gemv,normal_0_1,e3m4,8,16384,1024,vector,262144,1604,0,0,0
gemv,normal_0_1,e3m4,8,65536,1024,matrix,1073741824,6695024,0,0,0
gemv,normal_0_1,e3m4,8,65536,1024,vector,1048576,6582,0,0,0
gemv,uniform_0_1,fp8_e4m3,8,256,1024,matrix,4194304,4142,0,0,0
gemv,uniform_0_1,fp8_e4m3,8,256,1024,vector,4096,6,0,0,0
gemv,uniform_0_1,fp8_e4m3,8,1024,1024,matrix,16777216,16328,0,0,0
gemv,uniform_0_1,fp8_e4m3,8,1024,1024,vector,16384,12,0,0,0
gemv,uniform_0_1,fp8_e4m3,8,4096,1024,matrix,67108864,65661,0,0,0
gemv,uniform_0_1,fp8_e4m3,8,4096,1024,vector,65536,69,0,0,0
gemv,uniform_0_1,fp8_e4m3,8,16384,1024,matrix,268435456,262466,0,0,0
gemv,uniform_0_1,fp8_e4m3,8,16384,1024,vector,262144,263,0,0,0
gemv,uniform_0_1,fp8_e4m3,8,65536,1024,matrix,1073741824,1048126,0,0,0
gemv,uniform_0_1,fp8_e4m3,8,65536,1024,vector,1048576,951,0,0,0
gemv,normal_0_1,fp8_e4m3,8,256,1024,matrix,4194304,3269,0,0,0
gemv,normal_0_1,fp8_e4m3,8,256,1024,vector,4096,3,0,0,0
gemv,normal_0_1,fp8_e4m3,8,1024,1024,matrix,16777216,13106,0,0,0
