format,family,bits,arithmetic,distribution,kernel,strategy,samples,median_ms,minimum_ms,maximum_ms
e5m8,ieee,14,fp64,lut_concentrated_control,dot,full_lut_global,30,0.531040012,0.528639972,0.533951998
e5m8,ieee,14,fp64,lut_concentrated_control,dot,full_lut_shared,30,2.02670408,2.02073598,2.03311992
e5m8,ieee,14,fp64,lut_concentrated_control,gemv,full_lut_global,30,0.192272,0.190880001,0.194815993
e5m8,ieee,14,fp64,lut_concentrated_control,gemv,full_lut_shared,30,0.999392003,0.997600019,1.00636804
e5m8,ieee,14,fp64,lut_scattered_control,dot,full_lut_global,30,0.546112001,0.543456018,0.550975978
e5m8,ieee,14,fp64,lut_scattered_control,dot,full_lut_shared,30,2.01367998,2.00959992,2.02854395
e5m8,ieee,14,fp64,lut_scattered_control,gemv,full_lut_global,30,0.190944002,0.188416004,0.195935994
e5m8,ieee,14,fp64,lut_scattered_control,gemv,full_lut_shared,30,0.976943999,0.973760009,1.00704002
e5m8,ieee,14,fp64,paired_log_uniform_finite,dot,direct_branchy,30,1.09270406,1.09024,1.09923196
e5m8,ieee,14,fp64,paired_log_uniform_finite,dot,full_lut_global,30,0.61147201,0.608832002,0.615903974
e5m8,ieee,14,fp64,paired_log_uniform_finite,dot,full_lut_shared,30,2.05627191,2.05084801,2.0628159
e5m8,ieee,14,fp64,paired_log_uniform_finite,gemv,direct_branchy,30,0.424832002,0.41811201,0.428319991
e5m8,ieee,14,fp64,paired_log_uniform_finite,gemv,full_lut_global,30,0.285696,0.283295989,0.287903994
e5m8,ieee,14,fp64,paired_log_uniform_finite,gemv,full_lut_shared,30,1.023296,1.01657605,1.02751994
e6m1,ieee,8,fp32,field_balanced_finite,dot,full_lut_global,30,0.499487996,0.497312009,0.500895977
e6m1,ieee,8,fp32,field_balanced_finite,dot,full_lut_shared,30,0.488655999,0.48665601,0.491647989
e6m1,ieee,8,fp32,field_balanced_finite,gemv,full_lut_global,30,0.120464001,0.119199999,0.121664003
e6m1,ieee,8,fp32,field_balanced_finite,gemv,full_lut_shared,30,0.116319999,0.115135998,0.119584002
e6m1,ieee,8,fp32,paired_log_uniform_finite,dot,full_lut_global,30,0.50070402,0.49744001,0.503423989
e6m1,ieee,8,fp32,paired_log_uniform_finite,dot,full_lut_shared,30,0.486575991,0.484416008,0.490655988
e6m1,ieee,8,fp32,paired_log_uniform_finite,gemv,full_lut_global,30,0.121584002,0.120640002,0.123424001
e6m1,ieee,8,fp32,paired_log_uniform_finite,gemv,full_lut_shared,30,0.117023997,0.116191998,0.12432
e6m1,ieee,8,fp64,field_balanced_finite,dot,full_lut_global,30,0.503600001,0.501344025,0.507167995
e6m1,ieee,8,fp64,field_balanced_finite,dot,full_lut_shared,30,0.488416001,0.485632002,0.491328001
e6m1,ieee,8,fp64,field_balanced_finite,gemv,full_lut_global,30,0.123808,0.122496001,0.124799997
e6m1,ieee,8,fp64,field_balanced_finite,gemv,full_lut_shared,30,0.117792003,0.116768003,0.121119998
e6m1,ieee,8,fp64,paired_log_uniform_finite,dot,full_lut_global,30,0.522543997,0.520192027,0.527711987
e6m1,ieee,8,fp64,paired_log_uniform_finite,dot,full_lut_shared,30,0.501839995,0.499327987,0.504639983
e6m1,ieee,8,fp64,paired_log_uniform_finite,gemv,full_lut_global,30,0.143904001,0.142399997,0.145664006
e6m1,ieee,8,fp64,paired_log_uniform_finite,gemv,full_lut_shared,30,0.136239998,0.135008007,0.144160002
e6m9,ieee,16,fp32,field_balanced_finite,dot,direct_branchy,30,0.910112023,0.907455981,0.914528012
e6m9,ieee,16,fp32,field_balanced_finite,dot,full_lut_global,30,0.516464025,0.514240026,0.518944025
e6m9,ieee,16,fp32,field_balanced_finite,dot,prefix_lut_global,30,0.939855993,0.937088013,0.945216
e6m9,ieee,16,fp32,field_balanced_finite,gemv,direct_branchy,30,0.200383998,0.198688,0.202879995
