format,family,bits,arithmetic,distribution,kernel,winning_strategy,median_ms
takum32,takum,32,fp64,paired_log_uniform_finite,gemv,direct,0.473408014
takum8,takum,8,fp32,field_balanced_finite,dot,full_lut_shared,0.488767997
takum8,takum,8,fp32,field_balanced_finite,gemv,full_lut_shared,0.116015997
takum8,takum,8,fp32,paired_log_uniform_finite,dot,full_lut_shared,0.486911998
takum8,takum,8,fp32,paired_log_uniform_finite,gemv,full_lut_shared,0.117199998
takum8,takum,8,fp64,field_balanced_finite,dot,full_lut_shared,0.489247992
takum8,takum,8,fp64,field_balanced_finite,gemv,full_lut_shared,0.116720002
takum8,takum,8,fp64,paired_log_uniform_finite,dot,full_lut_shared,0.497216002
takum8,takum,8,fp64,paired_log_uniform_finite,gemv,full_lut_shared,0.131232001
takum_log14,takum_log,14,fp32,field_balanced_finite,dot,full_lut_global,0.525568008
takum_log14,takum_log,14,fp32,field_balanced_finite,gemv,full_lut_global,0.184911996
takum_log14,takum_log,14,fp32,paired_log_uniform_finite,dot,full_lut_global,0.588320017
takum_log14,takum_log,14,fp32,paired_log_uniform_finite,gemv,full_lut_global,0.268112004
takum_log14,takum_log,14,fp64,field_balanced_finite,dot,full_lut_global,0.533888012
takum_log14,takum_log,14,fp64,field_balanced_finite,gemv,full_lut_global,0.203376002
takum_log14,takum_log,14,fp64,paired_log_uniform_finite,dot,full_lut_global,0.609967977
takum_log14,takum_log,14,fp64,paired_log_uniform_finite,gemv,full_lut_global,0.281248003
takum_log16,takum_log,16,fp32,field_balanced_finite,dot,full_lut_global,0.516640007
takum_log16,takum_log,16,fp32,field_balanced_finite,gemv,full_lut_global,0.19184
takum_log16,takum_log,16,fp32,paired_log_uniform_finite,dot,full_lut_global,0.649807989
takum_log16,takum_log,16,fp32,paired_log_uniform_finite,gemv,full_lut_global,0.241247997
takum_log16,takum_log,16,fp64,field_balanced_finite,dot,full_lut_global,0.507568002
takum_log16,takum_log,16,fp64,field_balanced_finite,gemv,full_lut_global,0.203855998
takum_log16,takum_log,16,fp64,paired_log_uniform_finite,dot,full_lut_global,0.704272002
takum_log16,takum_log,16,fp64,paired_log_uniform_finite,gemv,full_lut_global,0.309903995
takum_log32,takum_log,32,fp32,field_balanced_finite,dot,direct,1.57350403
takum_log32,takum_log,32,fp32,field_balanced_finite,gemv,direct,0.673199982
takum_log32,takum_log,32,fp32,paired_log_uniform_finite,dot,direct,1.57617599
takum_log32,takum_log,32,fp32,paired_log_uniform_finite,gemv,direct,0.674191981
takum_log32,takum_log,32,fp64,field_balanced_finite,dot,direct,1.59451199
takum_log32,takum_log,32,fp64,field_balanced_finite,gemv,direct,0.69166398
takum_log32,takum_log,32,fp64,paired_log_uniform_finite,dot,direct,1.59488005
takum_log32,takum_log,32,fp64,paired_log_uniform_finite,gemv,direct,0.692143977
takum_log8,takum_log,8,fp32,field_balanced_finite,dot,full_lut_shared,0.489087999
takum_log8,takum_log,8,fp32,field_balanced_finite,gemv,full_lut_shared,0.115808003
takum_log8,takum_log,8,fp32,paired_log_uniform_finite,dot,full_lut_shared,0.48715201
takum_log8,takum_log,8,fp32,paired_log_uniform_finite,gemv,full_lut_shared,0.117071997
takum_log8,takum_log,8,fp64,field_balanced_finite,dot,full_lut_shared,0.488688007
takum_log8,takum_log,8,fp64,field_balanced_finite,gemv,full_lut_shared,0.116608002
takum_log8,takum_log,8,fp64,paired_log_uniform_finite,dot,full_lut_shared,0.497263997
takum_log8,takum_log,8,fp64,paired_log_uniform_finite,gemv,full_lut_shared,0.131279997
