question,bits,arithmetic,distribution,kernel,numerator_format,numerator_strategy,denominator_format,denominator_strategy,ratio,ci_lower,ci_upper,classification,interval_method,note
1,14,fp64,field_balanced_finite,gemv,takum_log14,full_lut_shared,takum_log14,direct,1.04233976,1.04078232,1.05427903,numerator_slower,paired_round_bootstrap,alternative strategy divided by direct
1,14,fp64,paired_log_uniform_finite,dot,takum_log14,full_lut_global,takum_log14,direct,0.243717619,0.243354448,0.244154178,numerator_faster,paired_round_bootstrap,alternative strategy divided by direct
1,14,fp64,paired_log_uniform_finite,dot,takum_log14,full_lut_shared,takum_log14,direct,0.822990129,0.821846022,0.824429439,numerator_faster,paired_round_bootstrap,alternative strategy divided by direct
1,14,fp64,paired_log_uniform_finite,gemv,takum_log14,full_lut_global,takum_log14,direct,0.237638613,0.23717494,0.237746457,numerator_faster,paired_round_bootstrap,alternative strategy divided by direct
1,14,fp64,paired_log_uniform_finite,gemv,takum_log14,full_lut_shared,takum_log14,direct,0.849004339,0.848220524,0.857065396,numerator_faster,paired_round_bootstrap,alternative strategy divided by direct
3,16,fp32,field_balanced_finite,dot,takum_log16,full_lut_global,takum_log16,direct,0.230209138,0.229919305,0.230439384,numerator_faster,paired_round_bootstrap,alternative strategy divided by direct
3,16,fp32,field_balanced_finite,gemv,takum_log16,full_lut_global,takum_log16,direct,0.237957301,0.233073703,0.241856723,numerator_faster,paired_round_bootstrap,alternative strategy divided by direct
3,16,fp32,paired_log_uniform_finite,dot,takum_log16,full_lut_global,takum_log16,direct,0.26555326,0.264903264,0.266240323,numerator_faster,paired_round_bootstrap,alternative strategy divided by direct
3,16,fp32,paired_log_uniform_finite,gemv,takum_log16,full_lut_global,takum_log16,direct,0.249478848,0.248984379,0.250032931,numerator_faster,paired_round_bootstrap,alternative strategy divided by direct
3,16,fp64,field_balanced_finite,dot,takum_log16,full_lut_global,takum_log16,direct,0.225225358,0.224861735,0.225364031,numerator_faster,paired_round_bootstrap,alternative strategy divided by direct
3,16,fp64,field_balanced_finite,gemv,takum_log16,full_lut_global,takum_log16,direct,0.244470107,0.238991885,0.249415215,numerator_faster,paired_round_bootstrap,alternative strategy divided by direct
3,16,fp64,paired_log_uniform_finite,dot,takum_log16,full_lut_global,takum_log16,direct,0.282545703,0.282425724,0.282804603,numerator_faster,paired_round_bootstrap,alternative strategy divided by direct
3,16,fp64,paired_log_uniform_finite,gemv,takum_log16,full_lut_global,takum_log16,direct,0.305674764,0.305316712,0.307062771,numerator_faster,paired_round_bootstrap,alternative strategy divided by direct
1,8,fp32,field_balanced_finite,dot,takum_log8,full_lut_global,takum_log8,direct,0.253609279,0.253335742,0.254254772,numerator_faster,paired_round_bootstrap,alternative strategy divided by direct
1,8,fp32,field_balanced_finite,dot,takum_log8,full_lut_shared,takum_log8,direct,0.248151983,0.247857906,0.24859479,numerator_faster,paired_round_bootstrap,alternative strategy divided by direct
1,8,fp32,field_balanced_finite,gemv,takum_log8,full_lut_global,takum_log8,direct,0.163618429,0.163178844,0.164756485,numerator_faster,paired_round_bootstrap,alternative strategy divided by direct
1,8,fp32,field_balanced_finite,gemv,takum_log8,full_lut_shared,takum_log8,direct,0.158798762,0.158491031,0.159165419,numerator_faster,paired_round_bootstrap,alternative strategy divided by direct
1,8,fp32,paired_log_uniform_finite,dot,takum_log8,full_lut_global,takum_log8,direct,0.204516828,0.203995412,0.204873994,numerator_faster,paired_round_bootstrap,alternative strategy divided by direct
1,8,fp32,paired_log_uniform_finite,dot,takum_log8,full_lut_shared,takum_log8,direct,0.198826377,0.198383854,0.199131749,numerator_faster,paired_round_bootstrap,alternative strategy divided by direct
1,8,fp32,paired_log_uniform_finite,gemv,takum_log8,full_lut_global,takum_log8,direct,0.145395012,0.145135671,0.145751797,numerator_faster,paired_round_bootstrap,alternative strategy divided by direct
1,8,fp32,paired_log_uniform_finite,gemv,takum_log8,full_lut_shared,takum_log8,direct,0.140851374,0.140631023,0.141316607,numerator_faster,paired_round_bootstrap,alternative strategy divided by direct
1,8,fp64,field_balanced_finite,dot,takum_log8,full_lut_global,takum_log8,direct,0.247073784,0.246676876,0.247379002,numerator_faster,paired_round_bootstrap,alternative strategy divided by direct
1,8,fp64,field_balanced_finite,dot,takum_log8,full_lut_shared,takum_log8,direct,0.241125028,0.240631826,0.241480637,numerator_faster,paired_round_bootstrap,alternative strategy divided by direct
1,8,fp64,field_balanced_finite,gemv,takum_log8,full_lut_global,takum_log8,direct,0.158717499,0.157715565,0.160561698,numerator_faster,paired_round_bootstrap,alternative strategy divided by direct
1,8,fp64,field_balanced_finite,gemv,takum_log8,full_lut_shared,takum_log8,direct,0.153800777,0.153461785,0.154305171,numerator_faster,paired_round_bootstrap,alternative strategy divided by direct
1,8,fp64,paired_log_uniform_finite,dot,takum_log8,full_lut_global,takum_log8,direct,0.217307752,0.217000845,0.21767105,numerator_faster,paired_round_bootstrap,alternative strategy divided by direct
1,8,fp64,paired_log_uniform_finite,dot,takum_log8,full_lut_shared,takum_log8,direct,0.209212172,0.208936145,0.209581627,numerator_faster,paired_round_bootstrap,alternative strategy divided by direct
1,8,fp64,paired_log_uniform_finite,gemv,takum_log8,full_lut_global,takum_log8,direct,0.172834415,0.170684757,0.173444406,numerator_faster,paired_round_bootstrap,alternative strategy divided by direct
1,8,fp64,paired_log_uniform_finite,gemv,takum_log8,full_lut_shared,takum_log8,direct,0.161262033,0.160186737,0.162317565,numerator_faster,paired_round_bootstrap,alternative strategy divided by direct
2,14,fp32,lut_concentrated_control,dot,posit14_es1,full_lut_global,e5m8,full_lut_global,1.00036592,0.999207976,1.00204346,equivalent,paired_round_bootstrap,alternative LUT divided by IEEE LUT
2,14,fp32,lut_concentrated_control,dot,posit14_es1,full_lut_shared,e5m8,full_lut_shared,0.999795178,0.998294366,1.0014365,equivalent,paired_round_bootstrap,alternative LUT divided by IEEE LUT
2,14,fp32,lut_concentrated_control,gemv,posit14_es1,full_lut_global,e5m8,full_lut_global,0.999576857,0.994349163,1.00263593,equivalent,paired_round_bootstrap,alternative LUT divided by IEEE LUT
2,14,fp32,lut_concentrated_control,gemv,posit14_es1,full_lut_shared,e5m8,full_lut_shared,0.999686744,0.997951101,1.00228465,equivalent,paired_round_bootstrap,alternative LUT divided by IEEE LUT
2,14,fp32,lut_scattered_control,dot,posit14_es1,full_lut_global,e5m8,full_lut_global,1.00148065,1.00032664,1.00432922,equivalent,paired_round_bootstrap,alternative LUT divided by IEEE LUT
2,14,fp32,lut_scattered_control,dot,posit14_es1,full_lut_shared,e5m8,full_lut_shared,0.999729912,0.998841887,1.00144178,equivalent,paired_round_bootstrap,alternative LUT divided by IEEE LUT
2,14,fp32,lut_scattered_control,gemv,posit14_es1,full_lut_global,e5m8,full_lut_global,0.988982231,0.98511163,0.996255363,equivalent,paired_round_bootstrap,alternative LUT divided by IEEE LUT
2,14,fp32,lut_scattered_control,gemv,posit14_es1,full_lut_shared,e5m8,full_lut_shared,0.999409409,0.998302239,1.00102822,equivalent,paired_round_bootstrap,alternative LUT divided by IEEE LUT
2,14,fp64,lut_concentrated_control,dot,posit14_es1,full_lut_global,e5m8,full_lut_global,1.0000601,0.999095514,1.00105584,equivalent,paired_round_bootstrap,alternative LUT divided by IEEE LUT
