mode,stage,kernel,family,k,observed_instructions,n,rows,cols,storage,arithmetic,left_seed,right_seed,round,order,ms,result,valid,job_id,node
full,initial,dot,add32f,16,16,67108864,0,0,uint32,fp64,0x6bd87c012a53f9e1,0xf5ef05b8551985f4,0,71,0.295392007,3.0948012463693605e+26,1,460407,gpu-nvidia-h200-3.int.coma-cluster.de
full,initial,gemv,fma32f,1,1,67108864,4096,16384,uint32,fp64,0x6bd87c012a53f9e1,0xf5ef05b8551985f4,1,0,0.130303994,3.0959687244421644e+26,1,460407,gpu-nvidia-h200-3.int.coma-cluster.de
full,initial,dot,add32f,32,32,67108864,0,0,uint32,fp64,0x6bd87c012a53f9e1,0xf5ef05b8551985f4,1,1,0.330751985,3.0948484703342411e+26,1,460407,gpu-nvidia-h200-3.int.coma-cluster.de
full,initial,gemv,rot32,4,4,67108864,4096,16384,uint32,fp64,0x6bd87c012a53f9e1,0xf5ef05b8551985f4,1,2,0.138272002,3.1007037939006973e+26,1,460407,gpu-nvidia-h200-3.int.coma-cluster.de
full,initial,gemv,rot32,1,1,67108864,4096,16384,uint32,fp64,0x6bd87c012a53f9e1,0xf5ef05b8551985f4,1,3,0.131007999,3.0896900490555979e+26,1,460407,gpu-nvidia-h200-3.int.coma-cluster.de
full,initial,gemv,add32f,8,8,67108864,4096,16384,uint32,fp64,0x6bd87c012a53f9e1,0xf5ef05b8551985f4,1,4,0.140704006,3.0953701840303414e+26,1,460407,gpu-nvidia-h200-3.int.coma-cluster.de
full,initial,gemv,mul32f,8,8,67108864,4096,16384,uint32,fp64,0x6bd87c012a53f9e1,0xf5ef05b8551985f4,1,5,0.141120002,3.1003036623896445e+26,1,460407,gpu-nvidia-h200-3.int.coma-cluster.de
full,initial,gemv,fma32f,32,32,67108864,4096,16384,uint32,fp64,0x6bd87c012a53f9e1,0xf5ef05b8551985f4,1,6,0.237248003,3.115317536200015e+26,1,460407,gpu-nvidia-h200-3.int.coma-cluster.de
full,initial,gemv,add32f,32,32,67108864,4096,16384,uint32,fp64,0x6bd87c012a53f9e1,0xf5ef05b8551985f4,1,7,0.230560005,3.0954410257552857e+26,1,460407,gpu-nvidia-h200-3.int.coma-cluster.de
full,initial,gemv,u32_base,0,0,67108864,4096,16384,uint32,fp64,0x6bd87c012a53f9e1,0xf5ef05b8551985f4,1,8,0.127872005,3.095346570299221e+26,1,460407,gpu-nvidia-h200-3.int.coma-cluster.de
