graph_id,variant,label,target_x,actual_x,samples,median_ms,q1_ms,q3_ms,minimum_ms,maximum_ms
g5_u32_split_fp64,u32_2x16_global_fp64,2 x 16-bit global LUTs,0.25,0.24996203441161546,50,0.5017600059509277,0.5013759732246399,0.502328023314476,0.5004799962043762,0.5046079754829407
g5_u32_split_fp64,u32_2x16_global_fp64,2 x 16-bit global LUTs,0.375,0.3749453056077484,50,0.7169280052185059,0.7161279916763306,0.7175519913434982,0.7141439914703369,0.719871997833252
g5_u32_split_fp64,u32_2x16_global_fp64,2 x 16-bit global LUTs,0.5,0.49999004996664287,50,0.934112012386322,0.9333760142326355,0.9352159947156906,0.9313279986381531,0.9386879801750183
g5_u32_split_fp64,u32_2x16_global_fp64,2 x 16-bit global LUTs,0.625,0.6249948686948613,50,1.147871971130371,1.1472480297088623,1.1482479572296143,1.1459200382232666,1.1501439809799194
g5_u32_split_fp64,u32_2x16_global_fp64,2 x 16-bit global LUTs,0.75,0.749985444204352,50,1.3638880252838135,1.3632879853248596,1.3650480210781097,1.361631989479065,1.3672319650650024
g5_u32_split_fp64,u32_2x16_global_fp64,2 x 16-bit global LUTs,0.875,0.8749781890833709,50,1.5812959671020508,1.5804000198841095,1.5820560157299042,1.5790719985961914,1.5834879875183105
g5_u32_split_fp64,u32_2x16_global_fp64,2 x 16-bit global LUTs,1.0,1.0000003819998131,50,1.8516640067100525,1.850799947977066,1.8523999750614166,1.8479360342025757,1.853119969367981
g5_u32_split_fp64,u32_4x8_shared_fp64,4 x 8-bit shared LUTs,0.0,0.0,50,0.30323201417922974,0.30270399898290634,0.3036159947514534,0.3012480139732361,0.3062399923801422
g5_u32_split_fp64,u32_4x8_shared_fp64,4 x 8-bit shared LUTs,0.125,0.12496766387126428,50,0.3120640069246292,0.31143198907375336,0.31301601231098175,0.31004801392555237,0.3147200047969818
g5_u32_split_fp64,u32_4x8_shared_fp64,4 x 8-bit shared LUTs,0.25,0.24997507428336518,50,0.3264960050582886,0.3259279876947403,0.32715199142694473,0.3246079981327057,0.32950401306152344
g5_u32_split_fp64,u32_4x8_shared_fp64,4 x 8-bit shared LUTs,0.375,0.3749583675525394,50,0.34913600981235504,0.34812799096107483,0.34988800436258316,0.3470720052719116,0.3524160087108612
g5_u32_split_fp64,u32_4x8_shared_fp64,4 x 8-bit shared LUTs,0.5,0.4999920656299731,50,0.3799999952316284,0.3795360028743744,0.3811440020799637,0.3779520094394684,0.3840959966182709
g5_u32_split_fp64,u32_4x8_shared_fp64,4 x 8-bit shared LUTs,0.625,0.6249955318694077,50,0.4110240042209625,0.4102559983730316,0.41204799711704254,0.40835198760032654,0.41465601325035095
g5_u32_split_fp64,u32_4x8_shared_fp64,4 x 8-bit shared LUTs,0.75,0.7499999861977417,50,0.44116801023483276,0.44047998636960983,0.44170399755239487,0.4392000138759613,0.44390401244163513
g5_u32_split_fp64,u32_4x8_shared_fp64,4 x 8-bit shared LUTs,0.875,0.8749963148757486,50,0.47251200675964355,0.4716399982571602,0.47360800951719284,0.4702399969100952,0.47593599557876587
g5_u32_split_fp64,u32_4x8_shared_fp64,4 x 8-bit shared LUTs,1.0,0.9999985045779717,50,0.49934400618076324,0.4981520026922226,0.5005679875612259,0.4966079890727997,0.5043200254440308
g5_u32_split_fp64,u32_8x4_shared_fp64,8 x 4-bit shared LUTs,0.0,0.0,50,0.3737120032310486,0.37303198873996735,0.37439199537038803,0.3710080087184906,0.3770880103111267
g5_u32_split_fp64,u32_8x4_shared_fp64,8 x 4-bit shared LUTs,0.125,0.12500417330981742,50,0.3829439878463745,0.38199199736118317,0.383416011929512,0.38047999143600464,0.38499200344085693
g5_u32_split_fp64,u32_8x4_shared_fp64,8 x 4-bit shared LUTs,0.25,0.24997944810399408,50,0.38870398700237274,0.3880719989538193,0.38998401165008545,0.38678398728370667,0.3924799859523773
g5_u32_split_fp64,u32_8x4_shared_fp64,8 x 4-bit shared LUTs,0.375,0.3749928138896486,50,0.3898079991340637,0.3892640024423599,0.39074399322271347,0.3877759873867035,0.3919680118560791
g5_u32_split_fp64,u32_8x4_shared_fp64,8 x 4-bit shared LUTs,0.5,0.49998611521854597,50,0.38996800780296326,0.3892560079693794,0.3906479924917221,0.3868800103664398,0.39232000708580017
g5_u32_split_fp64,u32_8x4_shared_fp64,8 x 4-bit shared LUTs,0.625,0.6249943850503373,50,0.3901920020580292,0.389119990170002,0.3909999951720238,0.38758400082588196,0.39366400241851807
g5_u32_split_fp64,u32_8x4_shared_fp64,8 x 4-bit shared LUTs,0.75,0.7499958564477367,50,0.3898560106754303,0.38919200003147125,0.39077599346637726,0.3861759901046753,0.3940480053424835
g5_u32_split_fp64,u32_8x4_shared_fp64,8 x 4-bit shared LUTs,0.875,0.874985713757319,50,0.3919359892606735,0.39101600646972656,0.3930160105228424,0.3877120018005371,0.39417600631713867
g5_u32_split_fp64,u32_8x4_shared_fp64,8 x 4-bit shared LUTs,1.0,0.9999891978037645,50,0.3920160084962845,0.39108800143003464,0.3933039978146553,0.3891200125217438,0.3957119882106781
