format,component,distribution,strategy,lanes,case_count,geomean_speedup_vs_fp64,mean_rank_within_format,wins,median_cv_percent
e0m15,dot,normal_0_1,word_masked_x4,4,5,1.1179569255875998,10.4,0,0.08497203075690234
e0m15,dot,normal_0_1,word_branchy_x4,4,5,1.1179275390095977,10.2,0,0.0806825624694572
e0m15,dot,normal_0_1,generic_x4,4,5,1.1047987291428372,12.4,0,0.10240041055742341
e0m15,dot,normal_0_1,word_branchy_x8,8,5,1.103784635014081,12.4,0,0.11071026786053124
e0m15,dot,normal_0_1,word_masked_x8,8,5,1.1035240268004993,12.2,0,0.1336329052134951
e0m15,dot,normal_0_1,generic_x8,8,5,1.0767031625591856,13.8,0,0.1595498941398603
e0m15,dot,normal_0_1,word_branchy_x2,2,5,1.0553923415704258,10.6,0,0.05767243229504752
e0m15,dot,normal_0_1,word_masked_x2,2,5,1.0552127371854834,11.2,0,0.050739958931778906
e0m15,dot,normal_0_1,generic_x2,2,5,1.0291370541694658,14.8,0,0.0992004615899558
e0m15,dot,normal_0_1,word_masked_x1,1,5,0.9954159939039866,12.6,0,0.15571782878782847
e0m15,dot,normal_0_1,word_branchy_x1,1,5,0.9950359445893647,13.2,0,0.1193020947140817
e0m15,dot,normal_0_1,fp32_bits_x1,1,5,0.983908650979861,15.4,0,0.05052179576789055
e0m15,dot,normal_0_1,generic_x1,1,5,0.9429793725189667,17.0,0,0.09390039558850163
e0m15,dot,normal_0_1,full_high_l2_x4,4,5,0.7757035566442937,20.8,0,0.03577731930892833
e0m15,dot,normal_0_1,full_high_l2_x8,8,5,0.7379946982204322,22.6,0,0.11756188225426321
e0m15,dot,normal_0_1,full_high_l2_x2,2,5,0.735698810272235,21.8,0,0.045735585963169845
e0m15,dot,normal_0_1,full_high_l2_x1,1,5,0.7064626890128565,21.8,0,0.03034591411936007
e0m15,dot,uniform_0_1,fixed_integer_x8,8,5,1.5837789323615936,4.8,3,0.12905197036200977
e0m15,dot,uniform_0_1,fixed_integer_x4,4,5,1.5741028346802755,1.8,1,0.12530977830711107
e0m15,dot,uniform_0_1,fixed_integer_x2,2,5,1.4070212139590408,4.0,1,0.04652432210291575
e0m15,dot,uniform_0_1,fp32_bits_x4,4,5,1.2897965580314168,8.4,0,0.06041182570047108
e0m15,dot,uniform_0_1,fixed_integer_x1,1,5,1.240498083473387,6.6,0,0.09514919825680082
e0m15,dot,uniform_0_1,fp32_bits_x8,8,5,1.2096690364158027,11.0,0,0.08807525216691496
e0m15,dot,uniform_0_1,fp32_bits_x2,2,5,1.1650914723390038,9.6,0,0.07402472385050538
e0m15,dot,uniform_0_1,word_branchy_x4,4,5,1.12088467011399,10.2,0,0.10223230106412227
e0m15,dot,uniform_0_1,word_masked_x4,4,5,1.1208112743936143,10.4,0,0.09826664748325019
e0m15,dot,uniform_0_1,generic_x4,4,5,1.1076334884640318,12.4,0,0.12060411491892914
e0m15,dot,uniform_0_1,word_branchy_x8,8,5,1.1068575648735008,12.2,0,0.12304225505697262
e0m15,dot,uniform_0_1,word_masked_x8,8,5,1.1063003327057628,12.0,0,0.11238848498632231
e0m15,dot,uniform_0_1,generic_x8,8,5,1.080548504904357,12.8,0,0.11495051927975432
e0m15,dot,uniform_0_1,word_branchy_x2,2,5,1.0580573708068455,10.8,0,0.040855227110854375
e0m15,dot,uniform_0_1,word_masked_x2,2,5,1.0579803707415338,11.4,0,0.056126716129409185
e0m15,dot,uniform_0_1,generic_x2,2,5,1.028985327582373,15.6,0,0.056377368058173165
e0m15,dot,uniform_0_1,word_branchy_x1,1,5,0.9939062220348285,14.0,0,0.11403791832820173
e0m15,dot,uniform_0_1,word_masked_x1,1,5,0.993800715413492,14.2,0,0.07101378616380129
e0m15,dot,uniform_0_1,fp32_bits_x1,1,5,0.9862904290856753,16.4,0,0.05119245420519416
e0m15,dot,uniform_0_1,generic_x1,1,5,0.9454290682476376,18.4,0,0.05466492810253494
e0m15,dot,uniform_0_1,full_high_l2_x4,4,5,0.9297399887955247,20.4,0,0.06581054830176128
e0m15,dot,uniform_0_1,full_high_l2_x8,8,5,0.912309733036686,20.0,0,0.10682319988093666
e0m15,dot,uniform_0_1,full_high_l2_x2,2,5,0.9032592095704135,20.8,0,0.06695489382728496
e0m15,dot,uniform_0_1,full_high_l2_x1,1,5,0.8618657481697435,21.8,0,0.09668746361362648
e0m15,gemv,normal_0_1,fixed_integer_x4,4,5,1.2380345711115108,2.0,1,0.04220738250243017
e0m15,gemv,normal_0_1,fixed_integer_x8,8,5,1.2214061614204175,4.2,3,0.02157654034854275
e0m15,gemv,normal_0_1,fixed_integer_x2,2,5,1.0769029651283517,2.8,1,0.3299449067866441
e0m15,gemv,normal_0_1,fixed_integer_x1,1,5,0.9665518768212376,4.6,0,0.18699391306071583
e0m15,gemv,normal_0_1,fp32_bits_x4,4,5,0.9513114679145648,6.4,0,0.24335713081977212
e0m15,gemv,normal_0_1,fp32_bits_x2,2,5,0.8869409171222179,6.4,0,0.2726053585692165
e0m15,gemv,normal_0_1,fp32_bits_x8,8,5,0.8703111186290964,9.2,0,0.14949755015993108
e0m15,gemv,normal_0_1,fp32_bits_x1,1,5,0.7631820260031037,9.0,0,0.08603526141696781
e0m15,gemv,normal_0_1,word_masked_x4,4,5,0.7469705068211796,12.6,0,0.21825288866088016
e0m15,gemv,normal_0_1,word_branchy_x4,4,5,0.7465927843820814,13.2,0,0.14120525506815668
e0m15,gemv,normal_0_1,word_branchy_x8,8,5,0.7372780653378467,12.0,0,0.042290633325022205
e0m15,gemv,normal_0_1,word_masked_x8,8,5,0.7370408942879425,12.2,0,0.03360631364159036
e0m15,gemv,normal_0_1,generic_x4,4,5,0.7325951700205575,12.0,0,0.13803432203420374
e0m15,gemv,normal_0_1,generic_x2,2,5,0.715105154505533,14.4,0,0.29720403773782134
e0m15,gemv,normal_0_1,generic_x8,8,5,0.7048940383254845,13.4,0,0.08569404086484607
e0m15,gemv,normal_0_1,word_masked_x2,2,5,0.6978479160587149,14.4,0,0.1787685663319276
e0m15,gemv,normal_0_1,word_branchy_x2,2,5,0.6976760975918147,14.2,0,0.18214690466371133
e0m15,gemv,normal_0_1,generic_x1,1,5,0.6545638175209281,16.6,0,0.2767278512300397
e0m15,gemv,normal_0_1,word_masked_x1,1,5,0.6473088835439825,16.8,0,0.11795204401616625
e0m15,gemv,normal_0_1,word_branchy_x1,1,5,0.6471795663764875,17.2,0,0.12515054108688803
e0m15,gemv,normal_0_1,full_high_l2_x2,2,5,0.5814476265485045,19.8,0,0.2560802140712067
e0m15,gemv,normal_0_1,full_high_l2_x1,1,5,0.5526811874152845,21.8,0,0.4388467932355259
e0m15,gemv,normal_0_1,full_high_l2_x8,8,5,0.5401118408950684,22.6,0,0.06794746532177304
e0m15,gemv,normal_0_1,full_high_l2_x4,4,5,0.5133585272795018,22.2,0,0.2450206716659847
e0m15,gemv,uniform_0_1,fixed_integer_x4,4,5,1.2383833748174775,2.0,1,0.045958738276026034
e0m15,gemv,uniform_0_1,fixed_integer_x8,8,5,1.2222142721341176,4.0,3,0.027343876463304384
e0m15,gemv,uniform_0_1,fixed_integer_x2,2,5,1.0777000121526104,2.8,1,0.28365836326284066
e0m15,gemv,uniform_0_1,fixed_integer_x1,1,5,0.9664402121194338,4.6,0,0.12049587644671962
e0m15,gemv,uniform_0_1,fp32_bits_x4,4,5,0.9514762420506282,6.4,0,0.19964858838561772
e0m15,gemv,uniform_0_1,fp32_bits_x2,2,5,0.8876082691259338,6.4,0,0.21309607415444715
e0m15,gemv,uniform_0_1,fp32_bits_x8,8,5,0.8711748316570054,9.0,0,0.15949997765860527
e0m15,gemv,uniform_0_1,fp32_bits_x1,1,5,0.7637686560438304,9.0,0,0.11406676602565126
e0m15,gemv,uniform_0_1,word_branchy_x4,4,5,0.7470603272152749,12.6,0,0.1343977918044283
e0m15,gemv,uniform_0_1,word_masked_x4,4,5,0.7466895624307917,13.2,0,0.15297086773646448
e0m15,gemv,uniform_0_1,word_masked_x8,8,5,0.7374882323771867,11.6,0,0.031454933988444386
e0m15,gemv,uniform_0_1,word_branchy_x8,8,5,0.7373130855329222,11.4,0,0.025473795414967186
e0m15,gemv,uniform_0_1,generic_x4,4,5,0.732601220560938,11.4,0,0.10386357874989227
e0m15,gemv,uniform_0_1,generic_x2,2,5,0.7159763223330802,14.8,0,0.27747055390102443
e0m15,gemv,uniform_0_1,generic_x8,8,5,0.7046534245628855,13.2,0,0.08063549243114938
e0m15,gemv,uniform_0_1,word_masked_x2,2,5,0.6985075255146125,14.2,0,0.09778013297233418
e0m15,gemv,uniform_0_1,word_branchy_x2,2,5,0.6980192049158708,15.2,0,0.20856237931427213
e0m15,gemv,uniform_0_1,generic_x1,1,5,0.6552460482437019,17.8,0,0.2078238648504657
e0m15,gemv,uniform_0_1,word_branchy_x1,1,5,0.6475084718399867,17.8,0,0.11527637561912459
e0m15,gemv,uniform_0_1,word_masked_x1,1,5,0.6472983394432537,19.0,0,0.11896989882411932
