report,profile_sequence,distribution,format,storage_bits,component,lanes,n,m,operation_kernel_index,kernel_name,duration_ms,dram_read_bytes,dram_write_bytes,dram_total_bytes,measured_dram_gb_per_s,dram_percent_peak,sm_percent_peak,l1_hit_rate_percent,l2_hit_rate_percent,sp_flops_executed,dp_flops_executed,total_flops_executed,registers_per_thread,achieved_occupancy_percent,block_size,grid_size,shared_memory_bytes,issue_active_percent,pipe_alu_percent,pipe_fma_percent,pipe_fp64_percent,pipe_lsu_percent,pipe_xu_percent
dot_x4/dot_x4_20260808T131626Z_ncu_raw.csv,4,normal_0_1,fp8_e5m2,8,dot,4,134217728,1,0,"void storage_dot_map_reduce<storage::fp8_e5m2, 4>(const storage::codec<T1>::storage_type *, const storage::codec<T1>::storage_type *, unsigned long, double *)",0.13248,268454144.0,2688512.0,271142656.0,2046.6685990338165,44.48,73.79,0.0,1.76,0.0,272775616.0,272775616.0,32.0,82.06,256.0,2112.0,1152.0,48.81,33.45,11.77,9.55,10.42,73.79
dot_x4/dot_x4_20260808T131626Z_ncu_raw.csv,4,normal_0_1,fp8_e5m2,8,dot,4,134217728,1,1,"storage_dot_finalize(const double *, unsigned long, double *)",0.0060799999999999995,20736.0,0.0,20736.0,3.4105263157894736,0.07,0.03,0.0,40.32,0.0,3399.0,3399.0,18.0,13.19,256.0,1.0,1152.0,4.33,0.02,0.0,0.01,0.02,0.0
dot_x4/dot_x4_20260808T131626Z_ncu_raw.csv,5,normal_0_1,e1m14,16,dot,4,134217728,1,0,"void storage_dot_map_reduce<storage::e1m14, 4>(const storage::codec<T1>::storage_type *, const storage::codec<T1>::storage_type *, unsigned long, double *)",0.661184,536884480.0,2400000.0,539284480.0,815.6344981124771,17.72,85.08,0.0,1.36,0.0,272775616.0,272775616.0,40.0,64.84,256.0,2112.0,1152.0,67.44,85.08,12.42,1.83,1.96,14.14
dot_x4/dot_x4_20260808T131626Z_ncu_raw.csv,5,normal_0_1,e1m14,16,dot,4,134217728,1,1,"storage_dot_finalize(const double *, unsigned long, double *)",0.00624,20736.0,0.0,20736.0,3.323076923076923,0.07,0.02,0.0,39.32,0.0,3399.0,3399.0,18.0,12.9,256.0,1.0,1152.0,4.31,0.02,0.0,0.01,0.02,0.0
dot_x4/dot_x4_20260808T131626Z_ncu_raw.csv,6,normal_0_1,e2m13,16,dot,4,134217728,1,0,"void storage_dot_map_reduce<storage::e2m13, 4>(const storage::codec<T1>::storage_type *, const storage::codec<T1>::storage_type *, unsigned long, double *)",0.757408,536885760.0,2400256.0,539286016.0,712.015209768051,15.47,83.96,0.0,1.2,0.0,272775616.0,272775616.0,40.0,65.45,256.0,2112.0,1152.0,67.27,83.96,12.25,1.61,1.72,12.41
dot_x4/dot_x4_20260808T131626Z_ncu_raw.csv,6,normal_0_1,e2m13,16,dot,4,134217728,1,1,"storage_dot_finalize(const double *, unsigned long, double *)",0.00656,20736.0,0.0,20736.0,3.1609756097560973,0.07,0.02,0.0,47.96,0.0,3399.0,3399.0,18.0,11.46,256.0,1.0,1152.0,4.77,0.02,0.0,0.0,0.01,0.0
dot_x4/dot_x4_20260808T131626Z_ncu_raw.csv,7,normal_0_1,e3m12,16,dot,4,134217728,1,0,"void storage_dot_map_reduce<storage::e3m12, 4>(const storage::codec<T1>::storage_type *, const storage::codec<T1>::storage_type *, unsigned long, double *)",0.7518079999999999,536984320.0,2466560.0,539450880.0,717.5380948327231,15.59,83.92,0.0,1.39,0.0,272775616.0,272775616.0,40.0,65.47,256.0,2112.0,1152.0,67.13,83.92,12.25,1.61,1.72,12.4
dot_x4/dot_x4_20260808T131626Z_ncu_raw.csv,7,normal_0_1,e3m12,16,dot,4,134217728,1,1,"storage_dot_finalize(const double *, unsigned long, double *)",0.006144,20480.0,0.0,20480.0,3.333333333333333,0.07,0.02,0.0,38.37,0.0,3399.0,3399.0,18.0,11.95,256.0,1.0,1152.0,4.52,0.02,0.0,0.01,0.02,0.0
dot_x4/dot_x4_20260808T131626Z_ncu_raw.csv,8,normal_0_1,fp16_e5m10,16,dot,4,134217728,1,0,"void storage_dot_map_reduce<storage::fp16_e5m10, 4>(const storage::codec<T1>::storage_type *, const storage::codec<T1>::storage_type *, unsigned long, double *)",0.142432,536894208.0,2443264.0,539337472.0,3786.6313188047625,82.3,69.17,0.0,1.32,0.0,272775616.0,272775616.0,30.0,91.74,256.0,2112.0,1152.0,48.8,35.63,11.05,8.95,9.77,69.17
dot_x4/dot_x4_20260808T131626Z_ncu_raw.csv,8,normal_0_1,fp16_e5m10,16,dot,4,134217728,1,1,"storage_dot_finalize(const double *, unsigned long, double *)",0.0063679999999999995,20736.0,0.0,20736.0,3.2562814070351753,0.07,0.02,0.0,37.29,0.0,3399.0,3399.0,18.0,11.56,256.0,1.0,1152.0,4.69,0.02,0.0,0.0,0.02,0.0
dot_x4/dot_x4_20260808T131626Z_ncu_raw.csv,9,normal_0_1,bf16_e8m7,16,dot,4,134217728,1,0,"void storage_dot_map_reduce<storage::bf16_e8m7, 4>(const storage::codec<T1>::storage_type *, const storage::codec<T1>::storage_type *, unsigned long, double *)",0.139296,536905984.0,2693632.0,539599616.0,3873.762462669423,84.18,70.47,0.0,1.25,0.0,272775616.0,272775616.0,30.0,91.96,256.0,2112.0,1152.0,44.08,27.52,11.25,9.12,9.95,70.47
dot_x4/dot_x4_20260808T131626Z_ncu_raw.csv,9,normal_0_1,bf16_e8m7,16,dot,4,134217728,1,1,"storage_dot_finalize(const double *, unsigned long, double *)",0.006751999999999999,20736.0,0.0,20736.0,3.071090047393364,0.07,0.02,0.0,44.71,0.0,3399.0,3399.0,18.0,12.03,256.0,1.0,1152.0,4.35,0.02,0.0,0.0,0.01,0.0
dot_x4/dot_x4_20260808T131626Z_ncu_raw.csv,10,normal_0_1,e11m4,16,dot,4,134217728,1,0,"void storage_dot_map_reduce<storage::e11m4, 4>(const storage::codec<T1>::storage_type *, const storage::codec<T1>::storage_type *, unsigned long, double *)",0.133472,536896512.0,2462976.0,539359488.0,4040.9935267321985,87.76,44.35,0.0,1.31,0.0,272775616.0,272775616.0,29.0,98.03,256.0,2112.0,1152.0,46.0,28.81,21.0,9.55,10.42,0.0
dot_x4/dot_x4_20260808T131626Z_ncu_raw.csv,10,normal_0_1,e11m4,16,dot,4,134217728,1,1,"storage_dot_finalize(const double *, unsigned long, double *)",0.0066879999999999995,20736.0,0.0,20736.0,3.1004784688995213,0.07,0.02,0.0,30.14,0.0,3399.0,3399.0,18.0,11.88,256.0,1.0,1152.0,4.78,0.02,0.0,0.0,0.01,0.0
dot_x4/dot_x4_20260808T131626Z_ncu_raw.csv,11,normal_0_1,e1m30,32,dot,4,134217728,1,0,"void storage_dot_map_reduce<storage::e1m30, 4>(const storage::codec<T1>::storage_type *, const storage::codec<T1>::storage_type *, unsigned long, double *)",0.659296,1073762304.0,2444800.0,1076207104.0,1632.358006115614,35.47,86.18,0.0,0.89,0.0,272775616.0,272775616.0,40.0,65.0,256.0,2112.0,1152.0,66.48,86.18,10.56,1.85,1.99,14.33
dot_x4/dot_x4_20260808T131626Z_ncu_raw.csv,11,normal_0_1,e1m30,32,dot,4,134217728,1,1,"storage_dot_finalize(const double *, unsigned long, double *)",0.006592,20736.0,0.0,20736.0,3.145631067961165,0.07,0.02,0.0,44.32,0.0,3399.0,3399.0,18.0,11.8,256.0,1.0,1152.0,4.61,0.02,0.0,0.0,0.01,0.0
dot_x4/dot_x4_20260808T131626Z_ncu_raw.csv,12,normal_0_1,e2m29,32,dot,4,134217728,1,0,"void storage_dot_map_reduce<storage::e2m29, 4>(const storage::codec<T1>::storage_type *, const storage::codec<T1>::storage_type *, unsigned long, double *)",0.826496,1073788928.0,2451200.0,1076240128.0,1302.1722161994735,28.3,85.35,0.0,0.78,0.0,272775616.0,272775616.0,40.0,65.51,256.0,2112.0,1152.0,64.8,85.35,9.39,1.52,1.63,11.75
