gpu,compute_capability,distribution,format,storage_bits,component,lanes,n,m,leading_dimension,blocks,threads,decode_repeats,warmup,round,sample,order_position,iterations,total_time_ms,time_ms,decoded_values,unique_storage_bytes,requested_storage_bytes,useful_flops,modeled_flops,arithmetic_intensity_unique,arithmetic_intensity_requested,decoded_gvalues_per_s,unique_storage_gb_per_s,requested_storage_gb_per_s,useful_gflop_per_s,theoretical_hbm_gb_per_s,modeled_fp64_gflop_per_s
NVIDIA H200 NVL,sm_90,uniform_0_1,fp16_e5m10,16,register_decode,2,134217728,1,134217728,528,256,256,10,2,4,1,1241,12.59340763092041,0.010147790194134093,69206016,540672,540672,69206016,69206016,128,128,6819.8114738324393,53.279777139315932,53.279777139315932,6819.8114738324393,4814.3040000000001,30159.360000000001
NVIDIA H200 NVL,sm_90,uniform_0_1,fp16_e5m10,16,register_decode,4,134217728,1,134217728,528,256,256,10,2,4,2,929,13.329248428344727,0.014347953098325863,138412032,1081344,1081344,138412032,138412032,128,128,9646.8138034372369,75.365732839353413,75.365732839353413,9646.8138034372369,4814.3040000000001,30159.360000000001
NVIDIA H200 NVL,sm_90,uniform_0_1,fp16_e5m10,16,stream_load,1,4096,1,4096,16,256,0,10,0,0,0,3473,7.6738557815551758,0.0022095755201713722,0,8192,8192,0,0,0,0,0,3.7074994383376576,3.7074994383376576,0,4814.3040000000001,30159.360000000001
NVIDIA H200 NVL,sm_90,uniform_0_1,fp16_e5m10,16,stream_load,2,4096,1,4096,8,256,0,10,0,0,1,3691,8.0985918045043945,0.0021941457069911663,0,8192,8192,0,0,0,0,0,3.7335715553884961,3.7335715553884961,0,4814.3040000000001,30159.360000000001
NVIDIA H200 NVL,sm_90,uniform_0_1,fp16_e5m10,16,stream_load,4,4096,1,4096,4,256,0,10,0,0,2,3721,8.1592960357666016,0.0021927696951804894,0,8192,8192,0,0,0,0,0,3.7359144546758736,3.7359144546758736,0,4814.3040000000001,30159.360000000001
NVIDIA H200 NVL,sm_90,uniform_0_1,fp16_e5m10,16,stream_load,2,4096,1,4096,8,256,0,10,0,1,0,3691,8.0986242294311523,0.0021941544918534684,0,8192,8192,0,0,0,0,0,3.7335566070737207,3.7335566070737207,0,4814.3040000000001,30159.360000000001
NVIDIA H200 NVL,sm_90,uniform_0_1,fp16_e5m10,16,stream_load,4,4096,1,4096,4,256,0,10,0,1,1,3721,8.1588478088378906,0.0021926492364519995,0,8192,8192,0,0,0,0,0,3.7361196965802681,3.7361196965802681,0,4814.3040000000001,30159.360000000001
NVIDIA H200 NVL,sm_90,uniform_0_1,fp16_e5m10,16,stream_load,1,4096,1,4096,16,256,0,10,0,1,2,3473,7.6608319282531738,0.0022058254904270586,0,8192,8192,0,0,0,0,0,3.7138023998507643,3.7138023998507643,0,4814.3040000000001,30159.360000000001
NVIDIA H200 NVL,sm_90,uniform_0_1,fp16_e5m10,16,stream_load,4,4096,1,4096,4,256,0,10,0,2,0,3721,8.1586236953735352,0.0021925890070877549,0,8192,8192,0,0,0,0,0,3.736222325989309,3.736222325989309,0,4814.3040000000001,30159.360000000001
NVIDIA H200 NVL,sm_90,uniform_0_1,fp16_e5m10,16,stream_load,1,4096,1,4096,16,256,0,10,0,2,1,3473,7.6609921455383301,0.0022058716226715605,0,8192,8192,0,0,0,0,0,3.7137247316680018,3.7137247316680018,0,4814.3040000000001,30159.360000000001
NVIDIA H200 NVL,sm_90,uniform_0_1,fp16_e5m10,16,stream_load,2,4096,1,4096,8,256,0,10,0,2,2,3691,8.1011199951171875,0.0021948306678724432,0,8192,8192,0,0,0,0,0,3.7324063855645444,3.7324063855645444,0,4814.3040000000001,30159.360000000001
NVIDIA H200 NVL,sm_90,uniform_0_1,fp16_e5m10,16,stream_load,1,4096,1,4096,16,256,0,10,0,3,0,3473,7.6852798461914062,0.0022128649139623972,0,8192,8192,0,0,0,0,0,3.7019882905239125,3.7019882905239125,0,4814.3040000000001,30159.360000000001
NVIDIA H200 NVL,sm_90,uniform_0_1,fp16_e5m10,16,stream_load,2,4096,1,4096,8,256,0,10,0,3,1,3691,8.0991039276123047,0.0021942844561398818,0,8192,8192,0,0,0,0,0,3.7333354739299005,3.7333354739299005,0,4814.3040000000001,30159.360000000001
NVIDIA H200 NVL,sm_90,uniform_0_1,fp16_e5m10,16,stream_load,4,4096,1,4096,4,256,0,10,0,3,2,3721,8.1590719223022461,0.0021927094658162447,0,8192,8192,0,0,0,0,0,3.7360170728092772,3.7360170728092772,0,4814.3040000000001,30159.360000000001
NVIDIA H200 NVL,sm_90,uniform_0_1,fp16_e5m10,16,stream_load,2,4096,1,4096,8,256,0,10,0,4,0,3691,8.0990400314331055,0.0021942671447935805,0,8192,8192,0,0,0,0,0,3.7333649275282927,3.7333649275282927,0,4814.3040000000001,30159.360000000001
NVIDIA H200 NVL,sm_90,uniform_0_1,fp16_e5m10,16,stream_load,4,4096,1,4096,4,256,0,10,0,4,1,3721,8.1570882797241211,0.0021921763718688852,0,8192,8192,0,0,0,0,0,3.736925598288479,3.736925598288479,0,4814.3040000000001,30159.360000000001
NVIDIA H200 NVL,sm_90,uniform_0_1,fp16_e5m10,16,stream_load,1,4096,1,4096,16,256,0,10,0,4,2,3473,7.6815681457519531,0.0022117961836314289,0,8192,8192,0,0,0,0,0,3.703777075223087,3.703777075223087,0,4814.3040000000001,30159.360000000001
