gpu,compute_capability,distribution,format,storage_bits,component,n,m,leading_dimension,threads,decode_repeats,lanes,scalar_time_ms,packed_time_ms,speedup_vs_x1,time_change_percent_vs_x1,packed_cv_percent
NVIDIA H200 NVL,sm_90,normal_0_1,e11m4,16,stream_decode,4096,1,4096,256,0,4,0.002282430594249217,0.0022100059168265,1.0327712595117016,-3.1731382152516474,0.10399507117857558
NVIDIA H200 NVL,sm_90,normal_0_1,e11m4,16,stream_decode,65536,1,65536,256,0,1,0.002473413994971742,0.002473413994971742,1.0,0.0,0.009196431196468168
NVIDIA H200 NVL,sm_90,normal_0_1,e11m4,16,stream_decode,65536,1,65536,256,0,2,0.002473413994971742,0.002468928023501559,1.0018169713444383,-0.1813675947214044,0.046555519932270056
NVIDIA H200 NVL,sm_90,normal_0_1,e11m4,16,stream_decode,65536,1,65536,256,0,4,0.002473413994971742,0.0022909695943196615,1.0796363256432742,-7.376217690325015,0.12546947434587133
NVIDIA H200 NVL,sm_90,normal_0_1,e11m4,16,stream_load,1048576,1,1048576,256,0,1,0.0047931376504443115,0.0047931376504443115,1.0,0.0,0.11278842706723459
NVIDIA H200 NVL,sm_90,normal_0_1,e11m4,16,stream_load,1048576,1,1048576,256,0,2,0.0047931376504443115,0.004542648792266846,1.0551415858086772,-5.2259892464020075,0.06717382016020157
NVIDIA H200 NVL,sm_90,normal_0_1,e11m4,16,stream_load,1048576,1,1048576,256,0,4,0.0047931376504443115,0.003422598182243167,1.4004383206044055,-28.59378486812494,0.12915897221287687
NVIDIA H200 NVL,sm_90,normal_0_1,e11m4,16,stream_load,134217728,1,134217728,256,0,1,0.2125421980736961,0.2125421980736961,1.0,0.0,0.03250599808732029
NVIDIA H200 NVL,sm_90,normal_0_1,e11m4,16,stream_load,134217728,1,134217728,256,0,2,0.2125421980736961,0.11836139739505828,1.7957053798907747,-44.311577433664205,0.05734522723131655
NVIDIA H200 NVL,sm_90,normal_0_1,e11m4,16,stream_load,134217728,1,134217728,256,0,4,0.2125421980736961,0.07771539935176236,2.7348787993955828,-63.43530835000792,0.029697712429957807
NVIDIA H200 NVL,sm_90,normal_0_1,e11m4,16,stream_load,16777216,1,16777216,256,0,1,0.01950927570081174,0.01950927570081174,1.0,0.0,0.2105082874000848
NVIDIA H200 NVL,sm_90,normal_0_1,e11m4,16,stream_load,16777216,1,16777216,256,0,2,0.01950927570081174,0.01296553954235098,1.5047021866761603,-33.54166632741005,0.20654771990399584
NVIDIA H200 NVL,sm_90,normal_0_1,e11m4,16,stream_load,16777216,1,16777216,256,0,4,0.01950927570081174,0.010143745900334865,1.923281191435178,-48.00552282977474,0.14255995645670488
NVIDIA H200 NVL,sm_90,normal_0_1,e11m4,16,stream_load,4096,1,4096,256,0,1,0.0022156169011688653,0.0022156169011688653,1.0,0.0,0.19133284826459176
NVIDIA H200 NVL,sm_90,normal_0_1,e11m4,16,stream_load,4096,1,4096,256,0,2,0.0022156169011688653,0.0021925459343716544,1.0105224553955914,-1.0412886264335564,0.01941973534676326
NVIDIA H200 NVL,sm_90,normal_0_1,e11m4,16,stream_load,4096,1,4096,256,0,4,0.0022156169011688653,0.0021886760473186257,1.0123092012101313,-1.2159527143897009,0.03039782641067716
NVIDIA H200 NVL,sm_90,normal_0_1,e11m4,16,stream_load,65536,1,65536,256,0,1,0.0024198626795559064,0.0024198626795559064,1.0,0.0,0.06254419381431765
NVIDIA H200 NVL,sm_90,normal_0_1,e11m4,16,stream_load,65536,1,65536,256,0,2,0.0024198626795559064,0.002379447450029089,1.0169851322105572,-1.6701455776091612,0.01695947987364505
NVIDIA H200 NVL,sm_90,normal_0_1,e11m4,16,stream_load,65536,1,65536,256,0,4,0.0024198626795559064,0.002287351333343231,1.0579322224273235,-5.475986192612958,0.01631047335049465
NVIDIA H200 NVL,sm_90,normal_0_1,e1m14,16,dot,1048576,1,1048576,256,0,1,0.011814999000968211,0.011814999000968211,1.0,0.0,0.14058929548770174
NVIDIA H200 NVL,sm_90,normal_0_1,e1m14,16,dot,1048576,1,1048576,256,0,2,0.011814999000968211,0.011640696433790227,1.0149735514682803,-1.4752651876119627,0.1135023518920901
NVIDIA H200 NVL,sm_90,normal_0_1,e1m14,16,dot,1048576,1,1048576,256,0,4,0.011814999000968211,0.010070558423418214,1.1732218318195198,-14.764627380899864,0.19647206160309008
NVIDIA H200 NVL,sm_90,normal_0_1,e1m14,16,dot,134217728,1,134217728,256,0,1,0.5871003224299505,0.5871003224299505,1.0,0.0,0.15302039448041482
NVIDIA H200 NVL,sm_90,normal_0_1,e1m14,16,dot,134217728,1,134217728,256,0,2,0.5871003224299505,0.5398754392351423,1.0874736647803669,-8.04375017192106,0.14723851793976997
NVIDIA H200 NVL,sm_90,normal_0_1,e1m14,16,dot,134217728,1,134217728,256,0,4,0.5871003224299505,0.513045342763265,1.1443439273180513,-12.61368403958275,0.18817298477860783
NVIDIA H200 NVL,sm_90,normal_0_1,e1m14,16,dot,16777216,1,16777216,256,0,1,0.08183990921104811,0.08183990921104811,1.0,0.0,0.0637592173749051
NVIDIA H200 NVL,sm_90,normal_0_1,e1m14,16,dot,16777216,1,16777216,256,0,2,0.08183990921104811,0.07611967106254733,1.075147962000525,-6.989546058451113,0.10119327548977342
NVIDIA H200 NVL,sm_90,normal_0_1,e1m14,16,dot,16777216,1,16777216,256,0,4,0.08183990921104811,0.0725250197391884,1.128436910535944,-11.381842381861084,0.05027021112585541
NVIDIA H200 NVL,sm_90,normal_0_1,e1m14,16,dot,4096,1,4096,256,0,1,0.004516706557975218,0.004516706557975218,1.0,0.0,0.09610406021876601
NVIDIA H200 NVL,sm_90,normal_0_1,e1m14,16,dot,4096,1,4096,256,0,2,0.004516706557975218,0.004757769813521162,0.9493327199519271,5.337146711917673,0.06186608588731129
NVIDIA H200 NVL,sm_90,normal_0_1,e1m14,16,dot,4096,1,4096,256,0,4,0.004516706557975218,0.005041316629619944,0.8959378848449208,11.614880553141415,0.006624616871245234
NVIDIA H200 NVL,sm_90,normal_0_1,e1m14,16,dot,65536,1,65536,256,0,1,0.004768482140349994,0.004768482140349994,1.0,0.0,0.060365284630181745
NVIDIA H200 NVL,sm_90,normal_0_1,e1m14,16,dot,65536,1,65536,256,0,2,0.004768482140349994,0.00495163371639084,0.9630118893013875,3.840877886299543,0.06380962276867291
NVIDIA H200 NVL,sm_90,normal_0_1,e1m14,16,dot,65536,1,65536,256,0,4,0.004768482140349994,0.005202425016906591,0.9165883457913588,9.100230718799484,0.035821000871193096
NVIDIA H200 NVL,sm_90,normal_0_1,e1m14,16,gemv,1024,1024,1024,256,0,1,0.007724652744910691,0.007724652744910691,1.0,0.0,0.11896602522369268
NVIDIA H200 NVL,sm_90,normal_0_1,e1m14,16,gemv,1024,1024,1024,256,0,2,0.007724652744910691,0.007292670456548946,1.0592351307981862,-5.592255116533906,0.22513675938955546
NVIDIA H200 NVL,sm_90,normal_0_1,e1m14,16,gemv,1024,1024,1024,256,0,4,0.007724652744910691,0.007167747172903507,1.0776960401327316,-7.209457698588395,0.029403473795416826
NVIDIA H200 NVL,sm_90,normal_0_1,e1m14,16,gemv,16384,1024,16384,256,0,1,0.07994511515595192,0.07994511515595192,1.0,0.0,1.2840660909698605
NVIDIA H200 NVL,sm_90,normal_0_1,e1m14,16,gemv,16384,1024,16384,256,0,2,0.07994511515595192,0.07282958677665673,1.0977010675773304,-8.900516767553167,0.8076111925328409
