benchmark_format,format,storage_bits,strategy,decode_kind,table_location,unpack,lanes,lookup_entry_bytes,shared_table_bytes
e3m12,e3m12,16,subnormal_global_x8,subnormal_high_lut,global,shift_mask,8,4,0
e3m12,e3m12,16,subnormal_shared_x4,subnormal_high_lut,shared,shift_mask,4,4,16384
e3m12,e3m12,16,subnormal_shared_x8,subnormal_high_lut,shared,shift_mask,8,4,16384
e3m12,e3m12,16,word_branchy_x1,direct_words_branchy,none,shift_mask,1,0,0
e3m12,e3m12,16,word_branchy_x4,direct_words_branchy,none,shift_mask,4,0,0
e3m12,e3m12,16,word_branchy_x8,direct_words_branchy,none,shift_mask,8,0,0
e3m12,e3m12,16,word_masked_x1,direct_words_masked,none,shift_mask,1,0,0
e3m12,e3m12,16,word_masked_x4,direct_words_masked,none,shift_mask,4,0,0
e3m12,e3m12,16,word_masked_x8,direct_words_masked,none,shift_mask,8,0,0
e3m12,fp64_e11m52,64,raw_pointer_x1,none,none,scalar,1,0,0
e3m28,e3m28,32,generic_x1,generic,none,shift_mask,1,0,0
e3m28,e3m28,32,generic_x2,generic,none,shift_mask,2,0,0
e3m28,e3m28,32,generic_x4,generic,none,shift_mask,4,0,0
e3m28,e3m28,32,generic_x8,generic,none,shift_mask,8,0,0
e3m28,e3m28,32,prefix_global_x4,prefix_high_lut,global,shift_mask,4,4,0
e3m28,e3m28,32,prefix_global_x8,prefix_high_lut,global,shift_mask,8,4,0
e3m28,e3m28,32,prefix_shared_x4,prefix_high_lut,shared,shift_mask,4,4,64
e3m28,e3m28,32,prefix_shared_x8,prefix_high_lut,shared,shift_mask,8,4,64
e3m28,e3m28,32,word_branchy_x1,direct_words_branchy,none,shift_mask,1,0,0
e3m28,e3m28,32,word_branchy_x2,direct_words_branchy,none,shift_mask,2,0,0
e3m28,e3m28,32,word_branchy_x4,direct_words_branchy,none,shift_mask,4,0,0
e3m28,e3m28,32,word_branchy_x8,direct_words_branchy,none,shift_mask,8,0,0
e3m28,e3m28,32,word_masked_x1,direct_words_masked,none,shift_mask,1,0,0
e3m28,e3m28,32,word_masked_x2,direct_words_masked,none,shift_mask,2,0,0
e3m28,e3m28,32,word_masked_x4,direct_words_masked,none,shift_mask,4,0,0
e3m28,e3m28,32,word_masked_x8,direct_words_masked,none,shift_mask,8,0,0
e3m28,fp64_e11m52,64,raw_pointer_x1,none,none,scalar,1,0,0
fp16_e5m10,fp16_e5m10,16,fp32_bits_x1,fp32_bits,none,shift_mask,1,0,0
fp16_e5m10,fp16_e5m10,16,fp32_bits_x4,fp32_bits,none,shift_mask,4,0,0
fp16_e5m10,fp16_e5m10,16,fp32_bits_x8,fp32_bits,none,shift_mask,8,0,0
fp16_e5m10,fp16_e5m10,16,full_high_l2_x1,full_high_lut,global,shift_mask,1,4,0
fp16_e5m10,fp16_e5m10,16,full_high_l2_x4,full_high_lut,global,shift_mask,4,4,0
fp16_e5m10,fp16_e5m10,16,full_high_l2_x8,full_high_lut,global,shift_mask,8,4,0
fp16_e5m10,fp16_e5m10,16,generic_x1,generic,none,shift_mask,1,0,0
fp16_e5m10,fp16_e5m10,16,native_direct_x1,native_direct,none,shift_mask,1,0,0
fp16_e5m10,fp16_e5m10,16,native_fp32_x1,native_fp32,none,shift_mask,1,0,0
fp16_e5m10,fp16_e5m10,16,native_half2_x2,native_packed,none,shift_mask,2,0,0
fp16_e5m10,fp16_e5m10,16,native_half2_x4,native_packed,none,shift_mask,4,0,0
fp16_e5m10,fp16_e5m10,16,native_half2_x8,native_packed,none,shift_mask,8,0,0
fp16_e5m10,fp16_e5m10,16,subnormal_global_x8,subnormal_high_lut,global,shift_mask,8,4,0
fp16_e5m10,fp16_e5m10,16,subnormal_shared_x8,subnormal_high_lut,shared,shift_mask,8,4,4096
fp16_e5m10,fp16_e5m10,16,word_branchy_x1,direct_words_branchy,none,shift_mask,1,0,0
fp16_e5m10,fp16_e5m10,16,word_branchy_x4,direct_words_branchy,none,shift_mask,4,0,0
fp16_e5m10,fp16_e5m10,16,word_branchy_x8,direct_words_branchy,none,shift_mask,8,0,0
fp16_e5m10,fp16_e5m10,16,word_masked_x1,direct_words_masked,none,shift_mask,1,0,0
fp16_e5m10,fp16_e5m10,16,word_masked_x4,direct_words_masked,none,shift_mask,4,0,0
fp16_e5m10,fp16_e5m10,16,word_masked_x8,direct_words_masked,none,shift_mask,8,0,0
fp16_e5m10,fp64_e11m52,64,raw_pointer_x1,none,none,scalar,1,0,0
fp32_e8m23,fp32_e8m23,32,generic_x1,generic,none,shift_mask,1,0,0
fp32_e8m23,fp32_e8m23,32,native_f64_x1,native_direct,none,shift_mask,1,0,0
fp32_e8m23,fp32_e8m23,32,native_float2_x2,native_packed,none,shift_mask,2,0,0
fp32_e8m23,fp32_e8m23,32,native_float4_x4,native_packed,none,shift_mask,4,0,0
fp32_e8m23,fp32_e8m23,32,native_float4_x8,native_packed,none,shift_mask,8,0,0
fp32_e8m23,fp32_e8m23,32,prefix_global_x4,prefix_high_lut,global,shift_mask,4,4,0
fp32_e8m23,fp32_e8m23,32,prefix_global_x8,prefix_high_lut,global,shift_mask,8,4,0
fp32_e8m23,fp32_e8m23,32,prefix_shared_x4,prefix_high_lut,shared,shift_mask,4,4,2048
fp32_e8m23,fp32_e8m23,32,prefix_shared_x8,prefix_high_lut,shared,shift_mask,8,4,2048
fp32_e8m23,fp32_e8m23,32,word_branchy_x1,direct_words_branchy,none,shift_mask,1,0,0
fp32_e8m23,fp32_e8m23,32,word_branchy_x2,direct_words_branchy,none,shift_mask,2,0,0
fp32_e8m23,fp32_e8m23,32,word_branchy_x4,direct_words_branchy,none,shift_mask,4,0,0
