distribution,component,n,m,format,strategy,storage_bits,lanes,median_time_ms,speedup_vs_fp64_x1,speedup_vs_fp64_x4,speedup_vs_same_format_current_width,cv_percent
uniform_0_1,dot,134217728,1,e3m4,current_x1,8,1,0.7167713982718331,0.7016340041340968,0.7054109339732473,1.0,0.06473607770674102
uniform_0_1,dot,134217728,1,e3m4,current_x4,8,4,0.5937976276173311,0.8469403763639815,0.85149949744509,1.0,0.02884581810697359
uniform_0_1,dot,134217728,1,e3m4,lut_x1,8,1,0.2645819854736328,1.9007763711425463,1.911008342442997,2.7090710540580765,0.032929598749932724
uniform_0_1,dot,134217728,1,e3m4,lut_x4,8,4,0.1312566305461683,3.83151071397774,3.8521359217917577,4.523943858275932,0.03103154107963518
uniform_0_1,dot,134217728,1,fp64_e11m52,current_x1,64,1,0.5029111862182617,1.0,1.005383048451039,1.0,0.03650540459404878
uniform_0_1,dot,134217728,1,fp64_e11m52,current_x4,64,4,0.5056183815002442,0.9946457736090412,1.0,1.0,0.18069753449772052
uniform_0_1,dot,16777216,1,e2m5,branchless_x4,8,4,0.04463713702033548,1.6075974510531226,1.5729954744815389,1.5624849937077951,0.1573939084340203
uniform_0_1,dot,16777216,1,e2m5,current_x1,8,1,0.08012827753504634,0.8955458659998611,0.8762701094640404,1.0,0.14449336604800533
uniform_0_1,dot,16777216,1,e2m5,current_x4,8,4,0.06974485675635286,1.0288722499908785,1.006726772299299,1.0,0.1277767176368744
uniform_0_1,dot,16777216,1,e2m5,lut_x1,8,1,0.030214341675362934,2.374982995400257,2.3238637889652667,2.6519948174275036,0.2075611808672583
uniform_0_1,dot,16777216,1,e2m5,lut_x4,8,4,0.022185572956669605,3.2344689874068657,3.1648501782637877,3.143703202643031,0.1526027429109699
uniform_0_1,dot,16777216,1,e3m4,branchless_x4,8,4,0.04458286045314549,1.6095545904151929,1.574910488316283,1.7920013707116187,0.1398307762767487
uniform_0_1,dot,16777216,1,e3m4,current_x1,8,1,0.09036404071467938,0.794105123328591,0.7770127804321836,1.0,0.1169416956160413
uniform_0_1,dot,16777216,1,e3m4,current_x4,8,4,0.07989254704228153,0.898188258514571,0.8788556270416651,1.0,0.10911236628119425
uniform_0_1,dot,16777216,1,e3m4,lut_x1,8,1,0.030211475999466796,2.375208271766224,2.324084216475861,2.9910501796163227,0.25642251581479475
uniform_0_1,dot,16777216,1,e3m4,lut_x4,8,4,0.022216976770034293,3.2298970485033065,3.1603766459126423,3.5960134391479683,0.1720416704632264
uniform_0_1,dot,16777216,1,fp64_e11m52,current_x1,64,1,0.07175854769620028,1.0,0.9784759694978888,1.0,0.03837668626523308
uniform_0_1,dot,16777216,1,fp64_e11m52,current_x4,64,4,0.07021401452680007,1.0219975054810557,1.0,1.0,0.0710389714214803
uniform_0_1,dot,65536,1,e2m5,branchless_x4,8,4,0.004744056588365063,0.9818952351743921,0.9839244695760618,1.1544718986590672,0.00703767499466609
uniform_0_1,dot,65536,1,e2m5,current_x1,8,1,0.005018605525941683,0.9281794585039213,0.9300976811621509,1.0,0.03649990719442998
uniform_0_1,dot,65536,1,e2m5,current_x4,8,4,0.005476880016915871,0.8505146260509894,0.8522723426346728,1.0,0.05137669744277756
uniform_0_1,dot,65536,1,e2m5,lut_x1,8,1,0.004810248769730888,0.9683837120494585,0.9703850228534144,1.0433151727041452,0.05157904938676213
uniform_0_1,dot,65536,1,e2m5,lut_x4,8,4,0.004742713747337368,0.982173246725781,0.9842030556801972,1.1547987731687739,0.014170762277069923
