gpu,compute_capability,distribution,format,strategy,storage_bits,component,lanes,n,m,blocks,threads,decode_repeats,decoded_values,source_bytes,lookup_bytes_requested,useful_flops,sample_count,median_time_ms,mean_time_ms,stdev_time_ms,cv_percent,mad_time_ms,p05_time_ms,p95_time_ms,min_time_ms,max_time_ms,median_decoded_gvalues_per_s,median_source_gb_per_s,median_lookup_gb_per_s,median_useful_gflop_per_s
NVIDIA H200 NVL,sm_90,normal_0_1,e2m5,current_x4,8,stream_decode,4,1048576,1,1024,256,0,1048576.0,1048576.0,0.0,1048576.0,15,0.005455558909340236,0.005455182167783809,1.6843850254928096e-06,0.030876787863109958,6.645839139623674e-07,0.005451943551247504,0.005456961591813464,0.0054516812098075774,0.005457781629321169,192.20322196590647,192.20322196590647,0.0,192.20322196590647
NVIDIA H200 NVL,sm_90,normal_0_1,e2m5,current_x4,8,stream_decode,4,134217728,1,2112,256,0,134217728.0,134217728.0,0.0,134217728.0,15,0.29769265473778567,0.2976937384154666,8.835959386351362e-05,0.029681374668417585,3.678051393424253e-05,0.29757979663450324,0.29783131044302413,0.29747581481933594,0.2978383249311305,450.8600594066453,450.8600594066453,0.0,450.8600594066453
NVIDIA H200 NVL,sm_90,normal_0_1,e2m5,current_x4,8,stream_decode,4,16777216,1,2112,256,0,16777216.0,16777216.0,0.0,16777216.0,15,0.03970629614104265,0.03973528757368577,4.4958170007641285e-05,0.11314419185785461,7.64538906905532e-06,0.0396984492207973,0.03980472572694534,0.03969797898138594,0.03980726166091375,422.5328884972006,422.5328884972006,0.0,422.5328884972006
NVIDIA H200 NVL,sm_90,normal_0_1,e2m5,current_x4,8,stream_decode,4,65536,1,64,256,0,65536.0,65536.0,0.0,65536.0,15,0.002838520566989336,0.002838549872978229,1.855790317873168e-07,0.006537811209658467,1.197150439613548e-07,0.002838236368711018,0.0028388248526428237,0.0028382252064136785,0.0028388640039842387,23.08808354681413,23.08808354681413,0.0,23.08808354681413
NVIDIA H200 NVL,sm_90,normal_0_1,e2m5,load_only_x1,8,stream_load,1,1048576,1,2112,256,0,0.0,1048576.0,0.0,0.0,15,0.004780804274162223,0.004775972647681484,6.885583333577863e-06,0.14417133098365834,3.7435516740307387e-06,0.004767355493627673,0.004783476858310434,0.004765775414716191,0.004784547825836254,0.0,219.3304598699034,0.0,0.0
NVIDIA H200 NVL,sm_90,normal_0_1,e2m5,load_only_x1,8,stream_load,1,134217728,1,2112,256,0,0.0,134217728.0,0.0,0.0,15,0.2069093566579917,0.20689581251635994,7.216205558563767e-05,0.0348784514814342,4.717246773316974e-05,0.20677109747817835,0.20698573515587246,0.20673254347339118,0.20698919001313829,0.0,648.6788715981247,0.0,0.0
NVIDIA H200 NVL,sm_90,normal_0_1,e2m5,load_only_x1,8,stream_load,1,16777216,1,2112,256,0,0.0,16777216.0,0.0,0.0,15,0.01598721106075546,0.01598902612828128,1.129595330642013e-05,0.07064816340777581,1.0045986731075512e-05,0.015974208683643527,0.01600547299801725,0.015973230010097466,0.016008699596121088,0.0,1049.4148063875755,0.0,0.0
NVIDIA H200 NVL,sm_90,normal_0_1,e2m5,load_only_x1,8,stream_load,1,65536,1,256,256,0,0.0,65536.0,0.0,0.0,15,0.002424169256156773,0.0024243306186750176,2.055894083034573e-06,0.08480254579130761,1.5689281356512028e-06,0.0024221567973719818,0.0024271786444645463,0.002421992283402972,0.0024301201426957133,0.0,27.03441594829042,0.0,0.0
NVIDIA H200 NVL,sm_90,normal_0_1,e2m5,load_only_x4,8,stream_load,4,1048576,1,1024,256,0,0.0,1048576.0,0.0,0.0,15,0.0034065712380730692,0.003407607349055137,2.2703536006568695e-06,0.06662603311048718,1.2047689278236323e-06,0.0034051760011458024,0.0034111267250932467,0.003404731575813769,0.0034114230652554168,0.0,307.8097966309162,0.0,0.0
NVIDIA H200 NVL,sm_90,normal_0_1,e2m5,load_only_x4,8,stream_load,4,134217728,1,2112,256,0,0.0,134217728.0,0.0,0.0,15,0.06638789176940918,0.06639596406403962,4.9160888434883025e-05,0.07404198301491159,2.6052062575887547e-05,0.06633775234222412,0.06647579412202577,0.06632897016164419,0.06652475692130425,0.0,2021.7199917447306,0.0,0.0
