mode,stage,kernel,family,k,observed_instructions,n,rows,cols,storage,arithmetic,left_seed,right_seed,round,order,ms,result,valid,job_id,node
smoke,initial,gemv,mul32f,16,16,65536,64,1024,uint32,fp64,0x6bd87c012a53f9e1,0xf5ef05b8551985f4,1,11,0.005504,3.0509605990331296e+23,1,460404,gpu-nvidia-h200-3.int.coma-cluster.de
smoke,initial,gemv,fma32f,4,4,65536,64,1024,uint32,fp64,0x6bd87c012a53f9e1,0xf5ef05b8551985f4,1,12,0.00547200022,3.0436577928756894e+23,1,460404,gpu-nvidia-h200-3.int.coma-cluster.de
smoke,initial,dot,fma32f,8,8,1048576,0,0,uint32,fp64,0x6bd87c012a53f9e1,0xf5ef05b8551985f4,1,13,0.00975999981,4.8400028566809455e+24,1,460404,gpu-nvidia-h200-3.int.coma-cluster.de
smoke,initial,gemv,fp32_to_fp64,0,0,65536,64,1024,float32,fp64,0x6bd87c012a53f9e1,0xf5ef05b8551985f4,1,14,0.00521600014,3.0412120014494147e+23,1,460404,gpu-nvidia-h200-3.int.coma-cluster.de
smoke,initial,gemv,raw_fp64,0,0,65536,64,1024,float64,fp64,0x6bd87c012a53f9e1,0xf5ef05b8551985f4,1,15,0.00499199983,3.0412120025764436e+23,1,460404,gpu-nvidia-h200-3.int.coma-cluster.de
smoke,initial,gemv,rot32,8,8,65536,64,1024,uint32,fp64,0x6bd87c012a53f9e1,0xf5ef05b8551985f4,1,16,0.00543999998,3.0001195667946027e+23,1,460404,gpu-nvidia-h200-3.int.coma-cluster.de
smoke,initial,gemv,fma32f,2,2,65536,64,1024,uint32,fp64,0x6bd87c012a53f9e1,0xf5ef05b8551985f4,1,17,0.00543999998,3.0424346497753466e+23,1,460404,gpu-nvidia-h200-3.int.coma-cluster.de
smoke,initial,gemv,mul32f,2,2,65536,64,1024,uint32,fp64,0x6bd87c012a53f9e1,0xf5ef05b8551985f4,1,18,0.00524799991,3.0424288687053448e+23,1,460404,gpu-nvidia-h200-3.int.coma-cluster.de
smoke,initial,gemv,rot32,24,24,65536,64,1024,uint32,fp64,0x6bd87c012a53f9e1,0xf5ef05b8551985f4,1,19,0.00585599989,3.0495643812927289e+23,1,460404,gpu-nvidia-h200-3.int.coma-cluster.de
smoke,initial,gemv,mul32f,12,12,65536,64,1024,uint32,fp64,0x6bd87c012a53f9e1,0xf5ef05b8551985f4,1,20,0.00534400018,3.0485205245222491e+23,1,460404,gpu-nvidia-h200-3.int.coma-cluster.de
smoke,initial,gemv,rot32,32,32,65536,64,1024,uint32,fp64,0x6bd87c012a53f9e1,0xf5ef05b8551985f4,1,21,0.00598399993,3.0412120014494147e+23,1,460404,gpu-nvidia-h200-3.int.coma-cluster.de
smoke,initial,dot,add32f,16,16,1048576,0,0,uint32,fp64,0x6bd87c012a53f9e1,0xf5ef05b8551985f4,1,22,0.0100480001,4.8323010452189389e+24,1,460404,gpu-nvidia-h200-3.int.coma-cluster.de
smoke,initial,dot,mul32f,4,4,1048576,0,0,uint32,fp64,0x6bd87c012a53f9e1,0xf5ef05b8551985f4,1,23,0.00924799964,4.8360950566804723e+24,1,460404,gpu-nvidia-h200-3.int.coma-cluster.de
smoke,initial,dot,fma32f,2,2,1048576,0,0,uint32,fp64,0x6bd87c012a53f9e1,0xf5ef05b8551985f4,1,24,0.00950399972,4.8341700054472767e+24,1,460404,gpu-nvidia-h200-3.int.coma-cluster.de
smoke,initial,dot,mul32f,8,8,1048576,0,0,uint32,fp64,0x6bd87c012a53f9e1,0xf5ef05b8551985f4,1,25,0.00966400001,4.8399659283002271e+24,1,460404,gpu-nvidia-h200-3.int.coma-cluster.de
smoke,initial,dot,add32f,2,2,1048576,0,0,uint32,fp64,0x6bd87c012a53f9e1,0xf5ef05b8551985f4,1,26,0.00921600033,4.8322365009455105e+24,1,460404,gpu-nvidia-h200-3.int.coma-cluster.de
smoke,initial,dot,mul32f,2,2,1048576,0,0,uint32,fp64,0x6bd87c012a53f9e1,0xf5ef05b8551985f4,1,27,0.00940799993,4.8341607816859934e+24,1,460404,gpu-nvidia-h200-3.int.coma-cluster.de
smoke,initial,dot,rot32,2,2,1048576,0,0,uint32,fp64,0x6bd87c012a53f9e1,0xf5ef05b8551985f4,1,28,0.00934400037,4.8375033252268302e+24,1,460404,gpu-nvidia-h200-3.int.coma-cluster.de
smoke,initial,gemv,fma32f,16,16,65536,64,1024,uint32,fp64,0x6bd87c012a53f9e1,0xf5ef05b8551985f4,1,29,0.00576000009,3.0510069486369112e+23,1,460404,gpu-nvidia-h200-3.int.coma-cluster.de
smoke,initial,gemv,fma32f,8,8,65536,64,1024,uint32,fp64,0x6bd87c012a53f9e1,0xf5ef05b8551985f4,1,30,0.00515200011,3.0461055508528422e+23,1,460404,gpu-nvidia-h200-3.int.coma-cluster.de
smoke,initial,dot,fma32f,4,4,1048576,0,0,uint32,fp64,0x6bd87c012a53f9e1,0xf5ef05b8551985f4,1,31,0.00924799964,4.8361135097720707e+24,1,460404,gpu-nvidia-h200-3.int.coma-cluster.de
smoke,initial,gemv,mul32f,4,4,65536,64,1024,uint32,fp64,0x6bd87c012a53f9e1,0xf5ef05b8551985f4,1,32,0.0054080002,3.0436462264578077e+23,1,460404,gpu-nvidia-h200-3.int.coma-cluster.de
smoke,initial,dot,mul32f,24,24,1048576,0,0,uint32,fp64,0x6bd87c012a53f9e1,0xf5ef05b8551985f4,1,33,0.0111999996,4.8554804241905051e+24,1,460404,gpu-nvidia-h200-3.int.coma-cluster.de
smoke,initial,dot,mul32f,12,12,1048576,0,0,uint32,fp64,0x6bd87c012a53f9e1,0xf5ef05b8551985f4,1,34,0.00988799985,4.8438398987287026e+24,1,460404,gpu-nvidia-h200-3.int.coma-cluster.de
smoke,initial,gemv,rot32,2,2,65536,64,1024,uint32,fp64,0x6bd87c012a53f9e1,0xf5ef05b8551985f4,1,35,0.00534400018,3.0263472667189735e+23,1,460404,gpu-nvidia-h200-3.int.coma-cluster.de
smoke,initial,dot,add32f,8,8,1048576,0,0,uint32,fp64,0x6bd87c012a53f9e1,0xf5ef05b8551985f4,1,36,0.00950399972,4.8322641627246208e+24,1,460404,gpu-nvidia-h200-3.int.coma-cluster.de
smoke,initial,gemv,fma32f,24,24,65536,64,1024,uint32,fp64,0x6bd87c012a53f9e1,0xf5ef05b8551985f4,1,37,0.00543999998,3.0559162115136502e+23,1,460404,gpu-nvidia-h200-3.int.coma-cluster.de
smoke,initial,dot,fp32_to_fp64,0,0,1048576,0,0,float32,fp64,0x6bd87c012a53f9e1,0xf5ef05b8551985f4,1,38,0.00944000017,4.8322272803707558e+24,1,460404,gpu-nvidia-h200-3.int.coma-cluster.de
smoke,initial,dot,mul32f,32,32,1048576,0,0,uint32,fp64,0x6bd87c012a53f9e1,0xf5ef05b8551985f4,1,39,0.0116800005,4.8632563111103557e+24,1,460404,gpu-nvidia-h200-3.int.coma-cluster.de
smoke,initial,gemv,mul32f,24,24,65536,64,1024,uint32,fp64,0x6bd87c012a53f9e1,0xf5ef05b8551985f4,1,40,0.00534400018,3.0558466068867344e+23,1,460404,gpu-nvidia-h200-3.int.coma-cluster.de
smoke,initial,dot,raw_fp32,0,0,1048576,0,0,float32,fp32,0x6bd87c012a53f9e1,0xf5ef05b8551985f4,1,41,0.00918400008,4.8322272201221271e+24,1,460404,gpu-nvidia-h200-3.int.coma-cluster.de
smoke,initial,dot,fma32f,32,32,1048576,0,0,uint32,fp64,0x6bd87c012a53f9e1,0xf5ef05b8551985f4,1,42,0.0119040003,4.8634045582594168e+24,1,460404,gpu-nvidia-h200-3.int.coma-cluster.de
smoke,initial,dot,rot32,32,32,1048576,0,0,uint32,fp64,0x6bd87c012a53f9e1,0xf5ef05b8551985f4,1,43,0.0144640002,4.8322272803707558e+24,1,460404,gpu-nvidia-h200-3.int.coma-cluster.de
smoke,initial,gemv,add32f,2,2,65536,64,1024,uint32,fp64,0x6bd87c012a53f9e1,0xf5ef05b8551985f4,1,44,0.00528000016,3.0412177808393119e+23,1,460404,gpu-nvidia-h200-3.int.coma-cluster.de
