gpu,compute_capability,distribution,format,strategy,component,lanes,n,m,lookup_entry_bytes,shared_table_bytes,pipelined,sample_count,median_time_ms,min_time_ms,max_time_ms,cv_percent
NVIDIA H200 NVL,sm_90,normal_0_1,e2m5,lut_prefix_global_x1,dot,1,4194304,1,4,0,0,3,0.013610338247739351,0.01360246126468365,0.01361550734593318,0.04827321223891459
NVIDIA H200 NVL,sm_90,normal_0_1,e2m5,lut_prefix_global_x1,dot,1,65536,1,4,0,0,3,0.00506465460482017,0.005061238261728524,0.005066590801252589,0.05351654425410422
NVIDIA H200 NVL,sm_90,normal_0_1,e2m5,lut_prefix_global_x1,gemv,1,1024,256,4,0,0,3,0.0039882351370418775,0.003981741035685819,0.003988799978705013,0.09840322216741067
NVIDIA H200 NVL,sm_90,normal_0_1,e2m5,lut_prefix_global_x1,gemv,1,4096,256,4,0,0,3,0.0067471302073934805,0.006746156319327976,0.006751026277956755,0.0381879024615095
NVIDIA H200 NVL,sm_90,normal_0_1,e2m5,lut_prefix_global_x2,dot,2,4194304,1,4,0,0,3,0.012751644629019279,0.012732681521662959,0.012761363276728877,0.11442124024715693
NVIDIA H200 NVL,sm_90,normal_0_1,e2m5,lut_prefix_global_x2,dot,2,65536,1,4,0,0,3,0.005079602941553643,0.005068028226811835,0.005090836937545884,0.2245261023752995
NVIDIA H200 NVL,sm_90,normal_0_1,e2m5,lut_prefix_global_x2,gemv,2,1024,256,4,0,0,3,0.003413749858736992,0.003411749998728434,0.003414666590591272,0.04369379777487008
NVIDIA H200 NVL,sm_90,normal_0_1,e2m5,lut_prefix_global_x2,gemv,2,4096,256,4,0,0,3,0.005087885686329433,0.005087428433554513,0.00508937154497419,0.01996604769047818
NVIDIA H200 NVL,sm_90,normal_0_1,e2m5,lut_prefix_global_x4,dot,4,4194304,1,4,0,0,3,0.012616409002429378,0.012584875969991197,0.012618277194726206,0.14887664369921183
NVIDIA H200 NVL,sm_90,normal_0_1,e2m5,lut_prefix_global_x4,dot,4,65536,1,4,0,0,3,0.00500402847925822,0.00500346117831291,0.005006751692886894,0.035147315351270456
NVIDIA H200 NVL,sm_90,normal_0_1,e2m5,lut_prefix_global_x4,gemv,4,1024,256,4,0,0,3,0.0032688484649465543,0.0032670705607443147,0.0032690101199679905,0.03292768915746138
NVIDIA H200 NVL,sm_90,normal_0_1,e2m5,lut_prefix_global_x4,gemv,4,4096,256,4,0,0,3,0.004372934686060635,0.004372735261174377,0.004373134110946893,0.004560435967488593
NVIDIA H200 NVL,sm_90,normal_0_1,e2m5,lut_prefix_global_x8,dot,8,4194304,1,4,0,0,3,0.01272185470746911,0.012717681518499401,0.012726028760274252,0.032806700723907525
NVIDIA H200 NVL,sm_90,normal_0_1,e2m5,lut_prefix_global_x8,dot,8,65536,1,4,0,0,3,0.005238434173882644,0.005238092666843184,0.005241167078663022,0.032163144989984994
NVIDIA H200 NVL,sm_90,normal_0_1,e2m5,lut_prefix_global_x8,gemv,8,1024,256,4,0,0,3,0.003418089846507855,0.003417583128393168,0.003418680860373464,0.016073323464955096
NVIDIA H200 NVL,sm_90,normal_0_1,e2m5,lut_prefix_global_x8,gemv,8,4096,256,4,0,0,3,0.00413091784190262,0.004130237008300596,0.0041332523873511785,0.03827846165394116
NVIDIA H200 NVL,sm_90,normal_0_1,e2m5,lut_prefix_shared_x4,dot,4,4194304,1,4,1024,0,3,0.012239777379565768,0.012233999868234,0.012242000136110518,0.0337429357954923
NVIDIA H200 NVL,sm_90,normal_0_1,e2m5,lut_prefix_shared_x4,dot,4,65536,1,4,1024,0,3,0.0049965714110809115,0.004994829901221658,0.004998421587911593,0.03594673493876218
NVIDIA H200 NVL,sm_90,normal_0_1,e2m5,lut_prefix_shared_x4,gemv,4,1024,256,4,1024,0,3,0.0031648316595814015,0.003162296986815953,0.003167524786278753,0.082603328678596
NVIDIA H200 NVL,sm_90,normal_0_1,e2m5,lut_prefix_shared_x4,gemv,4,4096,256,4,1024,0,3,0.00417624175368479,0.004172084554804776,0.004178561832969643,0.07859349257198354
NVIDIA H200 NVL,sm_90,normal_0_1,e3m4,branchless_fp32_x1,dot,1,4194304,1,0,0,0,3,0.018001109066576062,0.017990652877505463,0.0180030093334689,0.03696820146436077
NVIDIA H200 NVL,sm_90,normal_0_1,e3m4,branchless_fp32_x1,dot,1,65536,1,0,0,0,3,0.004819047694303551,0.004817306184444298,0.004821442016938917,0.04308717613592239
NVIDIA H200 NVL,sm_90,normal_0_1,e3m4,branchless_fp32_x1,gemv,1,1024,256,0,0,0,3,0.003882133298450046,0.003881688912709554,0.003883822096718682,0.028987723204176256
NVIDIA H200 NVL,sm_90,normal_0_1,e3m4,branchless_fp32_x1,gemv,1,4096,256,0,0,0,3,0.007240106794569228,0.007236551178826226,0.007242950863308377,0.044288480274181856
NVIDIA H200 NVL,sm_90,normal_0_1,e3m4,branchless_fp32_x2,dot,2,4194304,1,0,0,0,3,0.017205943380083355,0.017201067152477448,0.017220266660054526,0.05799030111898534
NVIDIA H200 NVL,sm_90,normal_0_1,e3m4,branchless_fp32_x2,dot,2,65536,1,0,0,0,3,0.004770501817088174,0.004768417013584597,0.004777276943094956,0.09707037557098741
NVIDIA H200 NVL,sm_90,normal_0_1,e3m4,branchless_fp32_x2,gemv,2,1024,256,0,0,0,3,0.003402964415283978,0.0034028019396786765,0.003406050846661408,0.05378057661651343
NVIDIA H200 NVL,sm_90,normal_0_1,e3m4,branchless_fp32_x2,gemv,2,4096,256,0,0,0,3,0.005844553617330698,0.005836307543974656,0.005844923166128306,0.08338099897000749
NVIDIA H200 NVL,sm_90,normal_0_1,e3m4,branchless_fp32_x4,dot,4,4194304,1,0,0,0,3,0.01719728280913155,0.017161358077571076,0.017199094565409533,0.12384242184404676
NVIDIA H200 NVL,sm_90,normal_0_1,e3m4,branchless_fp32_x4,dot,4,65536,1,0,0,0,3,0.004877446140450841,0.0048744235830897225,0.004882762408800157,0.08654119664103674
NVIDIA H200 NVL,sm_90,normal_0_1,e3m4,branchless_fp32_x4,gemv,4,1024,256,0,0,0,3,0.0032825346040253594,0.0032807128264172244,0.0032834059531145756,0.041868956725845806
NVIDIA H200 NVL,sm_90,normal_0_1,e3m4,branchless_fp32_x4,gemv,4,4096,256,0,0,0,3,0.005563636169289098,0.005562787706201727,0.005564969597440778,0.01976872035396109
NVIDIA H200 NVL,sm_90,normal_0_1,e3m4,branchless_fp32_x8,dot,8,4194304,1,0,0,0,3,0.01716186955710438,0.017159776152851424,0.017163364686698556,0.010503404947121944
NVIDIA H200 NVL,sm_90,normal_0_1,e3m4,branchless_fp32_x8,dot,8,65536,1,0,0,0,3,0.005182519502062815,0.005179558784512014,0.005186163657924883,0.06383341652331824
NVIDIA H200 NVL,sm_90,normal_0_1,e3m4,branchless_fp32_x8,gemv,8,1024,256,0,0,0,3,0.0033440000067154565,0.003341416517893473,0.003351666654149691,0.15933903796363735
NVIDIA H200 NVL,sm_90,normal_0_1,e3m4,branchless_fp32_x8,gemv,8,4096,256,0,0,0,3,0.005106628366879054,0.0051029716219220846,0.005108114225523813,0.05183347678845245
NVIDIA H200 NVL,sm_90,normal_0_1,e3m4,decomposed_bits_x4,dot,4,4194304,1,8,0,0,3,0.021454140197399052,0.02144855815310811,0.021468278973601585,0.047374278126272595
NVIDIA H200 NVL,sm_90,normal_0_1,e3m4,decomposed_bits_x4,dot,4,65536,1,8,0,0,3,0.005018866916565358,0.005014389041340799,0.00502192485861404,0.07552494314437093
NVIDIA H200 NVL,sm_90,normal_0_1,e3m4,decomposed_bits_x4,gemv,4,1024,256,8,0,0,3,0.003642434659211532,0.0036393044435459633,0.003643913113552591,0.06461356021293156
NVIDIA H200 NVL,sm_90,normal_0_1,e3m4,decomposed_bits_x4,gemv,4,4096,256,8,0,0,3,0.006748772969766825,0.006745815277099609,0.0067528065513162054,0.05199791016380832
NVIDIA H200 NVL,sm_90,normal_0_1,e3m4,direct_fp64_bits_x4,dot,4,4194304,1,0,0,0,3,0.02403574020831616,0.02400540221821178,0.024066493108675077,0.12708368468513512
NVIDIA H200 NVL,sm_90,normal_0_1,e3m4,direct_fp64_bits_x4,dot,4,65536,1,0,0,0,3,0.0050165223092147986,0.0050157525695066684,0.005021360731616463,0.06058594610657823
NVIDIA H200 NVL,sm_90,normal_0_1,e3m4,direct_fp64_bits_x4,gemv,4,1024,256,0,0,0,3,0.0036753777000639175,0.0036711110009087456,0.003676533367898729,0.07772976913738142
NVIDIA H200 NVL,sm_90,normal_0_1,e3m4,direct_fp64_bits_x4,gemv,4,4096,256,0,0,0,3,0.007309818267822265,0.007298472794619474,0.007324509187178178,0.1785540651630669
NVIDIA H200 NVL,sm_90,normal_0_1,e3m4,generic_fp64_x1,dot,1,4194304,1,0,0,0,3,0.027608000180300546,0.02759294124210582,0.02761882368256064,0.04708604127643992
NVIDIA H200 NVL,sm_90,normal_0_1,e3m4,generic_fp64_x1,dot,1,65536,1,0,0,0,3,0.005267200103172889,0.0052660923737746015,0.005269046013171856,0.0283270951341842
NVIDIA H200 NVL,sm_90,normal_0_1,e3m4,generic_fp64_x1,gemv,1,1024,256,0,0,0,3,0.0051731065655431,0.005169928919339011,0.0051790070026478865,0.08903324914479292
NVIDIA H200 NVL,sm_90,normal_0_1,e3m4,generic_fp64_x1,gemv,1,4096,256,0,0,0,3,0.012496228728975569,0.01248662897518703,0.012501256806509835,0.059481425103412505
NVIDIA H200 NVL,sm_90,normal_0_1,e3m4,generic_fp64_x2,dot,2,4194304,1,0,0,0,3,0.025932000743018255,0.02590444518460168,0.025947110520468816,0.08343574272714999
NVIDIA H200 NVL,sm_90,normal_0_1,e3m4,generic_fp64_x2,dot,2,65536,1,0,0,0,3,0.005385126007927788,0.00538394053777059,0.005385363101959228,0.014153715646979792
NVIDIA H200 NVL,sm_90,normal_0_1,e3m4,generic_fp64_x2,gemv,2,1024,256,0,0,0,3,0.004359717154426207,0.00435961404414039,0.004360128445640638,0.006242282062995939
NVIDIA H200 NVL,sm_90,normal_0_1,e3m4,generic_fp64_x2,gemv,2,4096,256,0,0,0,3,0.00962922545526758,0.009627560659640098,0.009632555046522549,0.026407843422061456
