gpu,compute_capability,distribution,format,strategy,component,lanes,n,m,lookup_entry_bytes,shared_table_bytes,pipelined,sample,iterations,total_time_ms,time_ms
NVIDIA H200 NVL,sm_90,uniform_0_1,e2m5,branchless_fp32_x8,dot,8,4194304,1,0,0,0,2,106,1.8139840364456177,0.017113056947600166
NVIDIA H200 NVL,sm_90,uniform_0_1,e2m5,lut_fp32_global_x8,dot,8,4194304,1,4,0,0,0,148,1.7502720355987549,0.011826162402694291
NVIDIA H200 NVL,sm_90,uniform_0_1,e2m5,lut_fp32_global_x8,dot,8,4194304,1,4,0,0,1,148,1.7505919933319092,0.011828324279269657
NVIDIA H200 NVL,sm_90,uniform_0_1,e2m5,lut_fp32_global_x8,dot,8,4194304,1,4,0,0,2,148,1.7497279644012451,0.011822486245954359
NVIDIA H200 NVL,sm_90,uniform_0_1,e2m5,lut_fp64_global_x8,dot,8,4194304,1,8,0,0,0,129,1.7681599855422974,0.013706666554591452
NVIDIA H200 NVL,sm_90,uniform_0_1,e2m5,lut_fp64_global_x8,dot,8,4194304,1,8,0,0,1,129,1.7698559761047363,0.01371981376825377
NVIDIA H200 NVL,sm_90,uniform_0_1,e2m5,lut_fp64_global_x8,dot,8,4194304,1,8,0,0,2,129,1.7690880298614502,0.01371386069660039
NVIDIA H200 NVL,sm_90,uniform_0_1,e2m5,lut_prefix_global_x8,dot,8,4194304,1,4,0,0,0,148,1.7592639923095703,0.011886918866956557
NVIDIA H200 NVL,sm_90,uniform_0_1,e2m5,lut_prefix_global_x8,dot,8,4194304,1,4,0,0,1,148,1.7587200403213501,0.011883243515684799
NVIDIA H200 NVL,sm_90,uniform_0_1,e2m5,lut_prefix_global_x8,dot,8,4194304,1,4,0,0,2,148,1.7586560249328613,0.01188281097927609
NVIDIA H200 NVL,sm_90,uniform_0_1,e2m5,direct_fp64_bits_x4,dot,4,4194304,1,0,0,0,0,78,1.8800959587097168,0.024103794342432268
NVIDIA H200 NVL,sm_90,uniform_0_1,e2m5,direct_fp64_bits_x4,dot,4,4194304,1,0,0,0,1,78,1.8825279474258423,0.024134973684946697
NVIDIA H200 NVL,sm_90,uniform_0_1,e2m5,direct_fp64_bits_x4,dot,4,4194304,1,0,0,0,2,78,1.8807359933853149,0.024111999915196344
NVIDIA H200 NVL,sm_90,uniform_0_1,e2m5,decomposed_bits_x4,dot,4,4194304,1,8,0,0,0,87,1.8576960563659668,0.021352828234091573
NVIDIA H200 NVL,sm_90,uniform_0_1,e2m5,decomposed_bits_x4,dot,4,4194304,1,8,0,0,1,87,1.8566080331802368,0.021340322220462494
NVIDIA H200 NVL,sm_90,uniform_0_1,e2m5,decomposed_bits_x4,dot,4,4194304,1,8,0,0,2,87,1.8566399812698364,0.021340689439883178
NVIDIA H200 NVL,sm_90,uniform_0_1,e2m5,lut_fp32_shared_x4,dot,4,4194304,1,4,1024,0,0,152,1.6933439970016479,0.011140421032905579
NVIDIA H200 NVL,sm_90,uniform_0_1,e2m5,lut_fp32_shared_x4,dot,4,4194304,1,4,1024,0,1,152,1.6931840181350708,0.011139368540362307
NVIDIA H200 NVL,sm_90,uniform_0_1,e2m5,lut_fp32_shared_x4,dot,4,4194304,1,4,1024,0,2,152,1.6903040409088135,0.01112042132176851
